State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Paraíba,2005-01,3.1411764705882397,946.677620967742,,24.093413978494624,19.337096774193547,77.02553763440861,4.217943548387097,2005
Paraíba,2005-02,0.9782608695652147,946.4668898809524,,24.28080357142857,20.137276785714285,79.46875,4.318303571428571,2005
Paraíba,2005-03,0.816129032258061,947.3338037634409,,24.58279569892473,20.29159946236559,79.1491935483871,3.905443548387097,2005
Paraíba,2005-04,0.6157142857142849,947.5404166666666,1288.483823529412,23.85423611111111,20.50444444444444,82.8638888888889,4.359861111111111,2005
Paraíba,2005-05,1.3505617977528066,948.1114247311829,1011.9807439824946,22.638709677419357,20.36451612903226,88.05846774193549,3.9491935483870972,2005
Paraíba,2005-06,1.2075187969924797,949.3852777777778,499.1730948678065,21.01597222222222,19.765138888888888,92.75277777777778,4.344444444444444,2005
Paraíba,2005-07,0.9276595744680858,951.1306451612902,881.3179673321234,20.510282258064514,18.136827956989247,86.87567204301075,4.855846774193548,2005
Paraíba,2005-08,1.1278350515463915,950.70188172043,687.3982758620683,20.157123655913978,18.302688172043013,89.64381720430107,4.911962365591398,2005
Paraíba,2005-09,0.8476190476190482,950.0894444444444,1027.0875226039775,21.23111111111111,18.118055555555557,83.63333333333334,5.081527777777778,2005
Paraíba,2005-10,0.5684210526315789,948.9362264234092,1214.5234848484852,22.32642230742111,18.1420346377578,79.16080557024502,5.449735589635115,2005
Paraíba,2005-11,0.411764705882353,947.1683299180327,1474.3068783068788,22.93443306010929,18.442675318761385,77.86647313296902,4.62832877959927,2005
Paraíba,2005-12,1.8499999999999999,946.4237903225807,1508.1481572481568,23.29516129032258,18.932526881720428,78.41397849462365,4.540860215053764,2005
Paraíba,2006-01,0.35555555555555557,946.7498655913979,1577.8435643564358,23.528360215053763,18.615591397849464,76.09677419354838,5.597043010752688,2006
Paraíba,2006-02,1.0551724137931018,946.7381696428572,1528.062388059701,24.13720238095238,19.655282738095238,78.08854166666667,3.70580357142857,2006
Paraíba,2006-03,1.402777777777778,947.1433043293717,1428.7273437499996,23.83719581211092,20.441450905489532,82.84762308998302,3.378133842671194,2006
Paraíba,2006-04,1.8951219512195119,946.5150438596492,1283.8641666666665,23.23795321637427,20.906542397660818,87.57551169590643,3.3834283625730994,2006
Paraíba,2006-05,0.6609022556390981,948.9440860215054,1210.1188524590164,22.472110215053764,20.274462365591397,87.90591397849462,4.117137096774193,2006
Paraíba,2006-06,1.1756944444444444,949.7770833333333,986.5769607843137,21.16125,18.983958333333334,87.99791666666667,4.705069444444444,2006
Paraíba,2006-07,0.9357723577235781,950.6997311827956,1096.298829039812,20.62755376344086,18.346236559139786,87.45766129032258,4.818145161290322,2006
Paraíba,2006-08,1.5156862745098036,950.2553091397849,1281.008413461539,20.750470430107526,17.89677419354839,84.75403225806451,5.188844086021505,2006
Paraíba,2006-09,0.9309090909090908,950.0860416666666,1517.573134328357,21.613888888888887,17.99145833333333,81.49097222222223,5.065833333333334,2006
