Ano,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1980,0.578,0.43,0.762,0.635,0.599,0.449,0.965,0.873,0.887,0.334,0.91,0.944,0.797,0.651,0.392,0.59,0.287,0.934,0.961,0.477,0.747,0.939,0.953,0.943,0.544,0.962,0.45
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,0.611,0.435,0.743,0.802,0.478,0.454,0.969,0.804,0.875,0.313,0.798,0.923,0.855,0.587,0.409,0.579,0.342,0.94,0.954,0.507,0.662,0.954,0.949,0.943,0.521,0.96,0.515
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.67,0.627,0.683,0.673,0.666,0.648,0.846,0.73,0.73,0.602,0.726,0.729,0.732,0.658,0.649,0.673,0.635,0.757,0.756,0.658,0.692,0.717,0.767,0.764,0.679,0.782,0.674
2013,0.67,0.629,0.683,0.691,0.667,0.656,0.848,0.734,0.74,0.607,0.733,0.735,0.738,0.66,0.655,0.685,0.666,0.761,0.757,0.67,0.694,0.723,0.773,0.768,0.685,0.787,0.68
2014,0.669,0.645,0.683,0.687,0.676,0.656,0.845,0.742,0.739,0.61,0.739,0.742,0.739,0.66,0.671,0.698,0.665,0.765,0.764,0.676,0.691,0.712,0.777,0.769,0.688,0.79,0.692
2015,0.674,0.636,0.673,0.69,0.671,0.657,0.847,0.731,0.731,0.613,0.736,0.726,0.729,0.656,0.678,0.688,0.668,0.754,0.758,0.687,0.689,0.719,0.776,0.769,0.68,0.782,0.688
2016,0.66,0.637,0.654,0.682,0.662,0.656,0.836,0.727,0.724,0.615,0.725,0.741,0.725,0.646,0.663,0.677,0.655,0.756,0.761,0.687,0.686,0.714,0.772,0.763,0.683,0.787,0.679
2017,0.655,0.631,0.672,0.683,0.675,0.666,0.842,0.727,0.735,0.616,0.731,0.738,0.733,0.647,0.682,0.671,0.653,0.759,0.757,0.672,0.693,0.697,0.776,0.772,0.67,0.781,0.687
2018,0.676,0.637,0.655,0.666,0.664,0.666,0.836,0.735,0.735,0.613,0.733,0.75,0.744,0.667,0.672,0.669,0.658,0.766,0.774,0.686,0.71,0.723,0.775,0.772,0.676,0.791,0.698
2019,0.668,0.636,0.658,0.665,0.673,0.677,0.841,0.747,0.729,0.614,0.734,0.752,0.738,0.651,0.672,0.68,0.657,0.764,0.783,0.693,0.705,0.696,0.783,0.776,0.682,0.791,0.693
2020,0.668,0.645,0.657,0.663,0.679,0.684,0.827,0.733,0.722,0.621,0.729,0.744,0.735,0.664,0.664,0.667,0.659,0.751,0.77,0.695,0.704,0.68,0.774,0.763,0.687,0.781,0.691
2021,0.655,0.63,0.641,0.648,0.648,0.658,0.821,0.715,0.714,0.603,0.718,0.733,0.72,0.645,0.653,0.647,0.649,0.744,0.759,0.692,0.677,0.68,0.767,0.759,0.662,0.771,0.684
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
