Ano,Inadimplência da carteira de crédito  - total - (%),Apagar
2003-1,,
2003-2,,
2003-3,,
2003-4,,
2003-5,,
2003-6,,
2003-7,,
2003-8,,
2003-9,,
2003-10,,
2003-11,,
2003-12,,
2004-1,,
2004-2,,
2004-3,,
2004-4,,
2004-5,,
2004-6,,
2004-7,,
2004-8,,
2004-9,,
2004-10,,
2004-11,,
2004-12,,
2005-1,,
2005-2,,
2005-3,,
2005-4,,
2005-5,,
2005-6,,
2005-7,,
2005-8,,
2005-9,,
2005-10,,
2005-11,,
2005-12,,
2006-1,,
2006-2,,
2006-3,,
2006-4,,
2006-5,,
2006-6,,
2006-7,,
2006-8,,
2006-9,,
2006-10,,
2006-11,,
2006-12,,
2007-1,,
2007-2,,
2007-3,,
2007-4,,
2007-5,,
2007-6,,
2007-7,,
2007-8,,
2007-9,,
2007-10,,
2007-11,,
2007-12,,
2008-1,,
2008-2,,
2008-3,,
2008-4,,
2008-5,,
2008-6,,
2008-7,,
2008-8,,
2008-9,,
2008-10,,
2008-11,,
2008-12,,
2009-1,,
2009-2,,
2009-3,,
2009-4,,
2009-5,,
2009-6,,
2009-7,,
2009-8,,
2009-9,,
2009-10,,
2009-11,,
2009-12,,
2010-1,,
2010-2,,
2010-3,,
2010-4,,
2010-5,,
2010-6,,
2010-7,,
2010-8,,
2010-9,,
2010-10,,
2010-11,,
2010-12,,
2011-1,,
2011-2,,
2011-3,3.17,
2011-4,3.24,
2011-5,3.37,
2011-6,3.32,
2011-7,3.42,
2011-8,3.45,
2011-9,3.46,
2011-10,3.58,
2011-11,3.58,
2011-12,3.54,
2012-1,3.66,
2012-2,3.71,
2012-3,3.67,
2012-4,3.76,
2012-5,3.76,
2012-6,3.71,
2012-7,3.72,
2012-8,3.75,
2012-9,3.72,
2012-10,3.76,
2012-11,3.67,
2012-12,3.55,
2013-1,3.54,
2013-2,3.51,
2013-3,3.45,
2013-4,3.47,
2013-5,3.47,
2013-6,3.25,
2013-7,3.21,
2013-8,3.13,
2013-9,3.14,
2013-10,3.06,
2013-11,2.97,
2013-12,2.86,
2014-1,2.84,
2014-2,2.86,
2014-3,2.88,
2014-4,2.92,
2014-5,3,
2014-6,2.9,
2014-7,2.96,
2014-8,2.98,
2014-9,2.91,
2014-10,2.96,
2014-11,2.85,
2014-12,2.73,
2015-1,2.82,
2015-2,2.85,
2015-3,2.82,
2015-4,2.96,
2015-5,3.02,
2015-6,2.92,
2015-7,3.03,
2015-8,3.12,
2015-9,3.12,
2015-10,3.24,
2015-11,3.38,
2015-12,3.37,
2016-1,3.47,
2016-2,3.5,
2016-3,3.53,
2016-4,3.65,
2016-5,3.73,
2016-6,3.51,
2016-7,3.56,
2016-8,3.64,
2016-9,3.68,
2016-10,3.84,
2016-11,3.8,
2016-12,3.7,
2017-1,3.73,
2017-2,3.75,
2017-3,3.85,
2017-4,3.93,
2017-5,4.04,
2017-6,3.73,
2017-7,3.69,
2017-8,3.7,
2017-9,3.6,
2017-10,3.63,
2017-11,3.54,
2017-12,3.24,
2018-1,3.42,
2018-2,3.43,
2018-3,3.29,
2018-4,3.32,
2018-5,3.3,
2018-6,3.04,
2018-7,3.02,
2018-8,3.04,
2018-9,3.04,
2018-10,3.05,
2018-11,2.96,
2018-12,2.87,
2019-1,2.95,
2019-2,2.91,
2019-3,2.99,
2019-4,3.02,
2019-5,3.05,
2019-6,2.95,
2019-7,3.06,
2019-8,3.04,
2019-9,3.06,
2019-10,3.03,
2019-11,3,
2019-12,2.94,
2020-1,3,
2020-2,3.04,
2020-3,3.18,
2020-4,3.3,
2020-5,3.25,
2020-6,2.89,
2020-7,2.77,
2020-8,2.65,
2020-9,2.43,
2020-10,2.36,
2020-11,2.23,
2020-12,2.12,
2021-1,2.15,
2021-2,2.24,
2021-3,2.14,
2021-4,2.2,
2021-5,2.34,
2021-6,2.27,
2021-7,2.31,
2021-8,2.32,
2021-9,2.28,
2021-10,2.28,
2021-11,2.31,
2021-12,2.3,
2022-1,2.45,
2022-2,2.51,
2022-3,2.59,
2022-4,2.66,
2022-5,2.73,
2022-6,2.66,
2022-7,2.78,
2022-8,2.83,
2022-9,2.85,
2022-10,2.96,
2022-11,2.99,
2022-12,2.99,
2023-1,3.16,
2023-2,3.28,
2023-3,3.26,
2023-4,3.45,
2023-5,3.55,
2023-6,3.53,
2023-7,3.56,
2023-8,3.55,
