,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t),Minas Gerais - value,Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%)
2003-11,0.7582480798074096,295.72,0.3301422902783782,679.8870827262504,8.182550317965518,297502974.1213096,17438962.155772403,14.161543338333544,277442212.21086913,49715801.88149672,203752504.82928103,1569709597.049559,949489737.9063408,3188831619.416245,154247478.00591314,50062546.7872249,432365762.5090201,595326726.2875315,130336258546.88194,10383893318.10234,704880434.3011909,116380049999.62074,7600818.942390709,436307381.9158595,538199711.6543632,3763148497.6173625,4626314893.610532,16803895.933995135,291572169.1863073,360613899.2859241,727050772.496218,403066774.1479241,9176822837.826618,76763656464.12753,66494146038.42416,70725259464.34248,511710583.1836509,2388778180.2625985,19744559668.279778,20291120488.915222,1.5521474056411118,2.4655413207863104,1.5859891374918114,0.3042454027434079,3.969689945162023,0.8073556724850489,0.3276124540395473,1.4582957418966325,0.5984627358278762,157812135924.77548,1214321102.8912897,7865173510.741126,19237894195.37396,82475444555.27097,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965
2003-12,0.7584191763061033,270.978,0.330036767034962,684.3133049484726,8.176559196005357,297875751.1569946,17457780.989070296,14.168092256288768,277595258.5612577,49618310.52912285,204258176.68267888,1576329833.8791752,952789732.6365204,3205236604.4660034,155595343.7991391,49560888.87694865,434505599.9233537,597301374.4909592,130404158039.38248,10381578393.354664,705068363.0242804,116829048656.05997,7501572.463760242,435013921.92581177,537417218.5132629,3778423783.023145,4632592172.967593,16804541.747663956,288429484.68962705,359450850.84838974,723468105.7979985,398821413.1759846,9180173031.097174,76700214401.32013,66461248094.124695,70820278345.17068,517666477.6507928,2344584512.8077574,19755581647.387207,20309438808.555527,1.5507886733386784,2.465817106722114,1.581892279685771,0.3051003353010103,3.962650758171848,0.8010750819277865,0.3205807975706658,1.4527375346647904,0.5950445946266774,158744176565.5517,1215067702.3799608,7805681507.452389,19244385979.10062,82418842681.5964,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092
2004-1,0.7585902728047971,249.68,0.3300595492696466,691.6020617052293,8.170568074045196,298248528.1926796,17476599.822368193,14.17464117424399,277748304.91164625,49512786.62934925,204809922.49448195,1583595293.5257275,956253208.547642,3223188858.206592,157073094.52267742,49011309.538579,436851613.4571349,599465501.6701286,130481615095.07677,10379230829.010347,705274794.043556,117325117930.55884,7392793.5834788,433507148.5902268,536372704.9941641,3794412890.7228017,4639550287.649505,16805227.786646433,284981015.15881115,358170383.4893,719533429.2662649,394174655.8546399,9183574607.001505,76630548738.07848,66426468650.05071,70926528388.54991,524209628.25671023,2296136937.776324,19767774968.47724,20329630637.855686,1.5492970566351802,2.466174220722024,1.5774032217781768,0.306047649571097,3.9547755234786086,0.7941802621952146,0.3128732585207172,1.4466291510133755,0.5912885333759742,159771620802.2414,1215887076.7249274,7740173951.957211,19252008868.891605,82347044077.26776,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709
2004-2,0.7587509418921511,219.561,0.3306173036766531,696.2192459157556,8.16863015239404,298575535.0132668,17495129.96878153,14.17911752753992,277852009.83589906,49399460.658879206,205406522.2573996,1591488218.6298296,959882558.6824805,3242646978.401554,158676848.1238446,48415290.66739043,439397713.2757202,601813291.4966843,130569020412.9618,10376894770.726276,705499264.3460591,117867701121.49696,7274786.9500664,431794730.7068678,535077222.82765937,3811109135.747315,4647186676.740942,16805953.86420309,281235940.8912476,356774834.5541568,715255929.9431002,389140241.4348011,9187032955.849554,76554813409.44434,66390157691.25513,71044146490.819,531325568.344198,2243563621.2341304,19781129142.470634,20351664236.052074,1.5476760947654469,2.466609591091037,1.5725329630304696,0.3070871436661489,3.946090336956922,0.7866878083027558,0.3045109026527314,1.439984058605194,0.5872027658867829,160892861691.6457,1216777279.1744282,7668766013.278598,19260838995.78532,82260693756.95403,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952
2004-3,0.7589116109795052,304.641,0.3313371134350217,703.7686305311402,8.166692230742887,298902541.833854,17513660.11519487,14.183593880835849,277955714.7601519,49278563.09441598,206046755.96414092,1599990851.8320944,963680176.08381,3263569562.814433,160402722.54995722,47774314.158657394,442137809.5444663,604338927.6422707,130666764692.03474,10374614364.159338,705741310.9188313,118456241527.25378,7147857.212043056,429884337.0734981,533541823.7443414,3828505833.127668,4655498779.326583,16806719.793594453,277203442.1843243,355266541.38846195,710644794.8705877,383731909.1673795,9190553467.951271,76473162350.45947,66352665202.79086,71173269548.3168,538999831.2560511,2186992729.24701,19795633680.28814,20375507862.38107,1.5459293269643086,2.4671201461341523,1.5672925027040898,0.3082186156986471,3.936621294481406,0.7786143152658322,0.295514795729738,1.43281572510305,0.582795505970119,162106292290.56564,1217736362.976702,7591572860.439557,19270952490.82013,82160436735.32416,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243
2004-4,0.7590722800668592,262.564,0.331732900196302,708.0032805311401,8.164754309091732,299229548.65444124,17532190.261608206,14.18807023413178,278059419.68440473,49150324.41266284,206729403.60741544,1609085435.7731352,967648453.7944056,3285915209.208772,162246835.74833187,47089861.907654345,445065812.42872953,607036593.7785321,130775238631.2927,10372433754.966415,706000470.7489142,119090182446.20894,7012309.017928785,427783636.4878807,531777559.47480255,3846596297.8948426,4664484034.491104,16807525.388081048,272892699.33542943,353647841.3377173,705709211.0908107,377963398.3032861,9194141533.616611,76385749496.16563,66314341169.71084,71314034457.38214,547217950.3350643,2126552427.880796,19811278092.850506,20401129776.07905,1.5440602924665947,2.467702814156368,1.5616928400604784,0.3094418637810726,3.926394491926674,0.7699763780998666,0.2859060035147669,1.4251376181697497,0.5780749674369985,163410305655.80234,1218762381.3799868,7508709662.463091,19282425485.03444,82046918027.04713,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686
2004-5,0.7592329491542132,299.209,0.3320590995496532,715.4832561408963,8.162816387440577,299556555.4750285,17550720.408021543,14.192546587427708,278163124.6086576,49014975.09032308,207453245.17993212,1618754213.0935652,971789784.857042,3309642515.348115,164205305.6662851,46363415.80965574,448175632.0938666,609900473.577113,130894832929.73276,10370397088.804394,706276280.8233494,119768967176.74191,6868447.016243599,425500297.747779,529795481.7496356,3865373845.079823,4674139881.319183,16808370.460923396,268312892.6419508,351921071.74742484,700458365.6458523,371848448.0934323,9197802543.155518,76292728781.6046,66275535577.06798,71466578114.35387,555965458.9240329,2062370883.2013216,19828051891.078487,20428498236.38238,1.5420725305071357,2.4683545234626814,1.5557449743610758,0.3107566860259063,3.9154360251673457,0.7607905918202813,0.2757055917708478,1.4169632054680976,0.5730493640984371,164803294844.15686,1219853387.6325216,7420291588.372207,19295334109.46664,81920782646.79195,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672
2004-6,0.7593936182415674,303.866,0.3324447931580461,719.9879942361343,8.160878465789423,299883562.29561573,17569250.55443488,14.197022940723638,278266829.5329104,48872745.60409997,208217060.6744005,1628979426.4339976,976106562.3144944,3334710078.996004,166274250.2511335,45596457.75993604,451461178.7052339,612924750.7096579,131025938286.352,10368548511.330164,706568278.1291782,120492039017.2323,6716575.855507517,423041989.6509562,527606642.29943305,3884831789.71359,4684463758.895497,16809254.825382024,263473202.40127647,350088569.9630863,694901445.577796,365400797.7887291,9201541886.877935,76194254141.81813,66236598409.9152,71631037415.5708,565227890.3657517,1994576261.274419,19845944585.89284,20457581502.52745,1.5399695803207607,2.469072202358092,1.549459904867323,0.3121628805456293,3.903771990078034,0.7510735514424988,0.2649346262610106,1.4083059546608996,0.5677269097654508,166283652912.43027,1221007434.9825451,7326433807.189909,19309754495.1551,81782675609.22754,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071
2004-7,0.7595542873289214,320.442,0.3331931897835138,726.889715166367,8.158940544138268,300210569.1162029,17587780.70084822,14.20149929401957,278370534.4571632,48723866.43069677,209019630.0835296,1639743318.4350452,980601179.2095376,3361076497.915983,168449787.45019364,44790469.65376972,454916362.428188,616103608.8478111,131168945400.14755,10366932168.200603,706875999.6534423,121258841266.0596,6557000.184240552,420416380.9951755,525222092.85478747,3904963446.827128,4695453106.304723,16810178.294717453,258382808.91079444,348152673.3302036,689047637.9287248,358634186.6400877,9205364955.093822,76090479511.848,66197879653.30542,71807549257.37181,574990778.0030156,1923296728.1659224,19864945688.214306,20488347833.750626,1.5377549811423,2.469852779147596,1.5428486308406606,0.3136602454527225,3.8914284825333576,0.7408418519819415,0.253614172748285,1.3991793334109606,0.5621158182490553,167849772917.42368,1222222576.678296,7227251487.939203,19325762773.13824,81633241929.0229,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352
2004-8,0.7597149564162754,318.685,0.3339039775265765,730.778874257276,8.157002622487113,300537575.93679017,17606310.84726156,14.2059756473155,278474239.3814161,48568568.046816766,209859733.4000288,1651028131.737322,985276028.5849458,3388700369.8715954,170728035.21078208,43946933.3864312,458535093.4280854,619431231.663217,131324244970.11652,10365592205.072609,707198982.3831831,122068817221.6034,6390024.650962719,417631140.5782001,522652885.1462915,3925762131.45142,4707105362.631538,16811140.682190206,253050892.46789265,346115719.19427866,682906129.7407221,351562353.8984193,9209277138.11312,75981558826.73596,66159729292.29156,71996250536.09572,585239655.1786197,1848660449.9416635,19885044708.96364,20520765489.28829,1.5354322722065834,2.470693182136193,1.535922151542529,0.315248578859667,3.878431598407932,0.7301120884540319,0.2417652969957006,1.389596809381086,0.5562243033602665,169500047915.9381,1223496865.9680123,7122859799.643095,19343435074.45441,81473126620.847,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113
2004-9,0.7598756255036295,315.841,0.3335193921498052,733.8028075906094,8.15506470083596,300864582.7573774,17624840.993674897,14.21045200061143,278577944.3056689,48407080.929163225,210736150.6166073,1662816108.9814403,990133503.4834944,3417540292.6263843,173105111.48021537,43067330.85319498,462311281.87028265,622901802.8275201,131492227695.256,10364572767.60306,707536763.3054425,122921410182.2432,6215953.904194034,414693937.1977933,519910070.90453774,3947221158.617447,4719417966.960619,16812141.80106081,247486633.36995903,343980044.9008133,676486108.055871,344199038.8146351,9213283826.245775,75867646021.52379,66122497311.92654,72197278148.08138,595960055.235359,1770795592.667476,19906231159.0616,20554802728.37681,1.5330049927484408,2.471590339628882,1.5286914662343694,0.3169276788789438,3.864807433576373,0.7189008558741924,0.2294090647662875,1.379571850234081,0.5500605789101002,171232870964.77472,1224828356.0999331,7013373911.324589,19362847530.14204,81302974699.36882,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044
2004-10,0.7600362945909835,300.355,0.3330622289429346,737.586742373218,8.153126779184804,301191589.57796466,17643371.140088234,14.21492835390736,278681649.22992176,48239635.55443943,211647661.72597444,1675089492.8080137,995175996.947958,3447554863.9438925,175577134.20581013,42153143.9493355,466238837.92013633,626509506.0123647,131673284274.56306,10363918001.44884,707888879.4072616,123816063446.35857,6035092.592454511,411612439.6517181,517004701.8601187,3969333843.356193,4732388358.376644,16813181.46458979,241699211.9143817,341747987.7953094,669796759.916255,336557980.6396463,9217390409.80174,75748895031.25323,66086533697.26328,72410768989.6676,607137511.5160282,1689830322.4091928,19928494549.42893,20590427810.252567,1.530476682002702,2.472541179930659,1.521167574177622,0.3186973436230338,3.850582083913298,0.7072247492578455,0.2165665418230751,1.3691179236327509,0.5436328587095722,173046635120.73453,1226215100.322297,6898908992.006691,19384076271.239483,81123431179.25732,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552
2004-11,0.7601969636783376,297.717,0.3325720076658961,740.3391679051329,8.151188857533649,301518596.3985519,17661901.28650157,14.219404707203289,278785354.15417457,48066462.39934865,212593046.7208394,1687830525.8576553,1000405902.0211112,3478702681.587664,178140221.3348829,41205854.57012721,470311671.7430028,630248524.8893956,131867805407.03484,10363672052.266838,708254867.6756823,124752220312.32904,5847745.364264166,408394316.737738,513947829.74362695,3992093500.698641,4746013975.964289,16814259.486037664,235697808.3985486,339421885.2232688,662847272.3639572,328652918.624364,9221602279.090963,75625459790.96608,66052188433.3547,72636859957.19324,618757557.3634225,1605892805.2326474,19951824390.98639,20627608994.151936,1.527850879204197,2.473542631346524,1.5133614746337278,0.3205573712044181,3.835781645293322,0.6951003636204137,0.2032587939290936,1.358248497239901,0.5369493565696983,174939733440.61862,1227655151.8833425,6779580210.712405,19407197428.78515,80935141075.18147,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467
