Ano,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2008,125779594.79229128,3618753.20103914,44.11156222752751,111432079.9657551
2009,126604242.80572903,3629544.6318739387,44.14154184770718,111472737.40056786
2010,129600477.97242706,3625995.8490768378,44.11662641574443,112032143.61759095
2011,132302517.99378416,3587905.984909986,44.02275371505114,112410349.19528648
2012,134810849.25412846,3550906.444352927,43.92639693480095,112765217.51323693
2013,137200244.59717315,3512366.254462568,43.88000074557417,113194506.92482129
2014,139269245.1539519,3476697.6680569304,43.88367040889595,113558730.43599047
2015,140716415.89201343,3438025.0826198366,43.849398420687805,113703063.10790682
2016,141622933.32009846,3431105.5032185623,43.82855763714359,113758495.26670553
2017,141735097.28149042,3426736.2023834586,43.80254589539537,113655813.70873271
2018,141316093.49791422,3449895.3563211462,43.794488753144044,113450057.79229607
2019,140239130.38715172,3471857.408616907,43.727940377181746,113149571.97076961
2020,138170308.2823351,3499967.1886679092,43.624600939867875,112607313.32176973
2021,135737143.37702507,3512241.123256957,43.68742113415946,112328623.01762977
2022,132793918.27266903,3525212.5369577273,43.7634032268511,111974021.59133136
