Ano, NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%)
2003,-5772.70134353181,9.1990309651724
2004,-6740.393736552269,5.770455097507899
2005,-7417.815574044525,4.275690944411278
2006,-8326.283951063453,3.830877687798758
2007,-8104.868208038409,3.5643173001686823
2008,-7723.574972545383,2.868108050698647
2009,-8961.781709163859,2.3058845020677987
2010,-9895.682384972506,1.958245770824986
2011,-9989.170714322465,2.079087589818715
2012,-9429.32632849331,2.183281506499276
2013,-7157.441849817399,2.4034452388120418
2014,-3453.461327179957,2.748396553946451
2015,-1442.9193869428318,2.5015293095799396
2016,-3128.377227515419,2.0734636810462583
2017,-5386.337107960249,2.1773859032016323
2018,-617.8957633825285,2.1991033826052147
2019,5943.684499867275,1.8752625370099076
2020,-295.4159240467579,1.7864082165521868
2021,-12254.220163626009,1.856764202286902
2022,-14613.924467801482,2.7177059663287397
2023,-14669.089637675666,3.8704824566677427
