data, NFSP - Fluxo Mensal (Milhões de reais)
1999,-2956.86
1999,-2470.67
1999,-4108.36
1999,-1805.92
1999,-725.47
1999,-4521.69
1999,-4540.38
1999,-3747.31
1999,-4360.11
1999,-1668.61
1999,-1659.37
1999,-325.29
2000,-1913.96
2000,-3031.30
2000,-5449.22
2000,-2853.46
2000,-3895.17
2000,-2372.82
2000,-1105.28
2000,-5276.84
2000,-2602.83
2000,525.19
2000,-3429.01
2000,424.76
2001,-3300.41
2001,-1648.87
2001,-4728.22
2001,-7259.23
2001,-4948.38
2001,-2236.02
2001,-2444.08
2001,-3562.10
2001,-3142.95
2001,-2900.17
2001,-2497.90
2001,3161.42
2002,-8089.17
2002,-3268.66
2002,-3506.90
2002,-6831.62
2002,-2963.88
2002,-3296.82
2002,-3464.55
2002,-2806.48
2002,-7541.53
2002,-5509.64
2002,-3641.43
2002,1226.64
2003,-8498.91
2003,-5667.05
2003,-5003.18
2003,-11885.20
2003,-5197.37
2003,-2792.48
2003,-5825.62
2003,-5155.38
2003,-6442.40
2003,-6724.35
2003,-5431.18
2003,3279.90
2004,-10189.11
2004,-6851.19
2004,-7448.49
2004,-9654.65
2004,-6861.13
2004,-7421.31
2004,-6476.01
2004,-6366.32
2004,-6751.12
2004,-8090.55
2004,-4963.85
2004,-3633.27
2005,-10974.89
2005,-5886.69
2005,-9563.80
2005,-16326.66
2005,-4563.63
2005,-9167.73
2005,-8715.38
2005,-7333.31
2005,-5652.85
2005,-9485.08
2005,-3384.45
2005,-2574.84
2006,-8170.83
2006,-5690.20
2006,-8223.21
2006,-18938.36
2006,-6468.72
2006,-10107.05
2006,-7043.92
2006,-10350.29
2006,-8670.30
2006,-10816.26
2006,-2780.84
2006,3671.31
2007,-15560.01
2007,-5474.37
2007,-8636.88
2007,-17868.40
2007,-8733.46
2007,-8928.74
2007,-8241.79
2007,-6104.51
2007,-10059.46
2007,-12777.62
2007,-7367.46
2007,4787.62
2008,-21857.02
2008,-6110.15
2008,-13707.05
2008,-19686.77
2008,-7688.97
2008,-9950.85
2008,-10004.57
2008,-11352.70
2008,-12729.85
2008,-16337.62
2008,-992.62
2008,22431.49
2009,-11157.19
2009,-3462.98
2009,-9060.13
2009,-14024.08
2009,-2472.51
2009,-2271.11
2009,-4848.10
2009,-9144.23
2009,-1214.88
2009,-14220.66
2009,-13917.75
2009,-147.07
2010,-17254.30
2010,-3049.73
2010,-2930.16
2010,-19620.88
2010,-1197.46
2010,-3595.53
2010,-3224.46
2010,-8958.94
2010,-34771.09
2010,-9522.82
2010,-6231.08
2010,-11776.74
2011,-16953.56
2011,-5893.41
2011,-12821.86
2011,-21001.61
2011,-6898.50
2011,-11719.83
2011,-13070.26
2011,-6015.33
2011,-15400.82
2011,-12804.04
2011,-9161.43
2011,2607.26
2012,-23249.97
2012,-10429.64
2012,-9283.55
2012,-16871.53
2012,-4219.43
2012,-4855.97
2012,-6450.22
2012,-6197.74
2012,-12193.25
2012,-12944.76
2012,354.51
2012,-21321.67
2013,-32252.92
2013,3738.69
2013,-6173.24
2013,-13512.53
2013,-8194.56
2013,-4676.85
2013,-7089.82
2013,-5655.85
2013,-1034.37
2013,-8096.78
2013,-33937.78
2013,-9578.95
2014,-17056.97
2014,785.14
2014,-7725.21
2014,-19816.40
2014,7056.99
2014,-1592.53
2014,-3246.81
2014,6021.31
2014,7359.49
2014,-7684.06
2014,-1539.75
2014,1097.54
2015,-15867.23
2015,818.23
2015,-8048.52
2015,-13827.92
2015,2299.63
2015,2275.78
2015,542.66
2015,1582.13
2015,-2899.69
2015,-7418.98
2015,6825.44
2015,63856.77
2016,-29518.85
2016,16152.87
2016,-1382.58
2016,-17222.29
2016,5411.37
2016,-303.64
2016,106.84
2016,6676.48
2016,1454.33
2016,-50594.57
2016,20687.39
2016,57300.07
2017,-39802.97
2017,15296.37
2017,-1368.45
2017,-23659.62
2017,13963.94
2017,7069.01
2017,383.68
2017,-7058.45
2017,-6012.40
2017,-18730.78
2017,-17285.79
2017,12444.70
2018,-51402.99
2018,4514.51
2018,5447.10
2018,-17649.73
2018,-4031.03
2018,415.64
2018,-12004.79
2018,2864.11
2018,-7235.14
2018,-23774.08
2018,-947.81
2018,24060.31
2019,-49345.27
2019,5509.26
2019,-2145.42
2019,-19975.26
2019,-1718.83
2019,-2851.62
2019,-14757.52
2019,-4201.25
2019,-12983.13
2019,-23254.52
2019,-3146.49
2019,3999.89
2020,-61057.86
2020,8646.97
2020,2582.28
2020,58540.99
2020,72725.02
2020,140089.03
2020,68186.52
2020,86211.95
2020,57879.06
2020,-6471.44
2020,8901.06
2020,49350.48
2021,-61843.09
2021,4048.31
2021,-24025.48
2021,-35067.73
2021,-6348.96
2021,19720.32
2021,-19428.54
2021,-4743.03
2021,-15753.00
2021,-45049.11
2021,-17820.42
2021,-5766.62
2022,-93186.76
2022,272.94
2022,-12134.56
2022,-53858.27
2022,-6895.53
2022,-56113.40
2022,-38809.44
2022,21787.08
2022,-29158.76
2022,-46224.01
2022,-2856.44
2022,490.36
2023,-95895.17
2023,18288.39
2023,-10623.72
2023,-37734.12
