Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2004,38.54596930441662,1008.8169135441914,14053.690695150852,27.496357161662107,23.372182826097998,79.34408060048965,1.0110250110274637
2005,40.48646551943564,1008.8676308368949,13888.682593954194,27.23029425969223,23.379772542820422,80.51568190341364,1.0011617048880608
2006,38.82455940207055,1008.7426816938354,12607.324877642175,27.12209076179583,23.23085389705182,80.38613094677343,1.1230329688404683
2007,36.29668474420207,1008.570906200814,8627.465979233259,27.084070166688658,23.115122124750258,80.063165823783,1.2083258886746877
2008,35.94648973810445,1008.509202374532,4848.8848458536695,27.010379436160463,23.052702828029172,80.17020044395706,1.1479191330135177
2009,36.12097391134027,1008.3560645900408,3110.2166488494713,26.957054069543698,23.034985880018755,80.33290591935311,1.0751448862127673
2010,36.82431068922469,1008.325688338764,2155.562456197465,26.838317356569615,22.916120367074925,80.30732575299548,1.0019214663990055
2011,37.794614346891,1008.48859523106,1742.787440174621,26.780147681955338,22.842507085434146,80.21788277577154,0.9448765063025794
2012,37.800824162849594,1008.6480025651159,1488.5320922324918,26.73054330015543,22.85140974153558,80.48578581088051,0.8860225027657521
2013,36.96335981872378,1008.8584945494434,1334.3559037197083,26.733107083785985,22.83708654923147,80.44771279227095,0.8297581896604931
2014,36.496952181152594,1009.0677561787853,1232.5518247744628,26.867590311904976,22.87483344597193,80.06565135215378,0.7886213098337119
2015,36.53951268918176,1009.0846550951768,1168.3008900557543,26.935981271952055,22.950086172773855,80.1468496913052,0.7633829739633393
2016,38.17509916319844,1009.0219413790793,1146.4355120504606,26.885491474222476,22.912032593093386,80.21187810881105,0.7378109973987376
2017,41.72349607944542,1009.0765360086393,1076.5086422263685,26.811809111512535,22.889589964179564,80.4058736434563,0.723977994637611
2018,44.78018267216915,1009.1205049608993,992.477805349049,26.765065054605007,22.940163758693075,80.80673334001769,0.7220080702729236
2019,45.421342425762695,1008.970794327387,975.3786380924836,26.804562631682998,23.043375612058796,81.15553619679723,0.717619024419084
2020,44.51663105111437,1008.8049635953707,1008.7580263501985,26.82356462628704,23.300799561207146,82.31813945408388,0.7020991840786692
2021,44.09024192193533,1008.7228010461646,1060.4635918607291,26.861750967171105,23.493825918492487,83.04615307157415,0.7364334912542754
2022,44.15591157553876,1008.6908509857559,1089.7075400253652,26.907040182750567,23.51287742705456,82.94021197552964,0.7819486796112961
