,Rio De Janeiro - Consumo de Cimento (t)
2003-1,254.362
2003-2,252.842
2003-3,229.385
2003-4,243.407
2003-5,256.535
2003-6,243.236
2003-7,269.774
2003-8,243.189
2003-9,264.695
2003-10,268.955
2003-11,247.368
2003-12,247.521
2004-1,256.494
2004-2,214.974
2004-3,273.646
2004-4,238.045
2004-5,254.86
2004-6,279.415
2004-7,249.081
2004-8,281.405
2004-9,280.43
2004-10,248.861
2004-11,266.398
2004-12,248.921
2005-1,246.602
2005-2,237.093
2005-3,270.163
2005-4,263.941
2005-5,273.825
2005-6,284.813
2005-7,267.064
2005-8,321.431
2005-9,280.468
2005-10,292.837
2005-11,304.782
2005-12,281.31
2006-1,301.206
2006-2,250.819
2006-3,330.2
2006-4,270.149
2006-5,314.374
2006-6,297.17
2006-7,322.005
2006-8,331.806
2006-9,310.371
2006-10,321.178
2006-11,316.305
2006-12,300.099
2007-1,314.579
2007-2,289.157
2007-3,358.097
2007-4,320.731
2007-5,348.055
2007-6,339.532
2007-7,355.153
2007-8,393.579
2007-9,339.874
2007-10,385.653
2007-11,346.513
2007-12,316.174
2008-1,352.18
2008-2,317.254
2008-3,340.1
2008-4,364.548
2008-5,368.811
2008-6,365.331
2008-7,412.269
2008-8,391.08
2008-9,370.434
2008-10,370.647
2008-11,338.441
2008-12,309.581
2009-1,306.247
2009-2,283.758
2009-3,360.756
2009-4,327.097
2009-5,353.812
2009-6,348.866
2009-7,357.718
2009-8,340.98
2009-9,341.918
2009-10,329.733
2009-11,329.229
2009-12,286.816
2010-1,312.944
2010-2,276.977
2010-3,344.264
2010-4,307.211
2010-5,356.467
2010-6,369.496
2010-7,374.629
2010-8,399.587
2010-9,393.905
2010-10,366.444
2010-11,365.448
2010-12,332.539
2011-1,328.629
2011-2,329.562
2011-3,332.044
2011-4,326.855
2011-5,370.477
2011-6,384.873
2011-7,383.865
2011-8,428.42
2011-9,389.212
2011-10,383.725
2011-11,387.8
2011-12,344.792
2012-1,358.567
2012-2,341.167
2012-3,413.334
2012-4,355.482
2012-5,419.136
2012-6,384.891
2012-7,435.636
2012-8,458.944
2012-9,393.089
2012-10,433.678
2012-11,391.653
2012-12,348.055
2013-1,368.855
2013-2,338.512
2013-3,376.414
2013-4,428.665
2013-5,423.907
2013-6,419.748
2013-7,442.922
2013-8,469.707
2013-9,426.004
2013-10,458.546
2013-11,391.296
2013-12,319.901
2014-1,391.783
2014-2,398.065
2014-3,392.31899999999996
2014-4,386.573
2014-5,380.827
2014-6,375.081
2014-7,369.3349999999999
2014-8,363.58899999999994
2014-9,357.84299999999996
2014-10,352.097
2014-11,346.351
2014-12,340.605
2015-1,334.8589999999999
2015-2,329.11299999999994
2015-3,323.36699999999996
2015-4,317.621
2015-5,311.875
2015-6,306.129
2015-7,300.3829999999999
2015-8,294.63699999999994
2015-9,288.89099999999996
2015-10,283.145
2015-11,277.399
2015-12,271.653
2016-1,265.9069999999999
2016-2,260.16099999999994
2016-3,254.41499999999996
2016-4,248.66899999999998
2016-5,242.923
2016-6,237.17700000000002
2016-7,231.43099999999993
2016-8,225.68499999999995
2016-9,219.93899999999996
2016-10,214.19299999999998
2016-11,208.447
2016-12,202.70100000000002
2017-1,196.955
2017-2,175.917
2017-3,208.629
2017-4,181.933
2017-5,187.947
2017-6,181.556
2017-7,185.846
2017-8,200.671
2017-9,207.913
2017-10,188.107
2017-11,193.661
2017-12,175.783
2018-1,185.078
2018-2,146.761
2018-3,173.121
2018-4,169.841
2018-5,142.706
2018-6,242.422
2018-7,226.205
2018-8,229.696
2018-9,232.624
2018-10,234.262
2018-11,217.727
2018-12,190.769
2019-1,232.609
2019-2,195.364
2019-3,205.69
2019-4,231.354
2019-5,236.711
2019-6,215.36
2019-7,258.015
2019-8,244.87
2019-9,225.41
2019-10,252.849
2019-11,226.618
2019-12,190.993
2020-1,214.851
2020-2,174.774
2020-3,222.573
2020-4,203.373
2020-5,243.341
2020-6,351.135
2020-7,307.027
2020-8,265.128
2020-9,271.519
2020-10,268.705
2020-11,220.683
2020-12,192.498
2021-1,228.07
2021-2,212.958
2021-3,252.909
2021-4,237.46
2021-5,235.758
2021-6,251.783
2021-7,273.551
2021-8,253.127
2021-9,248.124
2021-10,206.532
2021-11,226.668
2021-12,202.742
2022-1,200.92
2022-2,191.992
2022-3,250.778
2022-4,226.284
2022-5,234.678
2022-6,220.995
2022-7,227.573
2022-8,241.702
2022-9,221.036
2022-10,224.399
2022-11,221.319
2022-12,221.319
