,Amazonas - Consumo de Cimento (t)
2003-1,28.193
2003-2,31.226
2003-3,33.484
2003-4,31.596
2003-5,32.919
2003-6,32.198
2003-7,37.274
2003-8,37.605
2003-9,38.386
2003-10,39.519
2003-11,39.614
2003-12,36.333
2004-1,34.293
2004-2,48.623
2004-3,34.555
2004-4,57.805
2004-5,39.036
2004-6,55.436
2004-7,56.242
2004-8,58.105
2004-9,41.072
2004-10,55.694
2004-11,44.211
2004-12,62.31
2005-1,39.696
2005-2,56.005
2005-3,39.376
2005-4,59.327
2005-5,40.816
2005-6,58.167
2005-7,46.075
2005-8,61.321
2005-9,49.763
2005-10,59.29
2005-11,58.858
2005-12,44.592
2006-1,51.658
2006-2,47.766
2006-3,63.752
2006-4,39.106
2006-5,56.476
2006-6,41.108
2006-7,59.763
2006-8,63.997
2006-9,56.749
2006-10,50.074
2006-11,58.841
2006-12,36.857
2007-1,57.622
2007-2,51.061
2007-3,57.695
2007-4,55.162
2007-5,41.137
2007-6,62.169
2007-7,59.404
2007-8,64.462
2007-9,57.133
2007-10,53.736
2007-11,54.047
2007-12,53.303
2008-1,77.287
2008-2,42.181
2008-3,56.733
2008-4,63.01
2008-5,61.179
2008-6,46.974
2008-7,72.652
2008-8,66.121
2008-9,87.346
2008-10,56.694
2008-11,71.614
2008-12,67.442
2009-1,57.07
2009-2,54.492
2009-3,58.917
2009-4,57.781
2009-5,59.29
2009-6,58.25
2009-7,61.63
2009-8,61.355
2009-9,63.019
2009-10,83.067
2009-11,63.231
2009-12,66.15
2010-1,61.815
2010-2,49.654
2010-3,72.659
2010-4,64.381
2010-5,63.81
2010-6,63.905
2010-7,64.854
2010-8,62.407
2010-9,70.814
2010-10,70.916
2010-11,71.753
2010-12,79.148
2011-1,71.494
2011-2,64.471
2011-3,72.246
2011-4,70.211
2011-5,78.267
2011-6,77.957
2011-7,69.125
2011-8,91.194
2011-9,86.092
2011-10,98.275
2011-11,81.922
2011-12,86.757
2012-1,81.889
2012-2,78.002
2012-3,81.959
2012-4,61.107
2012-5,97.398
2012-6,70.266
2012-7,97.903
2012-8,84.966
2012-9,95.924
2012-10,87.178
2012-11,79.674
2012-12,78.666
2013-1,77.124
2013-2,62.791
2013-3,109.019
2013-4,77.024
2013-5,76.369
2013-6,115.12
2013-7,97.534
2013-8,75.82
2013-9,63.07
2013-10,116.893
2013-11,101.635
2013-12,64.207
2014-1,80.43
2014-2,63.088
2014-3,63.03654285714286
2014-4,62.98508571428572
2014-5,62.93362857142857
2014-6,62.88217142857143
2014-7,62.830714285714286
2014-8,62.77925714285715
2014-9,62.7278
2014-10,62.676342857142856
2014-11,62.62488571428572
2014-12,62.57342857142857
2015-1,62.52197142857143
2015-2,62.47051428571429
2015-3,62.41905714285714
2015-4,62.3676
2015-5,62.31614285714286
2015-6,62.26468571428572
2015-7,62.21322857142857
2015-8,62.16177142857143
2015-9,62.11031428571429
2015-10,62.05885714285714
2015-11,62.007400000000004
2015-12,61.95594285714286
2016-1,61.90448571428571
2016-2,61.853028571428574
2016-3,61.80157142857143
2016-4,61.75011428571429
2016-5,61.698657142857144
2016-6,61.6472
2016-7,61.59574285714286
2016-8,61.544285714285714
2016-9,61.492828571428575
2016-10,61.44137142857143
2016-11,61.38991428571428
2016-12,61.338457142857145
2017-1,61.287
2017-2,44.068
2017-3,62.847
2017-4,30.374
2017-5,60.003
2017-6,81.014
2017-7,64.862
2017-8,49.885
2017-9,53.13
2017-10,57.796
2017-11,47.026
2017-12,74.919
2018-1,34.733
2018-2,15.022
2018-3,20.879
2018-4,36.409
2018-5,22.277
2018-6,20.529
2018-7,37.061
2018-8,23.387
2018-9,38.399
2018-10,39.652
2018-11,40.204
2018-12,21.625
2019-1,42.731
2019-2,36.026
2019-3,34.609
2019-4,40.787
2019-5,39.823
2019-6,39.957
2019-7,52.048
2019-8,53.567
2019-9,46.239
2019-10,51.066
2019-11,51.684
2019-12,44.907
2020-1,45.294
2020-2,39.968
2020-3,37.103
2020-4,30.464
2020-5,42.023
2020-6,46.489
2020-7,54.682
2020-8,62.126
2020-9,67.521
2020-10,61.319
2020-11,55.832
2020-12,52.499
2021-1,40.011
2021-2,42.063
2021-3,49.387
2021-4,51.654
2021-5,52.7
2021-6,56.166
2021-7,54.955
2021-8,52.909
2021-9,46.937
2021-10,68.771
2021-11,49.422
2021-12,45.18
2022-1,42.343
2022-2,47.687
2022-3,55.914
2022-4,41.088
2022-5,45.903
2022-6,56.952
2022-7,59.909
2022-8,66.077
2022-9,58.59
2022-10,58.793
2022-11,53.509
2022-12,53.509
