,Alagoas - Consumo de Cimento (t)
2003-1,30.109
2003-2,27.684
2003-3,26.534
2003-4,25.109
2003-5,25.171
2003-6,22.645
2003-7,24.689
2003-8,23.364
2003-9,26.382
2003-10,26.634
2003-11,27.789
2003-12,30.032
2004-1,24.166
2004-2,21.774
2004-3,28.228
2004-4,25.525
2004-5,26.207
2004-6,19.604
2004-7,25.229
2004-8,22.412
2004-9,27.37
2004-10,26.452
2004-11,26.598
2004-12,30.97
2005-1,29.095
2005-2,25.241
2005-3,29.04
2005-4,25.685
2005-5,21.197
2005-6,20.299
2005-7,22.784
2005-8,23.659
2005-9,23.77
2005-10,25.386
2005-11,26.776
2005-12,33.636
2006-1,30.849
2006-2,25.234
2006-3,33.238
2006-4,23.23
2006-5,24.302
2006-6,19.608
2006-7,21.908
2006-8,26.927
2006-9,26.885
2006-10,27.027
2006-11,30.102
2006-12,28.794
2007-1,34.1
2007-2,27.356
2007-3,31.753
2007-4,28.188
2007-5,29.624
2007-6,25.216
2007-7,26.504
2007-8,27.872
2007-9,28.082
2007-10,35.652
2007-11,35.59
2007-12,33.937
2008-1,38.282
2008-2,32.977
2008-3,35.662
2008-4,39.98
2008-5,34.089
2008-6,32.715
2008-7,34.859
2008-8,36.732
2008-9,37.753
2008-10,43.724
2008-11,38.241
2008-12,41.321
2009-1,39.282
2009-2,33.478
2009-3,41.948
2009-4,38.575
2009-5,33.137
2009-6,31.802
2009-7,39.047
2009-8,36.258
2009-9,40.763
2009-10,46.242
2009-11,45.302
2009-12,45.238
2010-1,46.449
2010-2,41.239
2010-3,51.021
2010-4,46.153
2010-5,47.98
2010-6,39.314
2010-7,45.354
2010-8,51.514
2010-9,50.908
2010-10,50.898
2010-11,55.138
2010-12,57.804
2011-1,61.858
2011-2,60.153
2011-3,76.21
2011-4,59.365
2011-5,51.659
2011-6,55.008
2011-7,53.624
2011-8,63.884
2011-9,59.893
2011-10,65.805
2011-11,66.635
2011-12,68.787
2012-1,72.505
2012-2,70.893
2012-3,89.431
2012-4,73.884
2012-5,75.662
2012-6,60.902
2012-7,60.518
2012-8,64.379
2012-9,64.24
2012-10,73.016
2012-11,74.154
2012-12,65.28
2013-1,73.974
2013-2,63.596
2013-3,72.665
2013-4,71.362
2013-5,62.454
2013-6,56.918
2013-7,59.718
2013-8,60.978
2013-9,65.895
2013-10,73.594
2013-11,68.06
2013-12,62.161
2014-1,77.726
2014-2,72.138
2014-3,71.18165714285715
2014-4,70.22531428571429
2014-5,69.26897142857143
2014-6,68.31262857142858
2014-7,67.35628571428572
2014-8,66.39994285714286
2014-9,65.4436
2014-10,64.48725714285715
2014-11,63.53091428571429
2014-12,62.57457142857143
2015-1,61.618228571428574
2015-2,60.66188571428572
2015-3,59.70554285714286
2015-4,58.7492
2015-5,57.792857142857144
2015-6,56.83651428571429
2015-7,55.88017142857143
2015-8,54.92382857142857
2015-9,53.967485714285715
2015-10,53.01114285714286
2015-11,52.0548
2015-12,51.09845714285714
2016-1,50.142114285714285
2016-2,49.18577142857143
2016-3,48.22942857142857
2016-4,47.27308571428571
2016-5,46.316742857142856
2016-6,45.3604
2016-7,44.40405714285714
2016-8,43.447714285714284
2016-9,42.491371428571426
2016-10,41.53502857142857
2016-11,40.57868571428571
2016-12,39.622342857142854
2017-1,38.666
2017-2,32.321
2017-3,41.937
2017-4,31.982
2017-5,28.499
2017-6,22.626
2017-7,21.34
2017-8,26.848
2017-9,28.074
2017-10,29.941
2017-11,28.977
2017-12,31.58
2018-1,29.991
2018-2,26.82
2018-3,29.446
2018-4,27.666
2018-5,22.013
2018-6,28.025
2018-7,25.648
2018-8,31.782
2018-9,27.768
2018-10,33.073
2018-11,30.389
2018-12,27.657
2019-1,32.388
2019-2,30.378
2019-3,30.641
2019-4,32.337
2019-5,36.405
2019-6,22.499
2019-7,27.961
2019-8,32.378
2019-9,32.582
2019-10,42.703
2019-11,38.584
2019-12,36.503
2020-1,43.323
2020-2,40.16
2020-3,41.173
2020-4,39.667
2020-5,45.017
2020-6,45.23
2020-7,50.843
2020-8,55.414
2020-9,55.039
2020-10,63.699
2020-11,51.896
2020-12,50.018
2021-1,50.213
2021-2,44.866
2021-3,53.96
2021-4,46.658
2021-5,44.643
2021-6,44.571
2021-7,47.848
2021-8,47.45
2021-9,48.431
2021-10,50.451
2021-11,49.062
2021-12,48.425
2022-1,44.541
2022-2,47.365
2022-3,50.853
2022-4,45.2
2022-5,43.86
2022-6,32.76
2022-7,39.293
2022-8,46.546
2022-9,47.781
2022-10,51.171
2022-11,49.126
2022-12,49.126
