Ano,Rio Grande Do Norte - Consumo de Cimento (t)
2003-1,36.825
2003-2,34.088
2003-3,30.15
2003-4,31.224
2003-5,33.606
2003-6,28.825
2003-7,35.809
2003-8,34.046
2003-9,34.492
2003-10,35.487
2003-11,35.133
2003-12,38.58
2004-1,32.845
2004-2,26.809
2004-3,34.465
2004-4,30.563
2004-5,32.574
2004-6,32.706
2004-7,32.727
2004-8,35.823
2004-9,37.225
2004-10,33.551
2004-11,35.805
2004-12,39.511
2005-1,38.146
2005-2,30.35
2005-3,33.791
2005-4,30.891
2005-5,30.724
2005-6,29.836
2005-7,39.965
2005-8,39.549
2005-9,40.932
2005-10,44.399
2005-11,43.484
2005-12,48.074
2006-1,45.289
2006-2,35.791
2006-3,44.472
2006-4,32.34
2006-5,42.359
2006-6,38.437
2006-7,45.045
2006-8,50.67
2006-9,45.984
2006-10,47.164
2006-11,48.933
2006-12,50.305
2007-1,52.024
2007-2,42.567
2007-3,48.994
2007-4,41.894
2007-5,47.464
2007-6,41.318
2007-7,49.578
2007-8,55.472
2007-9,50.879
2007-10,60.773
2007-11,57.011
2007-12,54.073
2008-1,60.736
2008-2,53.673
2008-3,52.746
2008-4,51.297
2008-5,53.162
2008-6,54.844
2008-7,60.888
2008-8,59.457
2008-9,68.018
2008-10,64.585
2008-11,62.44
2008-12,63.945
2009-1,58.284
2009-2,51.715
2009-3,56.625
2009-4,49.219
2009-5,49.385
2009-6,51.296
2009-7,57.426
2009-8,61.581
2009-9,64.048
2009-10,64.685
2009-11,66.659
2009-12,63.555
2010-1,64.792
2010-2,58.894
2010-3,75.285
2010-4,67.041
2010-5,65.23
2010-6,63.704
2010-7,75.67
2010-8,74.932
2010-9,79.151
2010-10,74.257
2010-11,73.831
2010-12,77.403
2011-1,74.006
2011-2,61.738
2011-3,67.017
2011-4,63.006
2011-5,62.958
2011-6,66.641
2011-7,65.665
2011-8,74.419
2011-9,84.194
2011-10,70.176
2011-11,73.094
2011-12,74.061
2012-1,76.824
2012-2,71.789
2012-3,85.293
2012-4,70.589
2012-5,77.63
2012-6,71.426
2012-7,83.801
2012-8,95.78
2012-9,80.156
2012-10,85.023
2012-11,85.182
2012-12,77.938
2013-1,83.158
2013-2,72.593
2013-3,80.256
2013-4,79.004
2013-5,73.572
2013-6,74.461
2013-7,80.092
2013-8,85.507
2013-9,83.962
2013-10,87.21
2013-11,79.636
2013-12,74.719
2014-1,93.19263842633465
2014-2,81.91194505135283
2014-3,90.00455396657317
2014-4,84.1132811888823
2014-5,87.11352999027704
2014-6,86.97074229707529
2014-7,94.44854931045273
2014-8,100.31013932039922
2014-9,99.64780618916168
2014-10,99.8596596687491
2014-11,97.19527235440717
2014-12,92.583
2015-1,75.07417767017958
2015-2,65.9866704059053
2015-3,72.50591881195588
2015-4,67.7600240000447
2015-5,70.17696610377854
2015-6,70.06193911420557
2015-7,76.08591506107578
2015-8,80.80789801238281
2015-9,80.27433531890163
2015-10,80.44500036321372
2015-11,78.29862174364935
2015-12,74.583
2016-1,69.03469075146123
2016-2,60.67824552408945
2016-3,66.67304042708345
2016-4,62.30893827043216
2016-5,64.53144480827903
2016-6,64.42567138658232
2016-7,69.96503697795013
2016-8,74.30715090971067
2016-9,73.81651169548161
2016-10,73.97344726136859
2016-11,71.99973820673007
2016-12,63.088499999999954
2017-1,57.594
2017-2,52.722
2017-3,63.109
2017-4,49.356
2017-5,55.725
2017-6,50.796
2017-7,48.75
2017-8,59.738
2017-9,60.303
2017-10,51.009
2017-11,48.874
2017-12,48.506
2018-1,42.721
2018-2,32.801
2018-3,37.638
2018-4,37.358
2018-5,31.339
2018-6,45.311
2018-7,42.085
2018-8,48.52
2018-9,41.365
2018-10,43.813
2018-11,43.816
2018-12,38.245
2019-1,46.081
2019-2,38.703
2019-3,36.037
2019-4,38.43
2019-5,44.471
2019-6,37.884
2019-7,51.585
2019-8,54.306
2019-9,52.511
2019-10,59.472
2019-11,54.022
2019-12,49.791
2020-1,60.438
2020-2,49.472
2020-3,44.855
2020-4,44.595
2020-5,55.953
2020-6,61.544
2020-7,69.505
2020-8,72.189
2020-9,71.92
2020-10,72.544
2020-11,70.478
2020-12,71.37
2021-1,73.317
2021-2,59.813
2021-3,77.672
2021-4,62.575
2021-5,59.378
2021-6,65.578
2021-7,68.661
2021-8,70.995
2021-9,69.761
2021-10,76.916
2021-11,62.896
2021-12,64.298
2022-1,55.593
2022-2,63.701
2022-3,64.383
2022-4,68.775
2022-5,71.289
2022-6,70.372
2022-7,74.088
2022-8,83.89
2022-9,83.438
2022-10,80.005
2022-11,75.441
2022-12,75.441
