Ano,Pará - Consumo de Cimento (t)
2003-1,84.701
2003-2,80.221
2003-3,76.122
2003-4,76.544
2003-5,83.445
2003-6,82.978
2003-7,93.037
2003-8,89.827
2003-9,93.27
2003-10,100.67
2003-11,92.924
2003-12,98.571
2004-1,110.204
2004-2,76.354
2004-3,77.171
2004-4,80.72
2004-5,82.088
2004-6,98.315
2004-7,108.105
2004-8,108.975
2004-9,110.773
2004-10,110.954
2004-11,117.382
2004-12,112.122
2005-1,115.365
2005-2,90.229
2005-3,87.897
2005-4,96.273
2005-5,97.686
2005-6,108.413
2005-7,107.399
2005-8,131.49
2005-9,112.652
2005-10,108.883
2005-11,106.626
2005-12,102.069
2006-1,93.022
2006-2,77.429
2006-3,89.122
2006-4,84.446
2006-5,88.899
2006-6,95.124
2006-7,98.14
2006-8,101.739
2006-9,108.266
2006-10,113.029
2006-11,120.634
2006-12,111.767
2007-1,110.404
2007-2,83.941
2007-3,95.591
2007-4,92.585
2007-5,91.907
2007-6,107.999
2007-7,98.977
2007-8,119.585
2007-9,102.989
2007-10,118.512
2007-11,128.351
2007-12,121.962
2008-1,125.806
2008-2,104.871
2008-3,104.41
2008-4,113.36
2008-5,121.369
2008-6,124.763
2008-7,140.932
2008-8,136.421
2008-9,139.405
2008-10,152.549
2008-11,155.094
2008-12,140.511
2009-1,118.546
2009-2,89.356
2009-3,86.009
2009-4,85.484
2009-5,91.428
2009-6,111.282
2009-7,120.818
2009-8,126.907
2009-9,132.98
2009-10,128.394
2009-11,133.536
2009-12,130.804
2010-1,118.184
2010-2,110.659
2010-3,124.857
2010-4,107.047
2010-5,117.699
2010-6,138.844
2010-7,148.287
2010-8,150.136
2010-9,153.064
2010-10,158.709
2010-11,148.366
2010-12,164.83
2011-1,140.059
2011-2,134.612
2011-3,130.483
2011-4,130.194
2011-5,152.468
2011-6,159.308
2011-7,155.651
2011-8,186.98
2011-9,162.849
2011-10,155.414
2011-11,171.352
2011-12,176.806
2012-1,159.573
2012-2,145.702
2012-3,167.042
2012-4,141.187
2012-5,171.029
2012-6,172.625
2012-7,183.172
2012-8,183.43
2012-9,182.637
2012-10,168.218
2012-11,198.949
2012-12,169.346
2013-1,197.302
2013-2,152.624
2013-3,175.476
2013-4,170.566
2013-5,197.499
2013-6,174.928
2013-7,222.278
2013-8,179.082
2013-9,211.698
2013-10,216.306
2013-11,214.322
2013-12,206.527
2014-1,200.3848822117668
2014-2,173.15447852467506
2014-3,182.569229115574
2014-4,177.73241869310027
2014-5,192.65219689577344
2014-6,207.9147444959958
2014-7,218.0918365085811
2014-8,220.73517459863044
2014-9,219.8001131120837
2014-10,224.74401989463317
2014-11,224.26107521139875
2014-12,204.75
2015-1,187.17269217582614
2015-2,161.73769972085032
2015-3,170.53169752553615
2015-4,166.01379768036838
2015-5,179.94985424330486
2015-6,194.20608002373234
2015-7,203.71215498054278
2015-8,206.1812070426768
2015-9,205.30779796183643
2015-10,209.9257328686134
2015-11,209.47463069196584
2015-12,191.25
2016-1,160.01430154639255
2016-2,138.26987662409948
2016-3,145.78788259045834
2016-4,141.9255211541973
2016-5,153.8394832354528
2016-6,166.0271586085241
2016-7,174.15392072846404
2016-8,176.26471817766094
2016-9,175.5180390418837
2016-10,179.46592064846166
2016-11,179.0802725131316
2016-12,149.25700000000006
2017-1,135.014
2017-2,116.872
2017-3,131.959
2017-4,116.171
2017-5,132.242
2017-6,135.615
2017-7,136.117
2017-8,136.475
2017-9,125.3
2017-10,132.627
2017-11,135.172
2017-12,131.376
2018-1,111.175
2018-2,80.97
2018-3,92.173
2018-4,86.782
2018-5,85.15
2018-6,135.094
2018-7,132.351
2018-8,133.744
2018-9,128.527
2018-10,147.51
2018-11,138.511
2018-12,103.294
2019-1,110.704
2019-2,91.638
2019-3,90.744
2019-4,82.108
2019-5,97.49
2019-6,96.803
2019-7,118.687
2019-8,109.761
2019-9,120.188
2019-10,131.62
2019-11,125.374
2019-12,115.811
2020-1,114.742
2020-2,90.433
2020-3,86.435
2020-4,80.834
2020-5,104.24
2020-6,137.512
2020-7,151.103
2020-8,144.451
2020-9,148.36
2020-10,152.152
2020-11,115.666
2020-12,118.619
2021-1,102.07
2021-2,100.248
2021-3,104.554
2021-4,112.921
2021-5,130.3
2021-6,142.425
2021-7,144.977
2021-8,137.794
2021-9,142.25
2021-10,150.995
2021-11,135.162
2021-12,125.356
2022-1,109.009
2022-2,114.899
2022-3,128.711
2022-4,112.465
2022-5,120.272
2022-6,143.199
2022-7,138.567
2022-8,156.442
2022-9,145.777
2022-10,139.233
2022-11,142.025
2022-12,142.025
