Ano,Bahia - Consumo de Cimento (t)
2003-1,151.297
2003-2,138.707
2003-3,135.009
2003-4,126.554
2003-5,137.331
2003-6,118.68
2003-7,131.291
2003-8,131.406
2003-9,147.495
2003-10,154.944
2003-11,142.678
2003-12,142.702
2004-1,129.857
2004-2,126.813
2004-3,152.225
2004-4,136.288
2004-5,148.117
2004-6,135.806
2004-7,147.816
2004-8,147.06
2004-9,156.749
2004-10,150.946
2004-11,142.002
2004-12,159.878
2005-1,139.997
2005-2,111.865
2005-3,159.603
2005-4,142.063
2005-5,137.144
2005-6,122.74
2005-7,124.17
2005-8,160.949
2005-9,145.708
2005-10,138.694
2005-11,129.206
2005-12,155.862
2006-1,146.547
2006-2,137.49
2006-3,175.839
2006-4,133.213
2006-5,169.039
2006-6,141.216
2006-7,155.953
2006-8,185.222
2006-9,178.863
2006-10,171.744
2006-11,167.8
2006-12,172.041
2007-1,191.238
2007-2,148.904
2007-3,185.388
2007-4,178.255
2007-5,192.947
2007-6,166.769
2007-7,182.507
2007-8,200.526
2007-9,185.443
2007-10,214.502
2007-11,210.569
2007-12,202.756
2008-1,223.848
2008-2,198.666
2008-3,202.162
2008-4,222.23
2008-5,226.571
2008-6,210.861
2008-7,235.521
2008-8,239.336
2008-9,250.326
2008-10,249.756
2008-11,216.948
2008-12,202.112
2009-1,221.999
2009-2,191.375
2009-3,221.545
2009-4,200.744
2009-5,211.897
2009-6,215.393
2009-7,251.828
2009-8,249.872
2009-9,267.42
2009-10,263.926
2009-11,266.105
2009-12,263.387
2010-1,262.363
2010-2,243.671
2010-3,294.896
2010-4,245.168
2010-5,284.621
2010-6,268.126
2010-7,270.271
2010-8,282.262
2010-9,293.852
2010-10,304.568
2010-11,304.03
2010-12,295.281
2011-1,287.721
2011-2,278.18
2011-3,280.752
2011-4,276.02
2011-5,311.649
2011-6,284.493
2011-7,315.672
2011-8,343.997
2011-9,337.718
2011-10,316.069
2011-11,283.237
2011-12,300.385
2012-1,322.696
2012-2,280.763
2012-3,347.041
2012-4,301.687
2012-5,317.338
2012-6,291.015
2012-7,303.688
2012-8,328.913
2012-9,304.092
2012-10,344.744
2012-11,312.801
2012-12,289.544
2013-1,327.49
2013-2,288.031
2013-3,317.118
2013-4,320.98
2013-5,332.452
2013-6,278.575
2013-7,340.828
2013-8,370.848
2013-9,355.831
2013-10,369.849
2013-11,346.788
2013-12,284.115
2014-1,356.00140629927176
2014-2,320.8715208267133
2014-3,353.27030890713814
2014-4,332.38985259008064
2014-5,353.7495957482117
2014-6,334.12835730139193
2014-7,359.39468985128997
2014-8,379.3110113582636
2014-9,375.00003871281893
2014-10,382.8644347980921
2014-11,359.7970820838544
2014-12,354.25
2015-1,336.7399799410425
2015-2,303.5107939882884
2015-3,334.156648345237
2015-4,314.4059273734919
2015-5,334.61000341179937
2015-6,316.0503704325798
2015-7,339.9496701698511
2015-8,358.7884207648972
2015-9,354.71069293442605
2015-10,362.1495865262593
2015-11,340.33029100427626
2015-12,335.083
2016-1,275.94086891463195
2016-2,248.7112823156952
2016-3,273.82396326723597
2016-4,257.6392764724337
2016-5,274.19546412381965
2016-6,258.98681188145997
2016-7,278.5710428275701
2016-8,294.00841741366236
2016-9,290.6669319121944
2016-10,296.7627176334306
2016-11,278.88294177047754
2016-12,273.0565
2017-1,271.53
2017-2,213.266
2017-3,285.938
2017-4,219.576
2017-5,267.203
2017-6,240.714
2017-7,250.101
2017-8,277.528
2017-9,270.092
2017-10,278.146
2017-11,257.458
2017-12,231.748
2018-1,268.336
2018-2,223.453
2018-3,241.464
2018-4,238.901
2018-5,191.989
2018-6,272.452
2018-7,261.009
2018-8,292.688
2018-9,258.881
2018-10,276.879
2018-11,255.774
2018-12,208.326
2019-1,291.428
2019-2,249.43
2019-3,241.612
2019-4,252.303
2019-5,281.912
2019-6,200.213
2019-7,270.511
2019-8,281.466
2019-9,285.535
2019-10,328.259
2019-11,298.078
2019-12,264.838
2020-1,300.311
2020-2,281.721
2020-3,247.497
2020-4,240.954
2020-5,305.922
2020-6,345.722
2020-7,358.056
2020-8,354.65
2020-9,365.171
2020-10,376.053
2020-11,320.599
2020-12,307.244
2021-1,340.652
2021-2,287.87
2021-3,354.238
2021-4,306.242
2021-5,323.174
2021-6,313.848
2021-7,342.059
2021-8,347.869
2021-9,348.888
2021-10,325.674
2021-11,311.751
2021-12,260.27
2022-1,295.06
2022-2,317.458
2022-3,343.257
2022-4,336.294
2022-5,349.279
2022-6,296.171
2022-7,329.527
2022-8,366.305
2022-9,346.042
2022-10,347.901
2022-11,310.845
2022-12,310.845
