,Ceará - Consumo de Cimento (t)
2003-1,81.265
2003-2,65.2
2003-3,55.165
2003-4,53.928
2003-5,65.334
2003-6,64.323
2003-7,80.404
2003-8,78.62
2003-9,79.494
2003-10,85.605
2003-11,84.457
2003-12,94.777
2004-1,75.575
2004-2,53.065
2004-3,67.755
2004-4,64.858
2004-5,72.377
2004-6,70.882
2004-7,85.304
2004-8,82.452
2004-9,80.106
2004-10,79.744
2004-11,83.228
2004-12,101.817
2005-1,91.341
2005-2,69.73
2005-3,77.682
2005-4,66.14
2005-5,76.289
2005-6,80.34
2005-7,93.393
2005-8,91.998
2005-9,81.5
2005-10,81.596
2005-11,80.195
2005-12,95.958
2006-1,93.559
2006-2,67.351
2006-3,80.25
2006-4,60.193
2006-5,77.034
2006-6,82.997
2006-7,88.693
2006-8,100.211
2006-9,97.804
2006-10,99.213
2006-11,101.183
2006-12,106.958
2007-1,95.626
2007-2,65.624
2007-3,78.343
2007-4,69.913
2007-5,84.748
2007-6,91.821
2007-7,105.94
2007-8,113.44
2007-9,107.511
2007-10,118.965
2007-11,124.128
2007-12,117.705
2008-1,113.871
2008-2,91.401
2008-3,82.105
2008-4,84.652
2008-5,88.592
2008-6,99.885
2008-7,125.601
2008-8,122.065
2008-9,124.34
2008-10,131.923
2008-11,130.25
2008-12,133.906
2009-1,121.805
2009-2,94.761
2009-3,93.343
2009-4,78.375
2009-5,85.658
2009-6,109.614
2009-7,135.487
2009-8,138.674
2009-9,146.728
2009-10,146.172
2009-11,140.885
2009-12,145.983
2010-1,138.52
2010-2,130.778
2010-3,143.283
2010-4,125.297
2010-5,130.266
2010-6,148.729
2010-7,153.951
2010-8,178.971
2010-9,155.598
2010-10,149.923
2010-11,137.036
2010-12,201.888
2011-1,141.567
2011-2,115.864
2011-3,141.204
2011-4,139.449
2011-5,113.44
2011-6,136.542
2011-7,153.277
2011-8,167.021
2011-9,163.692
2011-10,145.031
2011-11,173.692
2011-12,126.961
2012-1,142.397
2012-2,143.499
2012-3,160.587
2012-4,116.653
2012-5,163.844
2012-6,152.401
2012-7,179.893
2012-8,157.767
2012-9,148.487
2012-10,203.179
2012-11,172.222
2012-12,162.812
2013-1,178.673
2013-2,145.178
2013-3,134.031
2013-4,143.115
2013-5,162.691
2013-6,160.042
2013-7,185.124
2013-8,206.687
2013-9,184.866
2013-10,190.547
2013-11,190.1
2013-12,184.335
2014-1,192.134
2014-2,157.337
2014-3,158.09285714285713
2014-4,158.84871428571427
2014-5,159.60457142857143
2014-6,160.36042857142854
2014-7,161.1162857142857
2014-8,161.87214285714285
2014-9,162.628
2014-10,163.38385714285712
2014-11,164.13971428571426
2014-12,164.89557142857143
2015-1,165.65142857142857
2015-2,166.4072857142857
2015-3,167.16314285714284
2015-4,167.91899999999998
2015-5,168.67485714285715
2015-6,169.43071428571426
2015-7,170.18657142857143
2015-8,170.94242857142856
2015-9,171.6982857142857
2015-10,172.45414285714287
2015-11,173.20999999999998
2015-12,173.96585714285715
2016-1,174.72171428571428
2016-2,175.47757142857142
2016-3,176.23342857142856
2016-4,176.9892857142857
2016-5,177.74514285714287
2016-6,178.50099999999998
2016-7,179.25685714285714
2016-8,180.01271428571428
2016-9,180.76857142857142
2016-10,181.5244285714286
2016-11,182.2802857142857
2016-12,183.03614285714286
2017-1,183.792
2017-2,134.739
2017-3,151.819
2017-4,124.858
2017-5,162.684
2017-6,169.251
2017-7,179.243
2017-8,194.134
2017-9,186.948
2017-10,194.907
2017-11,179.505
2017-12,173.278
2018-1,160.261
2018-2,113.987
2018-3,114.289
2018-4,117.313
2018-5,110.502
2018-6,147.996
2018-7,152.386
2018-8,177.259
2018-9,155.913
2018-10,172.41
2018-11,179.419
2018-12,157.165
2019-1,151.601
2019-2,129.537
2019-3,105.236
2019-4,110.835
2019-5,127.925
2019-6,127.138
2019-7,157.128
2019-8,164.44
2019-9,140.298
2019-10,168.407
2019-11,163.615
2019-12,155.07
2020-1,149.245
2020-2,115.089
2020-3,92.871
2020-4,86.321
2020-5,128.756
2020-6,151.016
2020-7,200.508
2020-8,188.585
2020-9,193.975
2020-10,193.778
2020-11,180.726
2020-12,183.494
2021-1,170.356
2021-2,145.649
2021-3,156.169
2021-4,151.904
2021-5,153.668
2021-6,174.53
2021-7,210.914
2021-8,212.913
2021-9,202.362
2021-10,202.36
2021-11,169.226
2021-12,177.053
2022-1,136.054
2022-2,155.767
2022-3,147.993
2022-4,135.895
2022-5,155.895
2022-6,159.601
2022-7,168.561
2022-8,186.918
2022-9,179.828
2022-10,174.94
2022-11,182.597
2022-12,182.597
