Ano,Rondônia - Consumo de Cimento (t)
2003-1,13.867
2003-2,10.777
2003-3,13.888
2003-4,11.859
2003-5,14.431
2003-6,12.653
2003-7,15.269
2003-8,18.397
2003-9,22.262
2003-10,18.333
2003-11,18.156
2003-12,15.494
2004-1,13.42
2004-2,11.302
2004-3,16.993
2004-4,16.214
2004-5,15.406
2004-6,19.759
2004-7,20.185
2004-8,19.467
2004-9,18.7
2004-10,22.264
2004-11,14.075
2004-12,21.219
2005-1,21.211
2005-2,15.823
2005-3,15.195
2005-4,15.479
2005-5,18.536
2005-6,22.6
2005-7,17.735
2005-8,23.933
2005-9,21.268
2005-10,22.834
2005-11,19.522
2005-12,18.921
2006-1,15.232
2006-2,14.323
2006-3,18.022
2006-4,18.153
2006-5,24.051
2006-6,19.856
2006-7,24.547
2006-8,31.799
2006-9,23.772
2006-10,24.95
2006-11,31.004
2006-12,26.292
2007-1,23.886
2007-2,17.043
2007-3,26.506
2007-4,24.619
2007-5,27.225
2007-6,30.325
2007-7,31.345
2007-8,41.466
2007-9,31.547
2007-10,30.362
2007-11,37.141
2007-12,29.912
2008-1,25.691
2008-2,20.925
2008-3,26.599
2008-4,31.491
2008-5,34.899
2008-6,36.232
2008-7,48.534
2008-8,33.365
2008-9,39.081
2008-10,34.094
2008-11,30.893
2008-12,28.984
2009-1,29.45
2009-2,21.202
2009-3,23.438
2009-4,30.851
2009-5,30.705
2009-6,33.157
2009-7,46.931
2009-8,52.028
2009-9,39.746
2009-10,56.136
2009-11,43.751
2009-12,44.93
2010-1,41.841
2010-2,51.53
2010-3,66.877
2010-4,68.114
2010-5,74.693
2010-6,69.723
2010-7,88.606
2010-8,91.828
2010-9,79.6
2010-10,98.639
2010-11,103.767
2010-12,86.207
2011-1,86.627
2011-2,89.239
2011-3,70.964
2011-4,51.254
2011-5,79.718
2011-6,92.461
2011-7,95.233
2011-8,111.497
2011-9,101.484
2011-10,88.575
2011-11,85.509
2011-12,69.009
2012-1,76.504
2012-2,71.465
2012-3,60.31
2012-4,59.47
2012-5,83.207
2012-6,78.851
2012-7,87.357
2012-8,103.474
2012-9,76.909
2012-10,81.917
2012-11,84.588
2012-12,69.449
2013-1,71.963
2013-2,63.171
2013-3,67.048
2013-4,55.862
2013-5,77.398
2013-6,71.219
2013-7,81.103
2013-8,77.081
2013-9,73.869
2013-10,73.104
2013-11,65.958
2013-12,48.894
2014-1,58.222366112736445
2014-2,52.323682806904685
2014-3,55.475912947496724
2014-4,54.8780586608446
2014-5,63.34256938026231
2014-6,66.08830682302415
2014-7,72.21843217643897
2014-8,77.5535782049526
2014-9,71.50270969856169
2014-10,72.23892444106869
2014-11,68.25272693533323
2014-12,64.333
2015-1,43.9684448752919
2015-2,39.51386926998113
2015-3,41.89437467408107
2015-4,41.44288626848757
2015-5,47.83512687654524
2015-6,49.90865657749104
2015-7,54.53801290008279
2015-8,58.567015665139074
2015-9,53.99751263505371
2015-10,54.55348827609203
2015-11,51.543186273703725
2015-12,48.583
2016-1,32.42955625450346
2016-2,29.144020216281106
2016-3,30.899796071792213
2016-4,30.56679433181759
2016-5,35.28148294496476
2016-6,36.81084447396423
2016-7,40.22529253350875
2016-8,43.196941228147175
2016-9,39.82663882173773
2016-10,40.236706618729976
2016-11,38.016415261908406
2016-12,32.773999999999944
2017-1,29.715
2017-2,29.662
2017-3,31.408
2017-4,29.484
2017-5,33.601
2017-6,36.905
2017-7,36.094
2017-8,42.556
2017-9,41.193
2017-10,37.053
2017-11,33.527
2017-12,25.616
2018-1,25.221
2018-2,23.321
2018-3,23.927
2018-4,24.561
2018-5,20.135
2018-6,34.837
2018-7,34.338
2018-8,39.293
2018-9,41.61
2018-10,43.544
2018-11,35.658
2018-12,29.693
2019-1,32.559
2019-2,24.91
2019-3,28.713
2019-4,32.66
2019-5,31.635
2019-6,35.142
2019-7,36.419
2019-8,40.3
2019-9,35.493
2019-10,38.489
2019-11,35.591
2019-12,27.53
2020-1,36.086
2020-2,26.368
2020-3,28.211
2020-4,32.154
2020-5,40.132
2020-6,47.079
2020-7,52.899
2020-8,55.415
2020-9,51.237
2020-10,50.201
2020-11,37.203
2020-12,31.209
2021-1,35.615
2021-2,32.034
2021-3,36.93
2021-4,38.24
2021-5,44.66
2021-6,43.439
2021-7,46.9
2021-8,49.678
2021-9,52.707
2021-10,45.872
2021-11,40.769
2021-12,35.98
2022-1,36.183
2022-2,33.051
2022-3,37.764
2022-4,39.199
2022-5,41.584
2022-6,44.223
2022-7,46.333
2022-8,49.066
2022-9,49.85
2022-10,43.733
2022-11,40.078
2022-12,40.078
