Ano,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2003,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205
2004,61830134.709309086,2695788.0104486533,16.886950289084538,51509653.47169231
2005,62686671.769890346,2708770.4567468036,16.89819815298413,51674390.70468156
2006,63545954.70446385,2735091.1991593284,16.937331618717923,51897358.615272425
2007,64527870.49701014,2767527.9204881517,17.057530543002606,52333067.324855946
2008,65356019.83738571,2793552.9721474675,17.12790263485004,52609180.87584722
2009,65939673.99142018,2815132.820643816,17.131656699309254,52671583.976748765
2010,67891564.42644235,2861375.362368723,17.294037380359484,53395717.45720118
2011,69858113.64337362,2887266.1249204446,17.471860536322446,54152397.5304272
2012,71590156.14698905,2905725.794311625,17.591514543826047,54724080.79726176
2013,73140737.64388081,2912178.946756634,17.684469730461053,55197259.20957321
2014,74506952.99265689,2898180.820380595,17.765376989009695,55597246.63213971
2015,75521292.80488929,2867942.7927061087,17.804826498952167,55839830.41129878
2016,76313320.83239266,2837856.1572907246,17.84427582434464,56055545.86941466
2017,76590731.20461804,2826355.198550284,17.841399103041564,56102120.87879683
2018,76765591.25551,2824324.9676263034,17.858302703968686,56180803.36097593
2019,76459881.7475012,2828969.352332703,17.84478944127938,56103499.9330252
2020,75844959.71425743,2832983.588470148,17.835879643500366,55993894.61283992
2021,73727519.22740227,2820525.588839026,17.69047102503788,55304520.94127198
2022,71192784.48636036,2804678.328092952,17.513527534354484,54468561.159530364
