,Acre - IDH Educacao
2003-1,0.6438054571016973
2003-2,0.6442698843269065
2003-3,0.6447343115521155
2003-4,0.6451987387773246
2003-5,0.6456631660025336
2003-6,0.6461275932277427
2003-7,0.6465920204529518
2003-8,0.6470564476781608
2003-9,0.64752087490337
2003-10,0.647985302128579
2003-11,0.6484497293537881
2003-12,0.6489141565789971
2004-1,0.6493785838042062
2004-2,0.649812943929475
2004-3,0.6502473040547437
2004-4,0.6506816641800125
2004-5,0.6511160243052813
2004-6,0.65155038443055
2004-7,0.6519847445558187
2004-8,0.6524191046810874
2004-9,0.6528534648063562
2004-10,0.653287824931625
2004-11,0.6537221850568937
2004-12,0.6541565451821625
2005-1,0.6545909053074312
2005-2,0.6549947434051281
2005-3,0.6553985815028249
2005-4,0.6558024196005217
2005-5,0.6562062576982185
2005-6,0.6566100957959153
2005-7,0.6570139338936121
2005-8,0.6574177719913089
2005-9,0.6578216100890057
2005-10,0.6582254481867026
2005-11,0.6586292862843994
2005-12,0.6590331243820962
2006-1,0.659436962479793
2006-2,0.6598098236222862
2006-3,0.6601826847647795
2006-4,0.6605555459072727
2006-5,0.660928407049766
2006-6,0.6613012681922592
2006-7,0.6616741293347526
2006-8,0.6620469904772458
2006-9,0.662419851619739
2006-10,0.6627927127622323
2006-11,0.6631655739047255
2006-12,0.6635384350472188
2007-1,0.663911296189712
2007-2,0.6642527254493701
2007-3,0.6645941547090282
2007-4,0.6649355839686862
2007-5,0.6652770132283443
2007-6,0.6656184424880024
2007-7,0.6659598717476605
2007-8,0.6663013010073184
2007-9,0.6666427302669765
2007-10,0.6669841595266346
2007-11,0.6673255887862927
2007-12,0.6676670180459507
2008-1,0.6680084473056088
2008-2,0.6683179897548001
2008-3,0.6686275322039914
2008-4,0.6689370746531826
2008-5,0.669246617102374
2008-6,0.6695561595515652
2008-7,0.6698657020007566
2008-8,0.6701752444499478
2008-9,0.670484786899139
2008-10,0.6707943293483304
2008-11,0.6711038717975216
2008-12,0.671413414246713
2009-1,0.6717229566959042
2009-2,0.672000157406997
2009-3,0.6722773581180899
2009-4,0.6725545588291828
2009-5,0.6728317595402756
2009-6,0.6731089602513685
2009-7,0.6733861609624613
2009-8,0.6736633616735541
2009-9,0.673940562384647
2009-10,0.6742177630957398
2009-11,0.6744949638068327
2009-12,0.6747721645179255
2010-1,0.6750493652290184
2010-2,0.6752937692743812
2010-3,0.6755381733197441
2010-4,0.6757825773651069
2010-5,0.6760269814104697
2010-6,0.6762713854558325
2010-7,0.6765157895011954
2010-8,0.6767601935465583
2010-9,0.6770045975919211
2010-10,0.6772490016372839
2010-11,0.6774934056826467
2010-12,0.6777378097280096
2011-1,0.6779822137733724
2011-2,0.6781662543203164
2011-3,0.6783502948672604
2011-4,0.6785343354142044
2011-5,0.6787183759611484
2011-6,0.6789024165080924
2011-7,0.6790864570550363
2011-8,0.6792704976019804
2011-9,0.6794545381489244
2011-10,0.6796385786958684
2011-11,0.6798226192428124
2011-12,0.6800066597897564
2012-1,0.6801907003367004
2012-2,0.6804073024223719
2012-3,0.6806239045080434
2012-4,0.680840506593715
2012-5,0.6810571086793865
2012-6,0.681273710765058
2012-7,0.6814903128507295
2012-8,0.681706914936401
2012-9,0.6819235170220725
2012-10,0.6821401191077441
2012-11,0.6823567211934156
2012-12,0.6825733232790872
2013-1,0.6827899253647587
2013-2,0.6829620776242362
2013-3,0.6831342298837136
2013-4,0.6833063821431912
2013-5,0.6834785344026687
2013-6,0.6836506866621461
2013-7,0.6838228389216237
2013-8,0.6839949911811012
2013-9,0.6841671434405786
2013-10,0.6843392957000561
2013-11,0.6845114479595337
2013-12,0.6846836002190111
2014-1,0.6848557524784886
2014-2,0.684896417426256
2014-3,0.6849370823740232
2014-4,0.6849777473217905
2014-5,0.6850184122695577
2014-6,0.6850590772173251
2014-7,0.6850997421650924
2014-8,0.6851404071128596
2014-9,0.685181072060627
2014-10,0.6852217370083942
2014-11,0.6852624019561615
2014-12,0.6853030669039287
2015-1,0.6853437318516961
2015-2,0.6864073610915672
2015-3,0.6874709903314383
2015-4,0.6885346195713095
2015-5,0.6895982488111806
2015-6,0.6906618780510517
2015-7,0.6917255072909227
2015-8,0.6927891365307939
2015-9,0.693852765770665
2015-10,0.6949163950105361
2015-11,0.6959800242504073
2015-12,0.6970436534902784
2016-1,0.6981072827301495
2016-2,0.6980626409326507
2016-3,0.6980179991351518
2016-4,0.697973357337653
2016-5,0.697928715540154
2016-6,0.6978840737426552
2016-7,0.6978394319451563
2016-8,0.6977947901476574
2016-9,0.6977501483501586
2016-10,0.6977055065526596
2016-11,0.6976608647551608
2016-12,0.6976162229576619
2017-1,0.697571581160163
2017-2,0.6977728810174371
2017-3,0.697974180874711
2017-4,0.698175480731985
2017-5,0.6983767805892589
2017-6,0.6985780804465329
2017-7,0.6987793803038069
2017-8,0.6989806801610808
2017-9,0.6991819800183549
2017-10,0.6993832798756288
2017-11,0.6995845797329028
2017-12,0.6997858795901767
2018-1,0.6999871794474507
2018-2,0.6999416277765981
2018-3,0.6998960761057453
2018-4,0.6998505244348927
2018-5,0.6998049727640401
2018-6,0.6997594210931875
2018-7,0.6997138694223348
2018-8,0.6996683177514821
2018-9,0.6996227660806295
2018-10,0.6995772144097768
2018-11,0.6995316627389241
2018-12,0.6994861110680715
2019-1,0.6994405593972188
2019-2,0.6992241999987129
2019-3,0.699007840600207
2019-4,0.6987914812017011
2019-5,0.6985751218031951
2019-6,0.6983587624046893
2019-7,0.6981424030061834
2019-8,0.6979260436076774
2019-9,0.6977096842091716
2019-10,0.6974933248106656
2019-11,0.6972769654121597
2019-12,0.6970606060136538
2020-1,0.6968442466151479
2020-2,0.6964188242410202
2020-3,0.6959934018668925
2020-4,0.6955679794927648
2020-5,0.6951425571186371
2020-6,0.6947171347445095
2020-7,0.6942917123703818
2020-8,0.6938662899962542
2020-9,0.6934408676221265
2020-10,0.6930154452479989
2020-11,0.6925900228738712
2020-12,0.6921646004997435
2021-1,0.6917391781256158
2021-2,0.691737202202325
2021-3,0.6917352262790343
2021-4,0.6917332503557434
2021-5,0.6917312744324526
2021-6,0.6917292985091619
2021-7,0.6917273225858711
2021-8,0.6917253466625803
2021-9,0.6917233707392896
2021-10,0.6917213948159988
2021-11,0.6917194188927079
2021-12,0.6917174429694172
2022-1,0.6917154670461264
