,Mato Grosso do Sul - IDH Educacao
2003-1,0.6708820725943864
2003-2,0.6711458240992535
2003-3,0.6714095756041207
2003-4,0.6716733271089879
2003-5,0.671937078613855
2003-6,0.6722008301187222
2003-7,0.6724645816235894
2003-8,0.6727283331284565
2003-9,0.6729920846333237
2003-10,0.6732558361381908
2003-11,0.673519587643058
2003-12,0.6737833391479252
2004-1,0.6740470906527923
2004-2,0.6743122222261928
2004-3,0.6745773537995934
2004-4,0.6748424853729938
2004-5,0.6751076169463943
2004-6,0.6753727485197949
2004-7,0.6756378800931954
2004-8,0.6759030116665958
2004-9,0.6761681432399964
2004-10,0.6764332748133969
2004-11,0.6766984063867973
2004-12,0.6769635379601979
2005-1,0.6772286695335984
2005-2,0.6774943122299731
2005-3,0.677759954926348
2005-4,0.6780255976227227
2005-5,0.6782912403190975
2005-6,0.6785568830154723
2005-7,0.6788225257118471
2005-8,0.6790881684082218
2005-9,0.6793538111045967
2005-10,0.6796194538009714
2005-11,0.6798850964973462
2005-12,0.680150739193721
2006-1,0.6804163818900958
2006-2,0.6806816667638858
2006-3,0.6809469516376758
2006-4,0.6812122365114658
2006-5,0.6814775213852559
2006-6,0.6817428062590458
2006-7,0.6820080911328359
2006-8,0.6822733760066259
2006-9,0.6825386608804158
2006-10,0.6828039457542059
2006-11,0.6830692306279958
2006-12,0.6833345155017859
2007-1,0.6835998003755759
2007-2,0.683863858481222
2007-3,0.6841279165868682
2007-4,0.6843919746925144
2007-5,0.6846560327981606
2007-6,0.6849200909038067
2007-7,0.6851841490094529
2007-8,0.6854482071150991
2007-9,0.6857122652207452
2007-10,0.6859763233263914
2007-11,0.6862403814320376
2007-12,0.6865044395376838
2008-1,0.6867684976433299
2008-2,0.6870304600352732
2008-3,0.6872924224272166
2008-4,0.6875543848191598
2008-5,0.6878163472111031
2008-6,0.6880783096030464
2008-7,0.6883402719949896
2008-8,0.6886022343869329
2008-9,0.6888641967788762
2008-10,0.6891261591708195
2008-11,0.6893881215627629
2008-12,0.6896500839547061
2009-1,0.6899120463466494
2009-2,0.6901710440793307
2009-3,0.6904300418120121
2009-4,0.6906890395446934
2009-5,0.6909480372773746
2009-6,0.691207035010056
2009-7,0.6914660327427373
2009-8,0.6917250304754187
2009-9,0.6919840282081
2009-10,0.6922430259407812
2009-11,0.6925020236734626
2009-12,0.6927610214061439
2010-1,0.6930200191388253
2010-2,0.6932751832666856
2010-3,0.6935303473945459
2010-4,0.6937855115224062
2010-5,0.6940406756502665
2010-6,0.6942958397781268
2010-7,0.6945510039059872
2010-8,0.6948061680338475
2010-9,0.6950613321617078
2010-10,0.6953164962895682
2010-11,0.6955716604174285
2010-12,0.6958268245452888
2011-1,0.6960819886731491
2011-2,0.6963178765979736
2011-3,0.6965537645227982
2011-4,0.6967896524476227
2011-5,0.6970255403724472
2011-6,0.6972614282972718
2011-7,0.6974973162220963
2011-8,0.697733204146921
2011-9,0.6979690920717455
2011-10,0.69820497999657
2011-11,0.6984408679213946
2011-12,0.6986767558462191
2012-1,0.6989126437710437
2012-2,0.6992037037972315
2012-3,0.6994947638234192
2012-4,0.6997858238496071
2012-5,0.7000768838757949
2012-6,0.7003679439019826
2012-7,0.7006590039281705
2012-8,0.7009500639543583
2012-9,0.701241123980546
2012-10,0.7015321840067339
2012-11,0.7018232440329217
2012-12,0.7021143040591095
2013-1,0.7024053640852973
2013-2,0.7026026235581119
2013-3,0.7027998830309264
2013-4,0.702997142503741
2013-5,0.7031944019765556
2013-6,0.7033916614493702
2013-7,0.7035889209221847
2013-8,0.7037861803949993
2013-9,0.7039834398678139
2013-10,0.7041806993406284
2013-11,0.704377958813443
2013-12,0.7045752182862576
2014-1,0.7047724777590721
2014-2,0.7050070088546213
2014-3,0.7052415399501704
2014-4,0.7054760710457195
2014-5,0.7057106021412686
2014-6,0.7059451332368177
2014-7,0.7061796643323668
2014-8,0.706414195427916
2014-9,0.7066487265234651
2014-10,0.7068832576190142
2014-11,0.7071177887145633
2014-12,0.7073523198101124
2015-1,0.7075868509056615
2015-2,0.7084294416371676
2015-3,0.7092720323686736
2015-4,0.7101146231001796
2015-5,0.7109572138316856
2015-6,0.7117998045631917
2015-7,0.7126423952946978
2015-8,0.7134849860262038
2015-9,0.7143275767577099
2015-10,0.7151701674892159
2015-11,0.7160127582207219
2015-12,0.7168553489522279
2016-1,0.717697939683734
2016-2,0.7178471664995199
2016-3,0.7179963933153057
2016-4,0.7181456201310915
2016-5,0.7182948469468774
2016-6,0.7184440737626633
2016-7,0.7185933005784491
2016-8,0.7187425273942349
2016-9,0.7188917542100208
2016-10,0.7190409810258067
2016-11,0.7191902078415926
2016-12,0.7193394346573784
2017-1,0.7194886614731643
2017-2,0.7195756967873549
2017-3,0.7196627321015455
2017-4,0.7197497674157362
2017-5,0.7198368027299268
2017-6,0.7199238380441174
2017-7,0.7200108733583082
2017-8,0.7200979086724988
2017-9,0.7201849439866894
2017-10,0.72027197930088
2017-11,0.7203590146150707
2017-12,0.7204460499292613
2018-1,0.7205330852434519
2018-2,0.7205750025559023
2018-3,0.7206169198683527
2018-4,0.7206588371808031
2018-5,0.7207007544932535
2018-6,0.720742671805704
2018-7,0.7207845891181544
2018-8,0.7208265064306046
2018-9,0.720868423743055
2018-10,0.7209103410555054
2018-11,0.7209522583679558
2018-12,0.7209941756804062
2019-1,0.7210360929928566
2019-2,0.7209606088488631
2019-3,0.7208851247048697
2019-4,0.7208096405608762
2019-5,0.7207341564168827
2019-6,0.7206586722728892
2019-7,0.7205831881288955
2019-8,0.720507703984902
2019-9,0.7204322198409085
2019-10,0.720356735696915
2019-11,0.7202812515529216
2019-12,0.720205767408928
2020-1,0.7201302832649346
2020-2,0.7199267248048205
2020-3,0.7197231663447063
2020-4,0.7195196078845921
2020-5,0.719316049424478
2020-6,0.7191124909643639
2020-7,0.7189089325042497
2020-8,0.7187053740441356
2020-9,0.7185018155840215
2020-10,0.7182982571239074
2020-11,0.7180946986637933
2020-12,0.7178911402036791
2021-1,0.717687581743565
2021-2,0.7175109725143496
2021-3,0.7173343632851341
2021-4,0.7171577540559188
2021-5,0.7169811448267033
2021-6,0.7168045355974879
2021-7,0.7166279263682724
2021-8,0.7164513171390571
2021-9,0.7162747079098417
2021-10,0.7160980986806262
2021-11,0.7159214894514109
2021-12,0.7157448802221954
2022-1,0.71556827099298
