,Rio Grande do Sul - IDH Educacao
2003-1,0.7012164638694649
2003-2,0.7013430930053552
2003-3,0.7014697221412456
2003-4,0.7015963512771359
2003-5,0.7017229804130263
2003-6,0.7018496095489166
2003-7,0.701976238684807
2003-8,0.7021028678206974
2003-9,0.7022294969565878
2003-10,0.7023561260924781
2003-11,0.7024827552283684
2003-12,0.7026093843642588
2004-1,0.7027360135001491
2004-2,0.7028751025122438
2004-3,0.7030141915243385
2004-4,0.7031532805364333
2004-5,0.703292369548528
2004-6,0.7034314585606227
2004-7,0.7035705475727174
2004-8,0.7037096365848121
2004-9,0.7038487255969068
2004-10,0.7039878146090015
2004-11,0.7041269036210963
2004-12,0.704265992633191
2005-1,0.7044050816452857
2005-2,0.7045564005389178
2005-3,0.7047077194325498
2005-4,0.7048590383261819
2005-5,0.705010357219814
2005-6,0.705161676113446
2005-7,0.7053129950070781
2005-8,0.7054643139007102
2005-9,0.7056156327943423
2005-10,0.7057669516879743
2005-11,0.7059182705816064
2005-12,0.7060695894752385
2006-1,0.7062209083688705
2006-2,0.7063842271493729
2006-3,0.7065475459298753
2006-4,0.7067108647103777
2006-5,0.70687418349088
2006-6,0.7070375022713825
2006-7,0.7072008210518849
2006-8,0.7073641398323872
2006-9,0.7075274586128897
2006-10,0.707690777393392
2006-11,0.7078540961738944
2006-12,0.7080174149543969
2007-1,0.7081807337348992
2007-2,0.708355822407605
2007-3,0.7085309110803106
2007-4,0.7087059997530164
2007-5,0.7088810884257221
2007-6,0.7090561770984278
2007-7,0.7092312657711335
2007-8,0.7094063544438393
2007-9,0.709581443116545
2007-10,0.7097565317892507
2007-11,0.7099316204619565
2007-12,0.7101067091346621
2008-1,0.7102817978073679
2008-2,0.7104684263776099
2008-3,0.7106550549478519
2008-4,0.710841683518094
2008-5,0.711028312088336
2008-6,0.7112149406585779
2008-7,0.71140156922882
2008-8,0.711588197799062
2008-9,0.711774826369304
2008-10,0.711961454939546
2008-11,0.712148083509788
2008-12,0.7123347120800301
2009-1,0.7125213406502721
2009-2,0.7127192791233834
2009-3,0.7129172175964947
2009-4,0.7131151560696061
2009-5,0.7133130945427173
2009-6,0.7135110330158286
2009-7,0.71370897148894
2009-8,0.7139069099620513
2009-9,0.7141048484351626
2009-10,0.7143027869082739
2009-11,0.7145007253813852
2009-12,0.7146986638544965
2010-1,0.7148966023276079
2010-2,0.7151056207089215
2010-3,0.7153146390902351
2010-4,0.7155236574715487
2010-5,0.7157326758528623
2010-6,0.7159416942341759
2010-7,0.7161507126154895
2010-8,0.7163597309968031
2010-9,0.7165687493781167
2010-10,0.7167777677594303
2010-11,0.7169867861407438
2010-12,0.7171958045220574
2011-1,0.717404822903371
2011-2,0.7175843047209072
2011-3,0.7177637865384433
2011-4,0.7179432683559794
2011-5,0.7181227501735157
2011-6,0.7183022319910518
2011-7,0.7184817138085879
2011-8,0.7186611956261241
2011-9,0.7188406774436602
2011-10,0.7190201592611964
2011-11,0.7191996410787326
2011-12,0.7193791228962687
2012-1,0.7195586047138048
2012-2,0.7198749839132063
2012-3,0.7201913631126077
2012-4,0.7205077423120091
2012-5,0.7208241215114105
2012-6,0.7211405007108119
2012-7,0.7214568799102133
2012-8,0.7217732591096148
2012-9,0.7220896383090162
2012-10,0.7224060175084176
2012-11,0.722722396707819
2012-12,0.7230387759072204
2013-1,0.7233551551066218
2013-2,0.7235798436837512
2013-3,0.7238045322608805
2013-4,0.7240292208380098
2013-5,0.7242539094151391
2013-6,0.7244785979922684
2013-7,0.7247032865693978
2013-8,0.7249279751465271
2013-9,0.7251526637236564
2013-10,0.7253773523007857
2013-11,0.725602040877915
2013-12,0.7258267294550443
2014-1,0.7260514180321737
2014-2,0.7262392751018415
2014-3,0.7264271321715093
2014-4,0.7266149892411773
2014-5,0.7268028463108451
2014-6,0.726990703380513
2014-7,0.7271785604501808
2014-8,0.7273664175198487
2014-9,0.7275542745895165
2014-10,0.7277421316591843
2014-11,0.7279299887288523
2014-12,0.7281178457985201
2015-1,0.728305702868188
2015-2,0.7286459161194813
2015-3,0.7289861293707747
2015-4,0.729326342622068
2015-5,0.7296665558733613
2015-6,0.7300067691246547
2015-7,0.730346982375948
2015-8,0.7306871956272413
2015-9,0.7310274088785347
2015-10,0.731367622129828
2015-11,0.7317078353811213
2015-12,0.7320480486324147
2016-1,0.732388261883708
2016-2,0.7324669608373724
2016-3,0.7325456597910369
2016-4,0.7326243587447013
2016-5,0.7327030576983659
2016-6,0.7327817566520303
2016-7,0.7328604556056948
2016-8,0.7329391545593592
2016-9,0.7330178535130236
2016-10,0.7330965524666881
2016-11,0.7331752514203526
2016-12,0.7332539503740171
2017-1,0.7333326493276815
2017-2,0.7333806239438003
2017-3,0.7334285985599192
2017-4,0.7334765731760379
2017-5,0.7335245477921567
2017-6,0.7335725224082755
2017-7,0.7336204970243942
2017-8,0.7336684716405131
2017-9,0.7337164462566319
2017-10,0.7337644208727507
2017-11,0.7338123954888696
2017-12,0.7338603701049883
2018-1,0.7339083447211071
2018-2,0.7338924988477822
2018-3,0.7338766529744573
2018-4,0.7338608071011323
2018-5,0.7338449612278073
2018-6,0.7338291153544824
2018-7,0.7338132694811574
2018-8,0.7337974236078325
2018-9,0.7337815777345076
2018-10,0.7337657318611825
2018-11,0.7337498859878576
2018-12,0.7337340401145327
2019-1,0.7337181942412078
2019-2,0.73370848359152
2019-3,0.7336987729418321
2019-4,0.7336890622921443
2019-5,0.7336793516424565
2019-6,0.7336696409927687
2019-7,0.7336599303430809
2019-8,0.733650219693393
2019-9,0.7336405090437051
2019-10,0.7336307983940173
2019-11,0.7336210877443294
2019-12,0.7336113770946416
2020-1,0.7336016664449538
2020-2,0.7335607699786277
2020-3,0.7335198735123016
2020-4,0.7334789770459755
2020-5,0.7334380805796494
2020-6,0.7333971841133233
2020-7,0.7333562876469972
2020-8,0.733315391180671
2020-9,0.7332744947143449
2020-10,0.7332335982480188
2020-11,0.7331927017816927
2020-12,0.7331518053153666
2021-1,0.7331109088490405
2021-2,0.732982961188806
2021-3,0.7328550135285714
2021-4,0.7327270658683369
2021-5,0.7325991182081024
2021-6,0.7324711705478679
2021-7,0.7323432228876334
2021-8,0.7322152752273988
2021-9,0.7320873275671643
2021-10,0.7319593799069298
2021-11,0.7318314322466952
2021-12,0.7317034845864607
2022-1,0.7315755369262262
