,Paraíba - IDH Educacao
2003-1,0.5929312105531531
2003-2,0.5933964437497805
2003-3,0.5938616769464079
2003-4,0.5943269101430353
2003-5,0.5947921433396628
2003-6,0.5952573765362902
2003-7,0.5957226097329176
2003-8,0.596187842929545
2003-9,0.5966530761261724
2003-10,0.5971183093227999
2003-11,0.5975835425194272
2003-12,0.5980487757160546
2004-1,0.598514008912682
2004-2,0.5989579292347018
2004-3,0.5994018495567216
2004-4,0.5998457698787414
2004-5,0.6002896902007612
2004-6,0.600733610522781
2004-7,0.6011775308448006
2004-8,0.6016214511668204
2004-9,0.6020653714888402
2004-10,0.60250929181086
2004-11,0.6029532121328798
2004-12,0.6033971324548996
2005-1,0.6038410527769194
2005-2,0.6042638589246235
2005-3,0.6046866650723277
2005-4,0.6051094712200319
2005-5,0.6055322773677361
2005-6,0.6059550835154403
2005-7,0.6063778896631444
2005-8,0.6068006958108486
2005-9,0.6072235019585528
2005-10,0.607646308106257
2005-11,0.6080691142539612
2005-12,0.6084919204016653
2006-1,0.6089147265493695
2006-2,0.6093166172230502
2006-3,0.6097185078967308
2006-4,0.6101203985704114
2006-5,0.610522289244092
2006-6,0.6109241799177727
2006-7,0.6113260705914534
2006-8,0.611727961265134
2006-9,0.6121298519388146
2006-10,0.6125317426124952
2006-11,0.6129336332861759
2006-12,0.6133355239598565
2007-1,0.6137374146335371
2007-2,0.6141185885334862
2007-3,0.6144997624334354
2007-4,0.6148809363333845
2007-5,0.6152621102333337
2007-6,0.6156432841332827
2007-7,0.6160244580332319
2007-8,0.616405631933181
2007-9,0.6167868058331301
2007-10,0.6171679797330792
2007-11,0.6175491536330283
2007-12,0.6179303275329775
2008-1,0.6183115014329266
2008-2,0.6186721572594363
2008-3,0.6190328130859458
2008-4,0.6193934689124555
2008-5,0.6197541247389652
2008-6,0.6201147805654748
2008-7,0.6204754363919844
2008-8,0.6208360922184941
2008-9,0.6211967480450037
2008-10,0.6215574038715134
2008-11,0.621918059698023
2008-12,0.6222787155245326
2009-1,0.6226393713510423
2009-2,0.6229797078044045
2009-3,0.6233200442577667
2009-4,0.623660380711129
2009-5,0.6240007171644911
2009-6,0.6243410536178533
2009-7,0.6246813900712155
2009-8,0.6250217265245777
2009-9,0.6253620629779398
2009-10,0.625702399431302
2009-11,0.6260427358846643
2009-12,0.6263830723380265
2010-1,0.6267234087913887
2010-2,0.6270436245718954
2010-3,0.6273638403524022
2010-4,0.6276840561329091
2010-5,0.6280042719134159
2010-6,0.6283244876939227
2010-7,0.6286447034744295
2010-8,0.6289649192549362
2010-9,0.629285135035443
2010-10,0.6296053508159498
2010-11,0.6299255665964567
2010-12,0.6302457823769635
2011-1,0.6305659981574703
2011-2,0.6308713814759976
2011-3,0.6311767647945249
2011-4,0.6314821481130523
2011-5,0.6317875314315795
2011-6,0.6320929147501069
2011-7,0.6323982980686342
2011-8,0.6327036813871615
2011-9,0.6330090647056889
2011-10,0.6333144480242161
2011-11,0.6336198313427435
2011-12,0.6339252146612707
2012-1,0.6342305979797981
2012-2,0.6344613660213244
2012-3,0.6346921340628509
2012-4,0.6349229021043772
2012-5,0.6351536701459036
2012-6,0.63538443818743
2012-7,0.6356152062289564
2012-8,0.6358459742704827
2012-9,0.6360767423120091
2012-10,0.6363075103535355
2012-11,0.6365382783950618
2012-12,0.6367690464365883
2013-1,0.6369998144781146
2013-2,0.6373678687453237
2013-3,0.6377359230125329
2013-4,0.638103977279742
2013-5,0.6384720315469511
2013-6,0.6388400858141603
2013-7,0.6392081400813694
2013-8,0.6395761943485785
2013-9,0.6399442486157877
2013-10,0.6403123028829968
2013-11,0.6406803571502059
2013-12,0.6410484114174151
2014-1,0.6414164656846242
2014-2,0.6415721355852119
2014-3,0.6417278054857996
2014-4,0.6418834753863871
2014-5,0.6420391452869748
2014-6,0.6421948151875625
2014-7,0.6423504850881501
2014-8,0.6425061549887378
2014-9,0.6426618248893254
2014-10,0.6428174947899131
2014-11,0.6429731646905008
2014-12,0.6431288345910884
2015-1,0.6432845044916761
2015-2,0.6443208820161138
2015-3,0.6453572595405515
2015-4,0.6463936370649892
2015-5,0.6474300145894268
2015-6,0.6484663921138646
2015-7,0.6495027696383022
2015-8,0.65053914716274
2015-9,0.6515755246871777
2015-10,0.6526119022116154
2015-11,0.6536482797360531
2015-12,0.6546846572604907
2016-1,0.6557210347849285
2016-2,0.6557113456545113
2016-3,0.6557016565240941
2016-4,0.6556919673936769
2016-5,0.6556822782632596
2016-6,0.6556725891328424
2016-7,0.6556629000024252
2016-8,0.655653210872008
2016-9,0.6556435217415908
2016-10,0.6556338326111736
2016-11,0.6556241434807564
2016-12,0.6556144543503392
2017-1,0.655604765219922
2017-2,0.6554881346534062
2017-3,0.6553715040868905
2017-4,0.6552548735203747
2017-5,0.655138242953859
2017-6,0.6550216123873432
2017-7,0.6549049818208275
2017-8,0.6547883512543118
2017-9,0.654671720687796
2017-10,0.6545550901212803
2017-11,0.6544384595547645
2017-12,0.6543218289882489
2018-1,0.6542051984217331
2018-2,0.6541764499249281
2018-3,0.654147701428123
2018-4,0.6541189529313179
2018-5,0.6540902044345129
2018-6,0.6540614559377078
2018-7,0.6540327074409028
2018-8,0.6540039589440978
2018-9,0.6539752104472927
2018-10,0.6539464619504877
2018-11,0.6539177134536827
2018-12,0.6538889649568775
2019-1,0.6538602164600725
2019-2,0.6538137029484065
2019-3,0.6537671894367403
2019-4,0.6537206759250742
2019-5,0.653674162413408
2019-6,0.653627648901742
2019-7,0.6535811353900758
2019-8,0.6535346218784097
2019-9,0.6534881083667436
2019-10,0.6534415948550775
2019-11,0.6533950813434114
2019-12,0.6533485678317452
2020-1,0.6533020543200792
2020-2,0.6531528274588676
2020-3,0.653003600597656
2020-4,0.6528543737364446
2020-5,0.6527051468752331
2020-6,0.6525559200140215
2020-7,0.6524066931528101
2020-8,0.6522574662915985
2020-9,0.652108239430387
2020-10,0.6519590125691754
2020-11,0.6518097857079639
2020-12,0.6516605588467524
2021-1,0.6515113319855409
2021-2,0.6513788420763404
2021-3,0.65124635216714
2021-4,0.6511138622579395
2021-5,0.6509813723487391
2021-6,0.6508488824395386
2021-7,0.6507163925303382
2021-8,0.6505839026211377
2021-9,0.6504514127119373
2021-10,0.6503189228027368
2021-11,0.6501864328935364
