,Piauí- custo m2 (R$)
2003-1-1,8322.0
2003-2-2,8552.8
2003-3-3,8608.56
2003-4-4,8741.33
2003-5-5,8867.82
2003-6-6,8897.82
2003-7-7,8917.71
2003-8-8,9034.45
2003-9-9,9045.62
2003-10-10,9088.29
2003-11-11,9147.62
2003-12-12,9213.98
2004-1-1,9504.81
2004-2-2,9568.68
2004-3-3,9597.25
2004-4-4,9628.59
2004-5-5,9656.06
2004-6-6,9744.88
2004-7-7,9801.41
2004-8-8,9899.19
2004-9-9,10025.27
2004-10-10,10093.81
2004-11-11,10263.11
2004-12-12,10429.68
2005-1-1,10622.97
2005-2-2,10676.1
2005-3-3,10734.74
2005-4-4,10757.83
2005-5-5,10822.15
2005-6-6,10864.37
2005-7-7,10890.96
2005-8-8,10878.34
2005-9-9,10872.98
2005-10-10,10945.44
2005-11-11,10978.83
2005-12-12,10995.82
2006-1-1,11400.47
2006-2-2,11463.26
2006-3-3,11474.61
2006-4-4,11481.46
2006-5-5,11620.0
2006-6-6,11674.42
2006-7-7,11720.59
2006-8-8,11729.33
2006-9-9,11780.04
2006-10-10,11798.91
2006-11-11,11834.46
2006-12-12,11873.17
2007-1-1,11944.3
2007-2-2,12261.55
2007-3-3,12317.75
2007-4-4,12339.03
2007-5-5,12411.33
2007-6-6,12436.5
2007-7-7,12522.76
2007-8-8,12551.97
2007-9-9,12637.58
2007-10-10,12671.75
2007-11-11,12718.28
2007-12-12,12781.96
2008-1-1,12830.87
2008-2-2,13353.93
2008-3-3,13406.84
2008-4-4,13415.5
2008-5-5,13600.16
2008-6-6,13686.44
2008-7-7,13771.35
2008-8-8,13957.93
2008-9-9,14301.15
2008-10-10,14512.39
2008-11-11,14575.06
2008-12-12,15160.55
2009-1-1,15164.16
2009-2-2,15160.8
2009-3-3,15228.03
2009-4-4,15232.38
2009-5-5,15220.58
2009-6-6,15222.45
2009-7-7,15189.08
2009-8-8,15277.62
2009-9-9,15382.61
2009-10-10,15383.36
2009-11-11,15486.62
2009-12-12,15553.79
2010-1-1,16260.01
2010-2-2,16332.6
2010-3-3,16364.69
2010-4-4,16397.12
2010-5-5,16411.9
2010-6-6,16511.45
2010-7-7,16546.04
2010-8-8,16607.05
2010-9-9,16551.88
2010-10-10,16655.56
2010-11-11,16671.14
2010-12-12,16740.53
2011-1-1,17355.19
2011-2-2,17389.99
2011-3-3,17441.92
2011-4-4,17445.73
2011-5-5,17456.73
2011-6-6,17503.85
2011-7-7,17590.02
2011-8-8,17576.36
2011-9-9,17595.98
2011-10-10,17611.11
2011-11-11,17670.4
2011-12-12,17713.97
2012-1-1,17690.78
2012-2-2,18278.27
2012-3-3,18317.39
2012-4-4,18354.69
2012-5-5,18355.85
2012-6-6,18434.45
2012-7-7,18517.24
2012-8-8,18595.78
2012-9-9,18551.15
2012-10-10,18603.27
2012-11-11,18665.86
2012-12-12,18673.81
2013-1-1,18743.0
2013-2-2,18751.59
2013-3-3,19475.32
2013-4-4,19563.62
2013-5-5,18615.27
2013-6-6,19710.42
2013-7-7,18661.78
2013-8-8,18743.06
2013-9-9,18883.13
2013-10-10,18865.68
2013-11-11,18939.08
2013-12-12,19756.05
2014-1-1,19800.26
2014-2-2,19783.05
2014-3-3,19913.1
2014-4-4,19959.42
2014-5-5,19983.89
2014-6-6,20047.7
2014-7-7,19947.1
2014-8-8,19961.36
2014-9-9,20019.76
2014-10-10,20094.8
2014-11-11,20208.12
2014-12-12,20827.56
2015-1-1,20811.35
2015-2-2,20872.83
2015-3-3,20946.12
2015-4-4,21035.98
2015-5-5,21141.07
2015-6-6,21201.16
2015-7-7,21192.0
2015-8-8,21236.58
2015-9-9,21303.77
2015-10-10,21394.37
2015-11-11,21447.83
2015-12-12,21416.02
2016-1-1,22396.71
2016-2-2,22501.96
2016-3-3,22502.65
2016-4-4,22630.21
2016-5-5,22756.42
2016-6-6,22588.63
2016-7-7,22389.08
2016-8-8,22419.08
2016-9-9,22282.82
2016-10-10,22279.1
2016-11-11,22393.5
2016-12-12,23104.12
2017-1-1,23110.93
2017-2-2,23281.14
2017-3-3,23308.71
2017-4-4,23402.55
2017-5-5,23411.74
2017-6-6,23441.05
2017-7-7,23478.48
2017-8-8,23651.54
2017-9-9,23712.15
2017-10-10,23740.89
2017-11-11,23821.86
2017-12-12,23841.88
2018-1-1,23899.96
2018-2-2,24342.9
2018-3-3,24519.83
2018-4-4,24678.26
2018-5-5,24764.85
2018-6-6,24789.87
2018-7-7,24900.54
2018-8-8,24876.77
2018-9-9,25135.32
2018-10-10,25196.86
2018-11-11,25360.51
2018-12-12,25397.26
2019-1-1,25806.45
2019-2-2,26004.54
2019-3-3,26089.15
2019-4-4,26116.41
2019-5-5,26172.57
2019-6-6,26234.0
2019-7-7,26276.6
2019-8-8,26164.29
2019-9-9,26162.89
2019-10-10,26289.97
2019-11-11,26262.69
2019-12-12,26552.4
2020-1-1,26660.31
2020-2-2,26695.39
2020-3-3,26776.9
2020-4-4,26701.79
2020-5-5,26763.19
2020-6-6,26818.06
2020-7-7,27024.12
2020-8-8,27273.06
2020-9-9,27843.28
2020-10-10,28271.48
2020-11-11,28700.21
2020-12-12,29272.66
2021-1-1,30236.46
2021-2-2,30477.15
2021-3-3,30917.94
2021-4-4,31318.25
2021-5-5,31552.88
2021-6-6,31735.98
2021-7-7,32327.7
2021-8-8,32597.31
2021-9-9,32932.45
2021-10-10,32925.0
2021-11-11,33300.29
2021-12-12,33417.6
2022-1-1,34547.85
2022-2-2,34624.87
2022-3-3,34682.56
2022-4-4,35544.06
2022-5-5,36079.02
2022-6-6,36267.94
2022-7-7,36532.47
2022-8-8,36811.97
2022-9-9,36903.37
2022-10-10,36992.98
2022-11-11,36973.43
2022-12-12,37921.18
2023-1-1,37982.72
2023-2-2,37980.44
2023-3-3,37971.57
2023-4-4,38064.47
2023-5-5,38219.1
2023-6-6,38251.0
2023-7-7,38327.86
2023-8-8,38446.11
2023-9-9,38482.87
