,Espírito Santo- custo m2 (R$)
2003-1-1,8925.6
2003-2-2,9048.34
2003-3-3,9126.75
2003-4-4,9222.02
2003-5-5,9396.88
2003-6-6,9843.53
2003-7-7,9889.77
2003-8-8,9916.44
2003-9-9,10062.99
2003-10-10,10088.93
2003-11-11,10100.23
2003-12-12,10127.14
2004-1-1,10238.0
2004-2-2,10282.11
2004-3-3,10362.81
2004-4-4,10446.37
2004-5-5,10616.97
2004-6-6,10752.73
2004-7-7,10883.99
2004-8-8,10982.97
2004-9-9,11054.94
2004-10-10,11157.07
2004-11-11,11285.0
2004-12-12,11376.89
2005-1-1,11428.69
2005-2-2,11475.5
2005-3-3,11620.08
2005-4-4,11731.91
2005-5-5,11871.21
2005-6-6,12173.01
2005-7-7,12171.57
2005-8-8,12208.78
2005-9-9,12244.81
2005-10-10,12250.57
2005-11-11,12262.5
2005-12-12,12292.76
2006-1-1,12294.84
2006-2-2,12318.04
2006-3-3,12341.52
2006-4-4,12354.5
2006-5-5,12825.45
2006-6-6,12850.37
2006-7-7,12860.03
2006-8-8,12867.22
2006-9-9,12897.7
2006-10-10,12914.81
2006-11-11,12955.17
2006-12-12,12994.66
2007-1-1,13007.25
2007-2-2,13028.04
2007-3-3,13063.58
2007-4-4,13146.96
2007-5-5,13502.63
2007-6-6,13529.58
2007-7-7,13576.06
2007-8-8,13617.75
2007-9-9,13704.69
2007-10-10,13754.14
2007-11-11,13794.98
2007-12-12,13855.66
2008-1-1,13900.59
2008-2-2,13929.32
2008-3-3,13989.66
2008-4-4,14029.12
2008-5-5,14608.77
2008-6-6,14678.23
2008-7-7,14821.4
2008-8-8,15070.45
2008-9-9,15230.68
2008-10-10,15373.33
2008-11-11,15459.86
2008-12-12,15523.62
2009-1-1,15610.7
2009-2-2,15703.05
2009-3-3,15775.54
2009-4-4,15840.22
2009-5-5,16389.69
2009-6-6,16387.95
2009-7-7,16448.43
2009-8-8,16467.7
2009-9-9,16519.68
2009-10-10,16550.32
2009-11-11,16564.08
2009-12-12,16596.68
2010-1-1,16641.86
2010-2-2,16700.45
2010-3-3,16729.07
2010-4-4,16774.77
2010-5-5,16884.63
2010-6-6,17013.71
2010-7-7,17180.85
2010-8-8,17567.21
2010-9-9,17595.14
2010-10-10,17645.4
2010-11-11,17703.0
2010-12-12,17750.3
2011-1-1,17784.01
2011-2-2,17811.49
2011-3-3,17813.77
2011-4-4,17816.72
2011-5-5,17811.56
2011-6-6,18287.04
2011-7-7,18288.15
2011-8-8,18359.73
2011-9-9,18380.0
2011-10-10,18414.61
2011-11-11,18421.94
2011-12-12,18422.4
2012-1-1,18456.89
2012-2-2,18585.34
2012-3-3,18625.52
2012-4-4,18648.47
2012-5-5,18705.22
2012-6-6,19111.27
2012-7-7,19132.19
2012-8-8,19228.21
2012-9-9,19225.93
2012-10-10,19657.17
2012-11-11,19934.82
2012-12-12,19983.77
2013-1-1,20062.99
2013-2-2,20088.71
2013-3-3,20036.86
2013-4-4,20078.89
2013-5-5,19419.12
2013-6-6,20925.39
2013-7-7,19925.39
2013-8-8,19926.51
2013-9-9,19961.42
2013-10-10,20041.6
2013-11-11,20026.72
2013-12-12,20073.01
2014-1-1,20179.16
2014-2-2,20293.49
2014-3-3,20519.83
2014-4-4,20648.06
2014-5-5,20660.63
2014-6-6,21412.53
2014-7-7,21365.36
2014-8-8,21367.01
2014-9-9,21318.89
2014-10-10,21362.99
2014-11-11,21510.22
2014-12-12,21683.06
2015-1-1,21710.89
2015-2-2,21774.69
2015-3-3,21785.56
2015-4-4,21875.04
2015-5-5,21871.44
2015-6-6,22468.18
2015-7-7,22777.32
2015-8-8,22727.49
2015-9-9,22847.92
2015-10-10,22894.18
2015-11-11,22999.58
2015-12-12,22900.68
2016-1-1,22979.33
2016-2-2,23188.97
2016-3-3,23287.11
2016-4-4,23350.07
2016-5-5,23355.94
2016-6-6,23316.88
2016-7-7,23481.74
2016-8-8,23967.64
2016-9-9,24017.63
2016-10-10,24084.92
2016-11-11,24392.78
2016-12-12,24704.83
2017-1-1,24714.58
2017-2-2,24800.35
2017-3-3,24861.73
2017-4-4,24817.85
2017-5-5,24849.7
2017-6-6,24892.13
2017-7-7,25174.19
2017-8-8,25122.31
2017-9-9,25197.59
2017-10-10,25160.59
2017-11-11,25248.38
2017-12-12,25293.66
2018-1-1,25415.61
2018-2-2,25511.66
2018-3-3,25487.86
2018-4-4,25565.05
2018-5-5,25595.35
2018-6-6,25764.0
2018-7-7,26052.49
2018-8-8,26202.07
2018-9-9,26303.55
2018-10-10,26343.21
2018-11-11,26362.67
2018-12-12,26302.48
2019-1-1,26403.25
2019-2-2,26406.98
2019-3-3,26519.62
2019-4-4,26486.94
2019-5-5,26545.16
2019-6-6,26680.83
2019-7-7,26870.44
2019-8-8,27054.28
2019-9-9,27192.4
2019-10-10,27232.53
2019-11-11,27221.4
2019-12-12,27302.79
2020-1-1,27291.31
2020-2-2,27346.55
2020-3-3,27465.47
2020-4-4,27478.62
2020-5-5,27540.79
2020-6-6,27900.77
2020-7-7,27991.84
2020-8-8,28338.2
2020-9-9,28767.99
2020-10-10,29344.74
2020-11-11,29986.51
2020-12-12,30557.89
2021-1-1,31118.99
2021-2-2,31764.86
2021-3-3,32080.06
2021-4-4,32440.31
2021-5-5,33204.6
2021-6-6,34197.82
2021-7-7,35094.01
2021-8-8,35104.79
2021-9-9,35235.29
2021-10-10,35461.7
2021-11-11,36050.23
2021-12-12,36501.5
2022-1-1,36948.77
2022-2-2,37147.11
2022-3-3,37463.69
2022-4-4,37955.27
2022-5-5,39132.8
2022-6-6,39964.46
2022-7-7,40071.42
2022-8-8,40250.11
2022-9-9,40142.1
2022-10-10,40187.45
2022-11-11,40099.66
2022-12-12,39992.95
2023-1-1,39760.04
2023-2-2,39905.38
2023-3-3,40003.87
2023-4-4,40093.39
2023-5-5,40110.58
2023-6-6,41200.2
2023-7-7,41051.57
2023-8-8,41038.41
2023-9-9,40951.38
