,Rio Grande do Norte- custo m2 (R$)
2003-1-1,8893.64
2003-2-2,9009.14
2003-3-3,9112.71
2003-4-4,9266.95
2003-5-5,9312.28
2003-6-6,9359.08
2003-7-7,9395.15
2003-8-8,9398.01
2003-9-9,9421.86
2003-10-10,9464.4
2003-11-11,9817.06
2003-12-12,9849.23
2004-1-1,9899.57
2004-2-2,9973.05
2004-3-3,10044.09
2004-4-4,10132.13
2004-5-5,10232.34
2004-6-6,10361.74
2004-7-7,10443.76
2004-8-8,10509.53
2004-9-9,10600.06
2004-10-10,10738.23
2004-11-11,11015.67
2004-12-12,11121.6
2005-1-1,11230.24
2005-2-2,11246.6
2005-3-3,11320.17
2005-4-4,11325.18
2005-5-5,11390.43
2005-6-6,11419.11
2005-7-7,11463.2
2005-8-8,11491.14
2005-9-9,11533.17
2005-10-10,11556.38
2005-11-11,11795.19
2005-12-12,11803.61
2006-1-1,11892.13
2006-2-2,11897.85
2006-3-3,11921.2
2006-4-4,11950.95
2006-5-5,12033.53
2006-6-6,12067.24
2006-7-7,12095.1
2006-8-8,12121.96
2006-9-9,12152.42
2006-10-10,12170.98
2006-11-11,12349.44
2006-12-12,12391.39
2007-1-1,12446.39
2007-2-2,12480.95
2007-3-3,12524.56
2007-4-4,12537.95
2007-5-5,12645.16
2007-6-6,12662.66
2007-7-7,12720.75
2007-8-8,12774.72
2007-9-9,12808.08
2007-10-10,12815.96
2007-11-11,13192.55
2007-12-12,13240.64
2008-1-1,13269.57
2008-2-2,13272.88
2008-3-3,13354.35
2008-4-4,13428.01
2008-5-5,13449.09
2008-6-6,13559.72
2008-7-7,13622.63
2008-8-8,13765.87
2008-9-9,14056.48
2008-10-10,14184.75
2008-11-11,14606.47
2008-12-12,14680.65
2009-1-1,14709.12
2009-2-2,14741.96
2009-3-3,14725.22
2009-4-4,14760.2
2009-5-5,14753.18
2009-6-6,14760.54
2009-7-7,14780.47
2009-8-8,14792.17
2009-9-9,14798.73
2009-10-10,14800.89
2009-11-11,15354.4
2009-12-12,15352.24
2010-1-1,15435.78
2010-2-2,15475.53
2010-3-3,15520.44
2010-4-4,15539.37
2010-5-5,15580.15
2010-6-6,15637.52
2010-7-7,15662.95
2010-8-8,15677.36
2010-9-9,15687.48
2010-10-10,16445.22
2010-11-11,16514.34
2010-12-12,16556.78
2011-1-1,16568.93
2011-2-2,16618.41
2011-3-3,16643.43
2011-4-4,16676.32
2011-5-5,16683.75
2011-6-6,16717.86
2011-7-7,16700.31
2011-8-8,16726.42
2011-9-9,16741.6
2011-10-10,16760.27
2011-11-11,17402.6
2011-12-12,17399.28
2012-1-1,17412.91
2012-2-2,17397.17
2012-3-3,17447.79
2012-4-4,17427.51
2012-5-5,17413.63
2012-6-6,17421.7
2012-7-7,17459.19
2012-8-8,17468.27
2012-9-9,17450.48
2012-10-10,17430.6
2012-11-11,17477.31
2012-12-12,18161.69
2013-1-1,18156.86
2013-2-2,18218.88
2013-3-3,18286.5
2013-4-4,18293.84
2013-5-5,17243.99
2013-6-6,18324.95
2013-7-7,17361.33
2013-8-8,17450.1
2013-9-9,17624.95
2013-10-10,17557.94
2013-11-11,18331.22
2013-12-12,18343.68
2014-1-1,18507.07
2014-2-2,18493.77
2014-3-3,18617.79
2014-4-4,18630.46
2014-5-5,18653.46
2014-6-6,18770.33
2014-7-7,18682.41
2014-8-8,18656.63
2014-9-9,18720.04
2014-10-10,18676.05
2014-11-11,18773.9
2014-12-12,19409.72
2015-1-1,19463.76
2015-2-2,19520.3
2015-3-3,19518.09
2015-4-4,19491.35
2015-5-5,19540.41
2015-6-6,19585.99
2015-7-7,19685.83
2015-8-8,19716.5
2015-9-9,19917.82
2015-10-10,20018.65
2015-11-11,20908.04
2015-12-12,20820.03
2016-1-1,20959.2
2016-2-2,20916.1
2016-3-3,20980.14
2016-4-4,20936.93
2016-5-5,20964.41
2016-6-6,20957.78
2016-7-7,20941.89
2016-8-8,21115.04
2016-9-9,21118.99
2016-10-10,21180.25
2016-11-11,21183.08
2016-12-12,21788.32
2017-1-1,21821.39
2017-2-2,21919.47
2017-3-3,22008.01
2017-4-4,22069.05
2017-5-5,22162.59
2017-6-6,22222.51
2017-7-7,22281.05
2017-8-8,22353.02
2017-9-9,22293.88
2017-10-10,22352.09
2017-11-11,22400.76
2017-12-12,22964.7
2018-1-1,23441.69
2018-2-2,23491.5
2018-3-3,23676.18
2018-4-4,23776.96
2018-5-5,23846.35
2018-6-6,23806.99
2018-7-7,24072.63
2018-8-8,24164.49
2018-9-9,24217.83
2018-10-10,24353.77
2018-11-11,24431.27
2018-12-12,24448.49
2019-1-1,24614.69
2019-2-2,24761.72
2019-3-3,24897.36
2019-4-4,24754.4
2019-5-5,24899.57
2019-6-6,24904.88
2019-7-7,24880.95
2019-8-8,24811.22
2019-9-9,24806.43
2019-10-10,24916.22
2019-11-11,24985.29
2019-12-12,24982.59
2020-1-1,25017.82
2020-2-2,25040.2
2020-3-3,25152.09
2020-4-4,25307.95
2020-5-5,25263.1
2020-6-6,25314.89
2020-7-7,25361.51
2020-8-8,25598.2
2020-9-9,25914.17
2020-10-10,26207.36
2020-11-11,26469.44
2020-12-12,26811.0
2021-1-1,27510.6
2021-2-2,27760.07
2021-3-3,28245.71
2021-4-4,28758.89
2021-5-5,29101.89
2021-6-6,29951.47
2021-7-7,30417.43
2021-8-8,30814.64
2021-9-9,30903.59
2021-10-10,31225.84
2021-11-11,31575.67
2021-12-12,31843.85
2022-1-1,32227.65
2022-2-2,32529.1
2022-3-3,33067.97
2022-4-4,34338.14
2022-5-5,34916.36
2022-6-6,35845.95
2022-7-7,36320.63
2022-8-8,36720.17
2022-9-9,37054.93
2022-10-10,37040.3
2022-11-11,37063.13
2022-12-12,37277.5
2023-1-1,37397.9
2023-2-2,37433.44
2023-3-3,37578.7
2023-4-4,37753.26
2023-5-5,37728.65
2023-6-6,37841.35
2023-7-7,38138.32
2023-8-8,38084.84
2023-9-9,37871.2
