,Amazonas- custo m2 (R$)
2003-1-1,10252.87
2003-2-2,10320.95
2003-3-3,10422.98
2003-4-4,10486.95
2003-5-5,10509.97
2003-6-6,10543.52
2003-7-7,11008.12
2003-8-8,11035.81
2003-9-9,11069.56
2003-10-10,11090.73
2003-11-11,11107.18
2003-12-12,11167.5
2004-1-1,11163.88
2004-2-2,11362.49
2004-3-3,11404.66
2004-4-4,11506.72
2004-5-5,11569.47
2004-6-6,11673.74
2004-7-7,11751.98
2004-8-8,11769.74
2004-9-9,11901.28
2004-10-10,12021.98
2004-11-11,12131.19
2004-12-12,12236.43
2005-1-1,12582.67
2005-2-2,12682.31
2005-3-3,12746.69
2005-4-4,12792.41
2005-5-5,12829.55
2005-6-6,12938.76
2005-7-7,13292.84
2005-8-8,13309.99
2005-9-9,13350.97
2005-10-10,13370.92
2005-11-11,13449.28
2005-12-12,13448.85
2006-1-1,13513.73
2006-2-2,13532.55
2006-3-3,13560.46
2006-4-4,13560.51
2006-5-5,13571.01
2006-6-6,13628.56
2006-7-7,13955.19
2006-8-8,13960.76
2006-9-9,14001.98
2006-10-10,14030.96
2006-11-11,14078.55
2006-12-12,14106.58
2007-1-1,14144.76
2007-2-2,14240.01
2007-3-3,14251.74
2007-4-4,14281.97
2007-5-5,14316.29
2007-6-6,14356.73
2007-7-7,14654.27
2007-8-8,14675.1
2007-9-9,14718.06
2007-10-10,14786.42
2007-11-11,14932.16
2007-12-12,14934.9
2008-1-1,15014.69
2008-2-2,15016.99
2008-3-3,15026.56
2008-4-4,15099.27
2008-5-5,15205.24
2008-6-6,15289.38
2008-7-7,16100.71
2008-8-8,16362.07
2008-9-9,16680.35
2008-10-10,16961.83
2008-11-11,16970.01
2008-12-12,17009.76
2009-1-1,17101.88
2009-2-2,17148.32
2009-3-3,17256.77
2009-4-4,17367.31
2009-5-5,17301.83
2009-6-6,17310.71
2009-7-7,17711.22
2009-8-8,17732.11
2009-9-9,17805.54
2009-10-10,17881.09
2009-11-11,17891.55
2009-12-12,17899.32
2010-1-1,18037.0
2010-2-2,17997.41
2010-3-3,18109.27
2010-4-4,18142.15
2010-5-5,18177.54
2010-6-6,18261.02
2010-7-7,18329.58
2010-8-8,18711.76
2010-9-9,18774.88
2010-10-10,18853.37
2010-11-11,18964.69
2010-12-12,19001.64
2011-1-1,18988.64
2011-2-2,19021.39
2011-3-3,19060.62
2011-4-4,19068.54
2011-5-5,19117.76
2011-6-6,19158.88
2011-7-7,19886.36
2011-8-8,19865.82
2011-9-9,19921.72
2011-10-10,19951.31
2011-11-11,20003.99
2011-12-12,20021.85
2012-1-1,20054.78
2012-2-2,20078.63
2012-3-3,20133.48
2012-4-4,20144.7
2012-5-5,20210.34
2012-6-6,20352.95
2012-7-7,20361.3
2012-8-8,20833.3
2012-9-9,20806.25
2012-10-10,20806.01
2012-11-11,20704.12
2012-12-12,20692.62
2013-1-1,20685.54
2013-2-2,20803.74
2013-3-3,20850.64
2013-4-4,21064.94
2013-5-5,19842.81
2013-6-6,20889.88
2013-7-7,19724.19
2013-8-8,20343.3
2013-9-9,20366.54
2013-10-10,20511.83
2013-11-11,20535.38
2013-12-12,20661.63
2014-1-1,20740.56
2014-2-2,20878.29
2014-3-3,20951.76
2014-4-4,20994.17
2014-5-5,21093.91
2014-6-6,20992.74
2014-7-7,21006.6
2014-8-8,21616.45
2014-9-9,21583.05
2014-10-10,21607.59
2014-11-11,21648.25
2014-12-12,21772.17
2015-1-1,21870.41
2015-2-2,21849.27
2015-3-3,22033.09
2015-4-4,22135.47
2015-5-5,22202.95
2015-6-6,22246.23
2015-7-7,22430.6
2015-8-8,23164.82
2015-9-9,23349.18
2015-10-10,23496.36
2015-11-11,23609.93
2015-12-12,23606.17
2016-1-1,23554.48
2016-2-2,23670.8
2016-3-3,23607.39
2016-4-4,23561.08
2016-5-5,23328.46
2016-6-6,23416.0
2016-7-7,23390.56
2016-8-8,23340.06
2016-9-9,23349.76
2016-10-10,23340.22
2016-11-11,23313.02
2016-12-12,23253.36
2017-1-1,24115.32
2017-2-2,24099.03
2017-3-3,24220.86
2017-4-4,24254.22
2017-5-5,24283.55
2017-6-6,24317.7
2017-7-7,24343.7
2017-8-8,24271.14
2017-9-9,24389.68
2017-10-10,24440.71
2017-11-11,24477.02
2017-12-12,24588.53
2018-1-1,24631.17
2018-2-2,24786.92
2018-3-3,24739.54
2018-4-4,24748.59
2018-5-5,24848.22
2018-6-6,24754.0
2018-7-7,24784.35
2018-8-8,24941.99
2018-9-9,25642.87
2018-10-10,25794.21
2018-11-11,25924.62
2018-12-12,25984.19
2019-1-1,26024.07
2019-2-2,26052.67
2019-3-3,26251.46
2019-4-4,26435.25
2019-5-5,26609.04
2019-6-6,26627.74
2019-7-7,26402.58
2019-8-8,26543.47
2019-9-9,27274.04
2019-10-10,27283.39
2019-11-11,27208.9
2019-12-12,27319.19
2020-1-1,27354.16
2020-2-2,27346.48
2020-3-3,27430.02
2020-4-4,27494.73
2020-5-5,27482.05
2020-6-6,27561.65
2020-7-7,27706.29
2020-8-8,28092.03
2020-9-9,28461.61
2020-10-10,29198.27
2020-11-11,29894.53
2020-12-12,30392.71
2021-1-1,30640.9
2021-2-2,30920.74
2021-3-3,31363.53
2021-4-4,31741.99
2021-5-5,32228.9
2021-6-6,32703.55
2021-7-7,32967.01
2021-8-8,33194.88
2021-9-9,34250.73
2021-10-10,34700.54
2021-11-11,35105.55
2021-12-12,35462.14
2022-1-1,35916.32
2022-2-2,35973.96
2022-3-3,36848.09
2022-4-4,37149.73
2022-5-5,37561.5
2022-6-6,38154.44
2022-7-7,38545.89
2022-8-8,39716.46
2022-9-9,39970.73
2022-10-10,40245.36
2022-11-11,40541.09
2022-12-12,41127.33
2023-1-1,41609.91
2023-2-2,42241.85
2023-3-3,42356.67
2023-4-4,42451.72
2023-5-5,42762.26
2023-6-6,42984.11
2023-7-7,42984.32
2023-8-8,42637.3
2023-9-9,43321.59
