,Pará- custo m2 (R$)
2003-1-1,9342.25
2003-2-2,9506.07
2003-3-3,9670.32
2003-4-4,9703.79
2003-5-5,9802.5
2003-6-6,9815.82
2003-7-7,9854.44
2003-8-8,9861.53
2003-9-9,9877.57
2003-10-10,10162.36
2003-11-11,10333.62
2003-12-12,10368.01
2004-1-1,10475.99
2004-2-2,10511.98
2004-3-3,10581.6
2004-4-4,10620.18
2004-5-5,10695.96
2004-6-6,10785.75
2004-7-7,10854.57
2004-8-8,10911.67
2004-9-9,10942.87
2004-10-10,11049.5
2004-11-11,11141.66
2004-12-12,11319.99
2005-1-1,11495.1
2005-2-2,11503.25
2005-3-3,11553.75
2005-4-4,11589.9
2005-5-5,11671.62
2005-6-6,11692.84
2005-7-7,11726.41
2005-8-8,11759.14
2005-9-9,11764.56
2005-10-10,12003.9
2005-11-11,12034.68
2005-12-12,12099.42
2006-1-1,12174.04
2006-2-2,12299.68
2006-3-3,12345.9
2006-4-4,12352.1
2006-5-5,12435.79
2006-6-6,12453.05
2006-7-7,12483.04
2006-8-8,12531.94
2006-9-9,12804.46
2006-10-10,12867.68
2006-11-11,12896.03
2006-12-12,12901.26
2007-1-1,12935.79
2007-2-2,12982.92
2007-3-3,12990.35
2007-4-4,13054.94
2007-5-5,13088.56
2007-6-6,13114.54
2007-7-7,13136.2
2007-8-8,13158.04
2007-9-9,13550.79
2007-10-10,13595.7
2007-11-11,13619.62
2007-12-12,13739.92
2008-1-1,13832.78
2008-2-2,13970.59
2008-3-3,13992.68
2008-4-4,14029.71
2008-5-5,14084.98
2008-6-6,14300.73
2008-7-7,14436.17
2008-8-8,14647.15
2008-9-9,14769.55
2008-10-10,15372.9
2008-11-11,15568.96
2008-12-12,15617.5
2009-1-1,15625.04
2009-2-2,15777.89
2009-3-3,15811.69
2009-4-4,15804.26
2009-5-5,15813.57
2009-6-6,15807.11
2009-7-7,15803.69
2009-8-8,15899.03
2009-9-9,15929.56
2009-10-10,16399.89
2009-11-11,16448.25
2009-12-12,16477.55
2010-1-1,16513.07
2010-2-2,16692.19
2010-3-3,16762.64
2010-4-4,16814.61
2010-5-5,16831.15
2010-6-6,16943.92
2010-7-7,16989.58
2010-8-8,17022.53
2010-9-9,17681.15
2010-10-10,17772.43
2010-11-11,17798.85
2010-12-12,17846.13
2011-1-1,17866.8
2011-2-2,17919.21
2011-3-3,17918.37
2011-4-4,17982.18
2011-5-5,18038.96
2011-6-6,18045.43
2011-7-7,18076.34
2011-8-8,18087.14
2011-9-9,18147.1
2011-10-10,18887.15
2011-11-11,18915.03
2011-12-12,18901.06
2012-1-1,18913.91
2012-2-2,18998.25
2012-3-3,19002.56
2012-4-4,19025.54
2012-5-5,19024.43
2012-6-6,19089.48
2012-7-7,19138.25
2012-8-8,19224.58
2012-9-9,19147.15
2012-10-10,19885.33
2012-11-11,19837.82
2012-12-12,19902.86
2013-1-1,19976.55
2013-2-2,19984.62
2013-3-3,20067.49
2013-4-4,20015.42
2013-5-5,18886.79
2013-6-6,19961.05
2013-7-7,18784.71
2013-8-8,18809.52
2013-9-9,19546.96
2013-10-10,19745.55
2013-11-11,19807.73
2013-12-12,19906.41
2014-1-1,20007.6
2014-2-2,20179.41
2014-3-3,20296.93
2014-4-4,20248.04
2014-5-5,20229.06
2014-6-6,20246.98
2014-7-7,20275.99
2014-8-8,20357.19
2014-9-9,20360.0
2014-10-10,20910.66
2014-11-11,20951.09
2014-12-12,20956.56
2015-1-1,21074.24
2015-2-2,21198.86
2015-3-3,21193.48
2015-4-4,21168.66
2015-5-5,21162.67
2015-6-6,21265.07
2015-7-7,21523.34
2015-8-8,21624.11
2015-9-9,21715.19
2015-10-10,22703.46
2015-11-11,22755.24
2015-12-12,22788.83
2016-1-1,22897.65
2016-2-2,23162.82
2016-3-3,23223.44
2016-4-4,23256.66
2016-5-5,23364.56
2016-6-6,23427.71
2016-7-7,23502.14
2016-8-8,23533.73
2016-9-9,23649.24
2016-10-10,24489.8
2016-11-11,24394.34
2016-12-12,24415.22
2017-1-1,24398.6
2017-2-2,24450.72
2017-3-3,24297.79
2017-4-4,24289.42
2017-5-5,24243.4
2017-6-6,24208.69
2017-7-7,24140.9
2017-8-8,24099.34
2017-9-9,24427.21
2017-10-10,24444.31
2017-11-11,24544.11
2017-12-12,24578.1
2018-1-1,24535.09
2018-2-2,24601.89
2018-3-3,24666.04
2018-4-4,24675.26
2018-5-5,24741.34
2018-6-6,24822.72
2018-7-7,24926.86
2018-8-8,25026.96
2018-9-9,25103.38
2018-10-10,25811.13
2018-11-11,25909.33
2018-12-12,26026.07
2019-1-1,26055.15
2019-2-2,26090.29
2019-3-3,26168.72
2019-4-4,26408.32
2019-5-5,26408.96
2019-6-6,26463.11
2019-7-7,26514.89
2019-8-8,26516.22
2019-9-9,26493.48
2019-10-10,26993.2
2019-11-11,26878.69
2019-12-12,26898.0
2020-1-1,27080.59
2020-2-2,27125.83
2020-3-3,27166.44
2020-4-4,27090.05
2020-5-5,27120.89
2020-6-6,27181.29
2020-7-7,27242.08
2020-8-8,27405.38
2020-9-9,28067.05
2020-10-10,28616.08
2020-11-11,29313.24
2020-12-12,29891.97
2021-1-1,30332.99
2021-2-2,30637.71
2021-3-3,31124.88
2021-4-4,31726.2
2021-5-5,32209.29
2021-6-6,32413.38
2021-7-7,32692.93
2021-8-8,33225.92
2021-9-9,33817.36
2021-10-10,35358.97
2021-11-11,35844.21
2021-12-12,35885.22
2022-1-1,36204.47
2022-2-2,36280.82
2022-3-3,36633.79
2022-4-4,37127.22
2022-5-5,37570.51
2022-6-6,37960.55
2022-7-7,38128.89
2022-8-8,38199.64
2022-9-9,38350.1
2022-10-10,39316.72
2022-11-11,39710.03
2022-12-12,39774.11
2023-1-1,40106.14
2023-2-2,40247.1
2023-3-3,40212.79
2023-4-4,40185.71
2023-5-5,40168.73
2023-6-6,40229.43
2023-7-7,40146.94
2023-8-8,40075.64
2023-9-9,40104.65
