,São Paulo- custo m2 (R$)
2003-1-1,10992.91
2003-2-2,11100.76
2003-3-3,11216.85
2003-4-4,11337.91
2003-5-5,11906.68
2003-6-6,12058.24
2003-7-7,12133.67
2003-8-8,12365.08
2003-9-9,12410.88
2003-10-10,12466.4
2003-11-11,12493.39
2003-12-12,12534.39
2004-1-1,12569.82
2004-2-2,12637.39
2004-3-3,12679.58
2004-4-4,12728.25
2004-5-5,13031.5
2004-6-6,13146.57
2004-7-7,13298.92
2004-8-8,13463.8
2004-9-9,13524.28
2004-10-10,13591.93
2004-11-11,13744.36
2004-12-12,13835.04
2005-1-1,13892.06
2005-2-2,13901.75
2005-3-3,13970.01
2005-4-4,14014.68
2005-5-5,14442.25
2005-6-6,14486.38
2005-7-7,14534.5
2005-8-8,14597.04
2005-9-9,14597.12
2005-10-10,14632.71
2005-11-11,14639.28
2005-12-12,14662.15
2006-1-1,14712.93
2006-2-2,14730.7
2006-3-3,14757.05
2006-4-4,14763.94
2006-5-5,15091.25
2006-6-6,15158.83
2006-7-7,15228.73
2006-8-8,15253.69
2006-9-9,15270.27
2006-10-10,15274.46
2006-11-11,15320.02
2006-12-12,15340.75
2007-1-1,15372.83
2007-2-2,15411.72
2007-3-3,15439.64
2007-4-4,15447.82
2007-5-5,15700.29
2007-6-6,15746.95
2007-7-7,15770.05
2007-8-8,15812.11
2007-9-9,15871.96
2007-10-10,15925.32
2007-11-11,15977.97
2007-12-12,16040.24
2008-1-1,16118.83
2008-2-2,16189.38
2008-3-3,16248.95
2008-4-4,16291.74
2008-5-5,16898.71
2008-6-6,17095.21
2008-7-7,17268.94
2008-8-8,17489.59
2008-9-9,17704.09
2008-10-10,17858.42
2008-11-11,17954.94
2008-12-12,18052.58
2009-1-1,18080.28
2009-2-2,18132.37
2009-3-3,18201.26
2009-4-4,18234.44
2009-5-5,18798.96
2009-6-6,18836.41
2009-7-7,18869.31
2009-8-8,18896.06
2009-9-9,18915.6
2009-10-10,18923.97
2009-11-11,19012.28
2009-12-12,19077.94
2010-1-1,19115.14
2010-2-2,19140.07
2010-3-3,19178.63
2010-4-4,19259.08
2010-5-5,19909.08
2010-6-6,20015.49
2010-7-7,20087.25
2010-8-8,20118.35
2010-9-9,20159.2
2010-10-10,20204.59
2010-11-11,20253.79
2010-12-12,20309.03
2011-1-1,20342.73
2011-2-2,20359.9
2011-3-3,20382.45
2011-4-4,20394.22
2011-5-5,20980.23
2011-6-6,21051.49
2011-7-7,21139.88
2011-8-8,21214.93
2011-9-9,21270.4
2011-10-10,21272.71
2011-11-11,21284.82
2011-12-12,21300.74
2012-1-1,21370.64
2012-2-2,21387.17
2012-3-3,21431.71
2012-4-4,21436.25
2012-5-5,21976.7
2012-6-6,22052.97
2012-7-7,22106.14
2012-8-8,22131.65
2012-9-9,22129.48
2012-10-10,22148.76
2012-11-11,22248.76
2012-12-12,22271.74
2013-1-1,22300.71
2013-2-2,22332.31
2013-3-3,22326.74
2013-4-4,22382.98
2013-5-5,21572.39
2013-6-6,23589.58
2013-7-7,21962.67
2013-8-8,22054.39
2013-9-9,22122.53
2013-10-10,22145.94
2013-11-11,22308.66
2013-12-12,22413.74
2014-1-1,22499.17
2014-2-2,22599.43
2014-3-3,22781.76
2014-4-4,22825.02
2014-5-5,23414.4
2014-6-6,23649.76
2014-7-7,23638.07
2014-8-8,23641.26
2014-9-9,23679.15
2014-10-10,23708.37
2014-11-11,23653.64
2014-12-12,23624.03
2015-1-1,23657.75
2015-2-2,23702.92
2015-3-3,23716.63
2015-4-4,23852.7
2015-5-5,24700.79
2015-6-6,24968.85
2015-7-7,25094.04
2015-8-8,25143.36
2015-9-9,25105.57
2015-10-10,25160.52
2015-11-11,25164.43
2015-12-12,25185.22
2016-1-1,25247.48
2016-2-2,25389.69
2016-3-3,25447.62
2016-4-4,25399.28
2016-5-5,26239.94
2016-6-6,26447.61
2016-7-7,26494.74
2016-8-8,26481.83
2016-9-9,26641.33
2016-10-10,27072.18
2016-11-11,27014.6
2016-12-12,27005.53
2017-1-1,27115.72
2017-2-2,27289.87
2017-3-3,27200.0
2017-4-4,27201.69
2017-5-5,27225.78
2017-6-6,27349.28
2017-7-7,27477.16
2017-8-8,27463.4
2017-9-9,27514.86
2017-10-10,27530.12
2017-11-11,27783.38
2017-12-12,27869.95
2018-1-1,28046.23
2018-2-2,28151.21
2018-3-3,28244.07
2018-4-4,28246.83
2018-5-5,28653.59
2018-6-6,28756.8
2018-7-7,28885.2
2018-8-8,29137.52
2018-9-9,29194.41
2018-10-10,29087.95
2018-11-11,29100.59
2018-12-12,29111.05
2019-1-1,29122.5
2019-2-2,29144.66
2019-3-3,29348.19
2019-4-4,29373.53
2019-5-5,29436.29
2019-6-6,29473.38
2019-7-7,29926.12
2019-8-8,29905.58
2019-9-9,29859.66
2019-10-10,29876.42
2019-11-11,29846.32
2019-12-12,29950.57
2020-1-1,29907.01
2020-2-2,30026.37
2020-3-3,30108.04
2020-4-4,30088.9
2020-5-5,30160.94
2020-6-6,30227.6
2020-7-7,30586.19
2020-8-8,30802.52
2020-9-9,31432.74
2020-10-10,31907.69
2020-11-11,32398.78
2020-12-12,32898.67
2021-1-1,33472.42
2021-2-2,33903.64
2021-3-3,34288.68
2021-4-4,34829.06
2021-5-5,35353.03
2021-6-6,36720.92
2021-7-7,37602.86
2021-8-8,37641.26
2021-9-9,37992.88
2021-10-10,38422.25
2021-11-11,38809.26
2021-12-12,38898.18
2022-1-1,39077.61
2022-2-2,39266.68
2022-3-3,39295.24
2022-4-4,39737.74
2022-5-5,41373.64
2022-6-6,42352.48
2022-7-7,42819.44
2022-8-8,42936.57
2022-9-9,42978.29
2022-10-10,42951.58
2022-11-11,42934.68
2022-12-12,42980.99
2023-1-1,42977.82
2023-2-2,42884.66
2023-3-3,42906.57
2023-4-4,43020.33
2023-5-5,43523.68
2023-6-6,43485.31
2023-7-7,43440.29
2023-8-8,43477.47
2023-9-9,43448.04
