,Rondônia- custo m2 (R$)
2003-1-1,8797.19
2003-2-2,8996.67
2003-3-3,9030.02
2003-4-4,9148.1
2003-5-5,9149.99
2003-6-6,9627.14
2003-7-7,9642.04
2003-8-8,9686.75
2003-9-9,9777.57
2003-10-10,9809.77
2003-11-11,9850.06
2003-12-12,9865.12
2004-1-1,9972.16
2004-2-2,9988.85
2004-3-3,10013.76
2004-4-4,10073.0
2004-5-5,10377.16
2004-6-6,10498.51
2004-7-7,10564.1
2004-8-8,10732.29
2004-9-9,10798.46
2004-10-10,10855.16
2004-11-11,10952.31
2004-12-12,10961.07
2005-1-1,10998.34
2005-2-2,11057.75
2005-3-3,11192.74
2005-4-4,11235.25
2005-5-5,11288.24
2005-6-6,11661.41
2005-7-7,11680.8
2005-8-8,11689.04
2005-9-9,11705.36
2005-10-10,11711.14
2005-11-11,11676.85
2005-12-12,11692.4
2006-1-1,11721.06
2006-2-2,11720.48
2006-3-3,11767.52
2006-4-4,11709.37
2006-5-5,11821.34
2006-6-6,11980.94
2006-7-7,12010.45
2006-8-8,12005.73
2006-9-9,12028.55
2006-10-10,12096.0
2006-11-11,12112.33
2006-12-12,12147.0
2007-1-1,12161.15
2007-2-2,12464.37
2007-3-3,12496.87
2007-4-4,12547.1
2007-5-5,12634.37
2007-6-6,12754.04
2007-7-7,12782.18
2007-8-8,12778.61
2007-9-9,12834.14
2007-10-10,12936.63
2007-11-11,13001.58
2007-12-12,13081.26
2008-1-1,13190.79
2008-2-2,13253.22
2008-3-3,13402.07
2008-4-4,13437.23
2008-5-5,13914.37
2008-6-6,14081.61
2008-7-7,14342.5
2008-8-8,14579.19
2008-9-9,14788.46
2008-10-10,15218.12
2008-11-11,15212.99
2008-12-12,15304.23
2009-1-1,15367.43
2009-2-2,15470.64
2009-3-3,15527.97
2009-4-4,15561.18
2009-5-5,15725.68
2009-6-6,15736.6
2009-7-7,15819.23
2009-8-8,15752.13
2009-9-9,15746.6
2009-10-10,15764.76
2009-11-11,15816.03
2009-12-12,15918.73
2010-1-1,16016.03
2010-2-2,17554.07
2010-3-3,17667.94
2010-4-4,17759.84
2010-5-5,17865.54
2010-6-6,17925.3
2010-7-7,17995.96
2010-8-8,18070.88
2010-9-9,18212.21
2010-10-10,18253.53
2010-11-11,18461.62
2010-12-12,18266.82
2011-1-1,18275.42
2011-2-2,18278.23
2011-3-3,18322.09
2011-4-4,18414.83
2011-5-5,18970.51
2011-6-6,19023.11
2011-7-7,18968.26
2011-8-8,18981.68
2011-9-9,19055.31
2011-10-10,19008.9
2011-11-11,19072.12
2011-12-12,19144.41
2012-1-1,20108.29
2012-2-2,20228.47
2012-3-3,20157.69
2012-4-4,20257.82
2012-5-5,20495.79
2012-6-6,20392.4
2012-7-7,20448.23
2012-8-8,20555.58
2012-9-9,20677.39
2012-10-10,20794.53
2012-11-11,20754.09
2012-12-12,20909.01
2013-1-1,20977.04
2013-2-2,21013.79
2013-3-3,21762.14
2013-4-4,21942.81
2013-5-5,20713.44
2013-6-6,21989.91
2013-7-7,20752.23
2013-8-8,20752.71
2013-9-9,20841.7
2013-10-10,20941.19
2013-11-11,21010.75
2013-12-12,21049.95
2014-1-1,21107.08
2014-2-2,21742.57
2014-3-3,21735.62
2014-4-4,21940.53
2014-5-5,22101.55
2014-6-6,22127.84
2014-7-7,22077.79
2014-8-8,22102.7
2014-9-9,22112.18
2014-10-10,22134.79
2014-11-11,22207.63
2014-12-12,22262.5
2015-1-1,22323.72
2015-2-2,22273.21
2015-3-3,22237.01
2015-4-4,22347.07
2015-5-5,23158.49
2015-6-6,23212.68
2015-7-7,23216.56
2015-8-8,23141.26
2015-9-9,23276.81
2015-10-10,23260.96
2015-11-11,23344.37
2015-12-12,23180.77
2016-1-1,23122.33
2016-2-2,23219.36
2016-3-3,23377.97
2016-4-4,23419.52
2016-5-5,24415.71
2016-6-6,24307.3
2016-7-7,24290.84
2016-8-8,24323.11
2016-9-9,24377.66
2016-10-10,24397.66
2016-11-11,24492.85
2016-12-12,24353.94
2017-1-1,24355.41
2017-2-2,24423.93
2017-3-3,24380.71
2017-4-4,24367.86
2017-5-5,24403.21
2017-6-6,24924.86
2017-7-7,24977.06
2017-8-8,25086.71
2017-9-9,25077.37
2017-10-10,25209.36
2017-11-11,25412.09
2017-12-12,25519.05
2018-1-1,25402.27
2018-2-2,25426.59
2018-3-3,25503.07
2018-4-4,25598.72
2018-5-5,25619.22
2018-6-6,25739.94
2018-7-7,25709.06
2018-8-8,26172.49
2018-9-9,26361.17
2018-10-10,26613.2
2018-11-11,26611.54
2018-12-12,26672.73
2019-1-1,26981.48
2019-2-2,27074.98
2019-3-3,27143.04
2019-4-4,27233.08
2019-5-5,27143.8
2019-6-6,27472.6
2019-7-7,28198.02
2019-8-8,28310.6
2019-9-9,28345.23
2019-10-10,28299.91
2019-11-11,28332.67
2019-12-12,28382.52
2020-1-1,28605.33
2020-2-2,28696.54
2020-3-3,28705.32
2020-4-4,28672.61
2020-5-5,28677.61
2020-6-6,28699.02
2020-7-7,28762.73
2020-8-8,28897.36
2020-9-9,29127.28
2020-10-10,29654.31
2020-11-11,30668.53
2020-12-12,31383.74
2021-1-1,31488.47
2021-2-2,31772.97
2021-3-3,31861.65
2021-4-4,32310.29
2021-5-5,33081.74
2021-6-6,34252.17
2021-7-7,34836.65
2021-8-8,35013.86
2021-9-9,35307.82
2021-10-10,35640.2
2021-11-11,35866.69
2021-12-12,35957.66
2022-1-1,36403.11
2022-2-2,36506.05
2022-3-3,36414.49
2022-4-4,37577.9
2022-5-5,38370.72
2022-6-6,38944.48
2022-7-7,39436.24
2022-8-8,41422.5
2022-9-9,41419.19
2022-10-10,41512.42
2022-11-11,41546.72
2022-12-12,41454.59
2023-1-1,41455.41
2023-2-2,41684.61
2023-3-3,42030.04
2023-4-4,41978.89
2023-5-5,42093.94
2023-6-6,42701.94
2023-7-7,42556.62
2023-8-8,42516.31
2023-9-9,42816.19
