,Mato Grosso- custo m2 (R$)
2003-1-1,9509.38
2003-2-2,9567.69
2003-3-3,9583.99
2003-4-4,9694.28
2003-5-5,9744.49
2003-6-6,9771.45
2003-7-7,9798.54
2003-8-8,9846.52
2003-9-9,9991.13
2003-10-10,10268.01
2003-11-11,10308.13
2003-12-12,10360.94
2004-1-1,10456.92
2004-2-2,10517.05
2004-3-3,10672.04
2004-4-4,10711.14
2004-5-5,10806.76
2004-6-6,10855.95
2004-7-7,11204.77
2004-8-8,11347.54
2004-9-9,11452.32
2004-10-10,11491.5
2004-11-11,11591.02
2004-12-12,11697.25
2005-1-1,11815.19
2005-2-2,11911.91
2005-3-3,11940.4
2005-4-4,11895.74
2005-5-5,11955.22
2005-6-6,11987.09
2005-7-7,12244.08
2005-8-8,12264.24
2005-9-9,12277.48
2005-10-10,12285.07
2005-11-11,12309.29
2005-12-12,12351.7
2006-1-1,12352.64
2006-2-2,12377.81
2006-3-3,12385.61
2006-4-4,12403.44
2006-5-5,12421.52
2006-6-6,12438.0
2006-7-7,12498.51
2006-8-8,12753.83
2006-9-9,12758.21
2006-10-10,12786.18
2006-11-11,12845.7
2006-12-12,12918.58
2007-1-1,12963.92
2007-2-2,12964.23
2007-3-3,12977.62
2007-4-4,13050.52
2007-5-5,13169.46
2007-6-6,13308.05
2007-7-7,13345.85
2007-8-8,13642.57
2007-9-9,13687.22
2007-10-10,13789.32
2007-11-11,13873.1
2007-12-12,13920.73
2008-1-1,13969.31
2008-2-2,13980.91
2008-3-3,14116.23
2008-4-4,14189.18
2008-5-5,14240.86
2008-6-6,14385.67
2008-7-7,15002.83
2008-8-8,15276.69
2008-9-9,15577.21
2008-10-10,15761.2
2008-11-11,15903.03
2008-12-12,15866.15
2009-1-1,15932.66
2009-2-2,15955.04
2009-3-3,16034.52
2009-4-4,16030.61
2009-5-5,15979.89
2009-6-6,16455.68
2009-7-7,16467.52
2009-8-8,16510.53
2009-9-9,16552.25
2009-10-10,16554.06
2009-11-11,16580.83
2009-12-12,16626.14
2010-1-1,16641.43
2010-2-2,16659.01
2010-3-3,16712.95
2010-4-4,16691.47
2010-5-5,16773.14
2010-6-6,16833.06
2010-7-7,17873.63
2010-8-8,17943.81
2010-9-9,17932.49
2010-10-10,17926.22
2010-11-11,18009.51
2010-12-12,17997.31
2011-1-1,17970.66
2011-2-2,17982.67
2011-3-3,18016.28
2011-4-4,18008.97
2011-5-5,18089.57
2011-6-6,19103.4
2011-7-7,19110.34
2011-8-8,19185.17
2011-9-9,19208.94
2011-10-10,19340.36
2011-11-11,19383.53
2011-12-12,19361.76
2012-1-1,19416.53
2012-2-2,19373.32
2012-3-3,19377.96
2012-4-4,19284.13
2012-5-5,19285.64
2012-6-6,19296.41
2012-7-7,19323.93
2012-8-8,20304.95
2012-9-9,20551.73
2012-10-10,20607.7
2012-11-11,20633.7
2012-12-12,20707.66
2013-1-1,20700.54
2013-2-2,20783.8
2013-3-3,20725.61
2013-4-4,20702.13
2013-5-5,19631.23
2013-6-6,20845.63
2013-7-7,19702.3
2013-8-8,19656.05
2013-9-9,19711.87
2013-10-10,20628.47
2013-11-11,20650.49
2013-12-12,20731.96
2014-1-1,20644.99
2014-2-2,20710.92
2014-3-3,20767.15
2014-4-4,20822.11
2014-5-5,20892.4
2014-6-6,20917.96
2014-7-7,20951.08
2014-8-8,21908.22
2014-9-9,21999.47
2014-10-10,21967.92
2014-11-11,22022.66
2014-12-12,22042.33
2015-1-1,22045.38
2015-2-2,22084.99
2015-3-3,22132.97
2015-4-4,22146.15
2015-5-5,22297.85
2015-6-6,22244.55
2015-7-7,22368.12
2015-8-8,23126.38
2015-9-9,23280.76
2015-10-10,23256.52
2015-11-11,23257.09
2015-12-12,23349.54
2016-1-1,23450.3
2016-2-2,23486.27
2016-3-3,23369.52
2016-4-4,23457.73
2016-5-5,23338.39
2016-6-6,23376.2
2016-7-7,23419.56
2016-8-8,24467.0
2016-9-9,24572.47
2016-10-10,24621.63
2016-11-11,24719.17
2016-12-12,24576.47
2017-1-1,24567.12
2017-2-2,24621.68
2017-3-3,24835.96
2017-4-4,24645.52
2017-5-5,24704.28
2017-6-6,24985.69
2017-7-7,25034.34
2017-8-8,24978.77
2017-9-9,25028.39
2017-10-10,25066.47
2017-11-11,25548.85
2017-12-12,25633.7
2018-1-1,25557.28
2018-2-2,25624.24
2018-3-3,25503.06
2018-4-4,25583.92
2018-5-5,25732.36
2018-6-6,25769.73
2018-7-7,25828.47
2018-8-8,26017.07
2018-9-9,26182.4
2018-10-10,26653.0
2018-11-11,26813.9
2018-12-12,26943.64
2019-1-1,26984.19
2019-2-2,26840.85
2019-3-3,26889.25
2019-4-4,26918.3
2019-5-5,26977.96
2019-6-6,26974.23
2019-7-7,27018.36
2019-8-8,27051.41
2019-9-9,27042.23
2019-10-10,27116.66
2019-11-11,27243.42
2019-12-12,27237.12
2020-1-1,27546.97
2020-2-2,27587.82
2020-3-3,27874.08
2020-4-4,27853.44
2020-5-5,27858.47
2020-6-6,27809.06
2020-7-7,27927.07
2020-8-8,28228.97
2020-9-9,28575.32
2020-10-10,28762.36
2020-11-11,29324.29
2020-12-12,29384.96
2021-1-1,30180.91
2021-2-2,31083.89
2021-3-3,32251.41
2021-4-4,32485.87
2021-5-5,32899.07
2021-6-6,33455.88
2021-7-7,34101.91
2021-8-8,34376.62
2021-9-9,34699.42
2021-10-10,35048.0
2021-11-11,35140.84
2021-12-12,35359.81
2022-1-1,35335.0
2022-2-2,35352.37
2022-3-3,36726.18
2022-4-4,37492.45
2022-5-5,38647.69
2022-6-6,39020.21
2022-7-7,39565.25
2022-8-8,39916.2
2022-9-9,40440.59
2022-10-10,41967.37
2022-11-11,41970.39
2022-12-12,41817.3
2023-1-1,42097.76
2023-2-2,42040.98
2023-3-3,41869.82
2023-4-4,41921.93
2023-5-5,41769.05
2023-6-6,41816.7
2023-7-7,41759.71
2023-8-8,41672.37
2023-9-9,41687.21
