,Acre- custo m2 (R$)
2003-1-1,9092.37
2003-2-2,9212.65
2003-3-3,9256.72
2003-4-4,9433.16
2003-5-5,9892.15
2003-6-6,9913.09
2003-7-7,10001.86
2003-8-8,10035.05
2003-9-9,10066.47
2003-10-10,10134.67
2003-11-11,10174.05
2003-12-12,10193.08
2004-1-1,10247.14
2004-2-2,10285.97
2004-3-3,10345.42
2004-4-4,10428.57
2004-5-5,10452.65
2004-6-6,10522.88
2004-7-7,10802.47
2004-8-8,10828.19
2004-9-9,10880.89
2004-10-10,10929.4
2004-11-11,10968.27
2004-12-12,11121.21
2005-1-1,11133.15
2005-2-2,11199.69
2005-3-3,11263.05
2005-4-4,11361.73
2005-5-5,11775.15
2005-6-6,11825.17
2005-7-7,11862.9
2005-8-8,11883.87
2005-9-9,11943.85
2005-10-10,12019.08
2005-11-11,12067.96
2005-12-12,12053.13
2006-1-1,12109.05
2006-2-2,12131.73
2006-3-3,12124.18
2006-4-4,12081.7
2006-5-5,12187.5
2006-6-6,12237.74
2006-7-7,12267.23
2006-8-8,12702.89
2006-9-9,12730.95
2006-10-10,12759.41
2006-11-11,12811.59
2006-12-12,12860.35
2007-1-1,12902.57
2007-2-2,12921.04
2007-3-3,12970.41
2007-4-4,12984.82
2007-5-5,13081.21
2007-6-6,13152.26
2007-7-7,13743.24
2007-8-8,13742.14
2007-9-9,13833.04
2007-10-10,13871.95
2007-11-11,13891.91
2007-12-12,13932.39
2008-1-1,13963.3
2008-2-2,13990.87
2008-3-3,14069.0
2008-4-4,14187.37
2008-5-5,14951.68
2008-6-6,15207.01
2008-7-7,15349.53
2008-8-8,15536.25
2008-9-9,15848.76
2008-10-10,15889.48
2008-11-11,16051.8
2008-12-12,16131.93
2009-1-1,16186.02
2009-2-2,16228.91
2009-3-3,16260.22
2009-4-4,16401.97
2009-5-5,17278.92
2009-6-6,17365.89
2009-7-7,17387.55
2009-8-8,17378.05
2009-9-9,17276.0
2009-10-10,17327.47
2009-11-11,17339.3
2009-12-12,17384.39
2010-1-1,17442.1
2010-2-2,17435.61
2010-3-3,17469.34
2010-4-4,17488.71
2010-5-5,17556.92
2010-6-6,17676.34
2010-7-7,18395.86
2010-8-8,18452.58
2010-9-9,18513.27
2010-10-10,18570.52
2010-11-11,18660.76
2010-12-12,18689.69
2011-1-1,18712.5
2011-2-2,18778.72
2011-3-3,18817.27
2011-4-4,19404.41
2011-5-5,19542.99
2011-6-6,19614.63
2011-7-7,20394.62
2011-8-8,20412.39
2011-9-9,20452.89
2011-10-10,20556.55
2011-11-11,20620.13
2011-12-12,20650.03
2012-1-1,20611.28
2012-2-2,20810.03
2012-3-3,20899.05
2012-4-4,20878.92
2012-5-5,20929.77
2012-6-6,20942.44
2012-7-7,20976.66
2012-8-8,21883.95
2012-9-9,21881.33
2012-10-10,21972.37
2012-11-11,22109.87
2012-12-12,22230.97
2013-1-1,22287.72
2013-2-2,22433.75
2013-3-3,22338.7
2013-4-4,22529.71
2013-5-5,21259.68
2013-6-6,23249.65
2013-7-7,21877.6
2013-8-8,21931.61
2013-9-9,22000.06
2013-10-10,22227.62
2013-11-11,22273.43
2013-12-12,22407.1
2014-1-1,22577.52
2014-2-2,22624.87
2014-3-3,22720.0
2014-4-4,22792.68
2014-5-5,22848.85
2014-6-6,22662.2
2014-7-7,23532.73
2014-8-8,23684.36
2014-9-9,23697.61
