,Rio Grande do Sul- custo m2 (R$)
2003-1-1,10010.23
2003-2-2,10163.51
2003-3-3,10213.43
2003-4-4,10342.42
2003-5-5,10400.49
2003-6-6,10662.01
2003-7-7,10742.42
2003-8-8,10798.76
2003-9-9,10852.55
2003-10-10,11147.73
2003-11-11,11155.97
2003-12-12,11165.26
2004-1-1,11264.28
2004-2-2,11352.84
2004-3-3,11548.85
2004-4-4,11613.55
2004-5-5,11686.04
2004-6-6,11765.15
2004-7-7,11902.76
2004-8-8,12089.82
2004-9-9,12224.99
2004-10-10,12324.86
2004-11-11,12383.69
2004-12-12,12498.31
2005-1-1,12545.78
2005-2-2,12637.77
2005-3-3,12729.0
2005-4-4,12836.02
2005-5-5,12899.25
2005-6-6,12970.07
2005-7-7,13140.08
2005-8-8,13156.21
2005-9-9,13186.19
2005-10-10,13184.6
2005-11-11,13242.72
2005-12-12,13267.46
2006-1-1,13284.66
2006-2-2,13307.21
2006-3-3,13338.95
2006-4-4,13341.1
2006-5-5,13379.4
2006-6-6,13646.55
2006-7-7,13687.15
2006-8-8,13720.97
2006-9-9,13725.48
2006-10-10,13778.14
2006-11-11,13789.9
2006-12-12,13795.92
2007-1-1,13843.29
2007-2-2,13893.62
2007-3-3,13927.09
2007-4-4,13944.24
2007-5-5,13963.75
2007-6-6,14201.6
2007-7-7,14247.02
2007-8-8,14259.93
2007-9-9,14298.99
2007-10-10,14313.28
2007-11-11,14338.37
2007-12-12,14399.73
2008-1-1,14431.76
2008-2-2,14507.62
2008-3-3,14549.94
2008-4-4,14627.79
2008-5-5,14671.13
2008-6-6,15265.58
2008-7-7,15377.25
2008-8-8,15681.23
2008-9-9,15852.37
2008-10-10,15911.45
2008-11-11,15962.1
2008-12-12,16123.92
2009-1-1,16174.39
2009-2-2,16199.49
2009-3-3,16245.37
2009-4-4,16259.14
2009-5-5,16271.99
2009-6-6,16703.9
2009-7-7,16721.54
2009-8-8,16737.32
2009-9-9,16788.48
2009-10-10,16802.04
2009-11-11,16831.98
2009-12-12,16892.0
2010-1-1,16969.17
2010-2-2,16996.7
2010-3-3,17063.13
2010-4-4,17204.85
2010-5-5,17237.85
2010-6-6,17558.82
2010-7-7,17616.74
2010-8-8,17633.63
2010-9-9,17674.51
2010-10-10,17753.78
2010-11-11,17815.48
2010-12-12,17872.94
2011-1-1,17887.38
2011-2-2,17977.01
2011-3-3,18024.57
2011-4-4,18060.04
2011-5-5,18194.65
2011-6-6,18869.24
2011-7-7,18835.2
2011-8-8,18850.09
2011-9-9,18874.78
2011-10-10,18908.67
2011-11-11,18912.64
2011-12-12,18914.49
2012-1-1,18891.33
2012-2-2,18935.25
2012-3-3,19138.85
2012-4-4,19197.27
2012-5-5,19257.86
2012-6-6,19288.25
2012-7-7,19376.09
2012-8-8,19460.77
2012-9-9,19554.19
2012-10-10,19555.51
2012-11-11,19570.71
2012-12-12,19606.07
2013-1-1,19663.24
2013-2-2,19955.68
2013-3-3,20149.33
2013-4-4,20183.54
2013-5-5,19146.0
2013-6-6,21058.77
2013-7-7,19889.17
2013-8-8,19792.53
2013-9-9,19863.14
2013-10-10,19889.97
2013-11-11,19824.4
2013-12-12,19904.75
2014-1-1,19921.53
2014-2-2,20060.77
2014-3-3,20188.21
2014-4-4,20308.72
2014-5-5,20432.4
2014-6-6,20519.05
2014-7-7,21307.26
2014-8-8,21372.95
2014-9-9,21404.26
2014-10-10,21467.57
2014-11-11,21387.78
2014-12-12,21461.8
2015-1-1,21470.77
2015-2-2,21598.1
2015-3-3,21934.86
2015-4-4,21995.15
2015-5-5,22142.52
2015-6-6,22171.71
2015-7-7,22679.84
2015-8-8,23169.92
2015-9-9,23166.63
2015-10-10,23138.87
2015-11-11,23226.13
2015-12-12,23275.11
2016-1-1,23262.71
2016-2-2,23778.98
2016-3-3,23927.19
2016-4-4,23982.85
2016-5-5,24063.46
2016-6-6,24239.61
2016-7-7,24238.97
2016-8-8,24327.24
2016-9-9,24394.37
2016-10-10,24944.14
2016-11-11,24958.2
2016-12-12,24955.29
2017-1-1,24924.12
2017-2-2,24936.97
2017-3-3,25027.34
2017-4-4,25056.02
2017-5-5,25129.09
2017-6-6,25078.42
2017-7-7,25550.08
2017-8-8,25611.79
2017-9-9,25674.37
2017-10-10,25639.67
2017-11-11,25725.49
2017-12-12,25757.0
2018-1-1,25769.1
2018-2-2,25906.24
2018-3-3,25877.82
2018-4-4,26084.67
2018-5-5,26136.38
2018-6-6,26527.61
2018-7-7,26623.39
2018-8-8,26545.62
2018-9-9,26648.49
2018-10-10,26833.93
2018-11-11,26960.28
2018-12-12,27103.68
2019-1-1,27161.91
2019-2-2,27274.16
2019-3-3,27438.43
2019-4-4,27505.99
2019-5-5,27630.04
2019-6-6,27678.94
2019-7-7,27741.74
2019-8-8,28411.93
2019-9-9,28514.88
2019-10-10,28651.43
2019-11-11,28601.79
2019-12-12,28602.61
2020-1-1,28745.25
2020-2-2,28658.47
2020-3-3,28661.42
2020-4-4,28800.85
2020-5-5,28815.93
2020-6-6,28792.17
2020-7-7,28867.61
2020-8-8,28939.32
2020-9-9,29234.6
2020-10-10,29676.7
2020-11-11,30560.34
2020-12-12,31488.88
2021-1-1,31947.3
2021-2-2,32313.07
2021-3-3,32633.65
2021-4-4,33335.86
2021-5-5,33698.96
2021-6-6,34083.63
2021-7-7,35021.15
2021-8-8,35371.1
2021-9-9,36013.39
2021-10-10,36080.05
2021-11-11,36505.19
2021-12-12,36822.03
2022-1-1,36917.4
2022-2-2,37000.16
2022-3-3,37102.01
2022-4-4,37839.34
2022-5-5,38099.95
2022-6-6,38560.63
2022-7-7,39704.93
2022-8-8,39932.61
2022-9-9,40120.56
2022-10-10,40335.89
2022-11-11,40518.76
2022-12-12,40555.19
2023-1-1,40503.87
2023-2-2,40586.89
2023-3-3,40633.98
2023-4-4,40758.7
2023-5-5,40850.23
2023-6-6,41142.45
2023-7-7,41297.94
2023-8-8,41893.79
2023-9-9,41932.18
