,Pernambuco- custo m2 (R$)
2003-1-1,9608.74
2003-2-2,9721.84
2003-3-3,9770.29
2003-4-4,9850.93
2003-5-5,9904.42
2003-6-6,9989.69
2003-7-7,9989.45
2003-8-8,10020.85
2003-9-9,10040.16
2003-10-10,10099.89
2003-11-11,10546.86
2003-12-12,10575.49
2004-1-1,10604.45
2004-2-2,10684.16
2004-3-3,10743.28
2004-4-4,10872.83
2004-5-5,10959.64
2004-6-6,11065.07
2004-7-7,11146.52
2004-8-8,11337.74
2004-9-9,11420.12
2004-10-10,11496.56
2004-11-11,11995.36
2004-12-12,12099.44
2005-1-1,12112.19
2005-2-2,12217.34
2005-3-3,12296.77
2005-4-4,12342.3
2005-5-5,12365.09
2005-6-6,12412.46
2005-7-7,12471.81
2005-8-8,12495.88
2005-9-9,12477.36
2005-10-10,12525.87
2005-11-11,12556.27
2005-12-12,12874.7
2006-1-1,12894.11
2006-2-2,12901.5
2006-3-3,12924.6
2006-4-4,12945.65
2006-5-5,12962.37
2006-6-6,12999.25
2006-7-7,13044.86
2006-8-8,13071.57
2006-9-9,13111.01
2006-10-10,13179.03
2006-11-11,13444.05
2006-12-12,13519.99
2007-1-1,13547.39
2007-2-2,13613.7
2007-3-3,13627.81
2007-4-4,13686.64
2007-5-5,13737.22
2007-6-6,13762.14
2007-7-7,13809.89
2007-8-8,13894.98
2007-9-9,13967.92
2007-10-10,14243.36
2007-11-11,14314.4
2007-12-12,14341.17
2008-1-1,14379.85
2008-2-2,14479.65
2008-3-3,14487.38
2008-4-4,14561.75
2008-5-5,14646.61
2008-6-6,14795.61
2008-7-7,14927.51
2008-8-8,15140.51
2008-9-9,15365.06
2008-10-10,15521.56
2008-11-11,16171.89
2008-12-12,16239.29
2009-1-1,16332.33
2009-2-2,16400.4
2009-3-3,16439.65
2009-4-4,16439.01
2009-5-5,16466.43
2009-6-6,16486.39
2009-7-7,16601.78
2009-8-8,16609.22
2009-9-9,16675.44
2009-10-10,17196.43
2009-11-11,17212.02
2009-12-12,17255.52
2010-1-1,17279.63
2010-2-2,17322.02
2010-3-3,17325.73
2010-4-4,17336.92
2010-5-5,17362.73
2010-6-6,17452.7
2010-7-7,17490.36
2010-8-8,17505.93
2010-9-9,17537.35
2010-10-10,18284.3
2010-11-11,18314.67
2010-12-12,18350.23
2011-1-1,18380.63
2011-2-2,18448.12
2011-3-3,18490.49
2011-4-4,18537.91
2011-5-5,18551.28
2011-6-6,18595.0
2011-7-7,18596.39
2011-8-8,18606.67
2011-9-9,18628.41
2011-10-10,18656.04
2011-11-11,19374.3
2011-12-12,19395.89
2012-1-1,19406.09
2012-2-2,19412.63
2012-3-3,19427.04
2012-4-4,19521.62
2012-5-5,19555.8
2012-6-6,19567.68
2012-7-7,19553.73
2012-8-8,19377.84
2012-9-9,19416.91
2012-10-10,19447.43
2012-11-11,19539.81
2012-12-12,20167.27
2013-1-1,20171.58
2013-2-2,20169.35
2013-3-3,20221.42
2013-4-4,20241.29
2013-5-5,19118.12
2013-6-6,20281.68
2013-7-7,19157.06
2013-8-8,19268.5
2013-9-9,19386.26
2013-10-10,19455.35
2013-11-11,19501.03
2013-12-12,20268.86
2014-1-1,20363.32
2014-2-2,20452.31
2014-3-3,20524.46
2014-4-4,20737.52
2014-5-5,20873.46
2014-6-6,20949.13
2014-7-7,20996.89
2014-8-8,21164.66
2014-9-9,21153.26
2014-10-10,21171.85
2014-11-11,21998.33
2014-12-12,21962.06
2015-1-1,22005.04
2015-2-2,21918.63
2015-3-3,21782.07
2015-4-4,21743.76
2015-5-5,21678.4
2015-6-6,21699.62
2015-7-7,21701.58
2015-8-8,21756.56
2015-9-9,21930.33
2015-10-10,21912.24
2015-11-11,22048.79
2015-12-12,22038.66
2016-1-1,22192.7
2016-2-2,23328.16
2016-3-3,23288.56
2016-4-4,23264.73
2016-5-5,23356.88
2016-6-6,23331.44
2016-7-7,23413.78
2016-8-8,23347.19
2016-9-9,23308.08
2016-10-10,23331.58
2016-11-11,23865.28
2016-12-12,24018.06
2017-1-1,24534.93
2017-2-2,24555.47
2017-3-3,24546.76
2017-4-4,24546.28
2017-5-5,24503.95
2017-6-6,24514.06
2017-7-7,24391.84
2017-8-8,24457.62
2017-9-9,24510.98
2017-10-10,24549.51
2017-11-11,24866.8
2017-12-12,25008.73
2018-1-1,24997.15
2018-2-2,25131.68
2018-3-3,25290.04
2018-4-4,25296.45
