,Minas Gerais- custo m2 (R$)
2003-1-1,9786.34
2003-2-2,9943.05
2003-3-3,9969.54
2003-4-4,10050.71
2003-5-5,10095.09
2003-6-6,10159.11
2003-7-7,10189.49
2003-8-8,10259.11
2003-9-9,10288.98
2003-10-10,10299.41
2003-11-11,10979.27
2003-12-12,11022.88
2004-1-1,11077.94
2004-2-2,11107.12
2004-3-3,11140.98
2004-4-4,11222.0
2004-5-5,11350.7
2004-6-6,11459.42
2004-7-7,11486.87
2004-8-8,11651.3
2004-9-9,11692.87
2004-10-10,11784.53
2004-11-11,11843.25
2004-12-12,12339.23
2005-1-1,12382.3
2005-2-2,12410.86
2005-3-3,12487.48
2005-4-4,12580.54
2005-5-5,12693.72
2005-6-6,12716.55
2005-7-7,12745.28
2005-8-8,12752.25
2005-9-9,12802.11
2005-10-10,12814.49
2005-11-11,12860.55
2005-12-12,13165.66
2006-1-1,13267.05
2006-2-2,13276.99
2006-3-3,13299.65
2006-4-4,13321.36
2006-5-5,13348.23
2006-6-6,13377.93
2006-7-7,13409.46
2006-8-8,13423.5
2006-9-9,13440.52
2006-10-10,13480.75
2006-11-11,13522.78
2006-12-12,13863.64
2007-1-1,13888.43
2007-2-2,13955.62
2007-3-3,13995.86
2007-4-4,14021.52
2007-5-5,14061.0
2007-6-6,14102.96
2007-7-7,14122.27
2007-8-8,14160.02
2007-9-9,14200.0
2007-10-10,14236.49
2007-11-11,14305.1
2007-12-12,14929.45
2008-1-1,14991.09
2008-2-2,15079.89
2008-3-3,15166.49
2008-4-4,15202.25
2008-5-5,15223.28
2008-6-6,15304.93
2008-7-7,15362.16
2008-8-8,15538.58
2008-9-9,15859.33
2008-10-10,15954.17
2008-11-11,16025.63
2008-12-12,16371.11
2009-1-1,16451.88
2009-2-2,16604.45
2009-3-3,16671.47
2009-4-4,16699.04
2009-5-5,16769.15
2009-6-6,16798.47
2009-7-7,16808.81
2009-8-8,16814.72
2009-9-9,16840.45
2009-10-10,16847.61
2009-11-11,16871.91
2009-12-12,17386.79
2010-1-1,17422.7
2010-2-2,17469.82
2010-3-3,17497.16
2010-4-4,17535.7
2010-5-5,17637.44
2010-6-6,17753.91
2010-7-7,17773.3
2010-8-8,17835.78
2010-9-9,17904.39
2010-10-10,17927.54
2010-11-11,18789.74
2010-12-12,18811.61
2011-1-1,18831.36
2011-2-2,18841.77
2011-3-3,18858.12
2011-4-4,18874.03
2011-5-5,18955.18
2011-6-6,18984.66
2011-7-7,19002.0
2011-8-8,19038.1
2011-9-9,19075.95
2011-10-10,19096.24
2011-11-11,19104.9
2011-12-12,19118.21
2012-1-1,19730.95
2012-2-2,19771.47
2012-3-3,19837.79
2012-4-4,19850.2
2012-5-5,19913.23
2012-6-6,19927.16
2012-7-7,19970.81
2012-8-8,19970.34
2012-9-9,19985.0
2012-10-10,19994.55
2012-11-11,20066.13
2012-12-12,20060.31
2013-1-1,20079.3
2013-2-2,21045.44
2013-3-3,21055.79
2013-4-4,21036.36
2013-5-5,19847.48
2013-6-6,21239.13
2013-7-7,19926.81
2013-8-8,19917.16
2013-9-9,19941.11
2013-10-10,19931.84
2013-11-11,20057.35
