,Distrito Federal- custo m2 (R$)
2003-1-1,10768.04
2003-2-2,10912.73
2003-3-3,10962.66
2003-4-4,11031.47
2003-5-5,11729.34
2003-6-6,11849.62
2003-7-7,11927.46
2003-8-8,11962.79
2003-9-9,12039.44
2003-10-10,12061.09
2003-11-11,12085.23
2003-12-12,12168.86
2004-1-1,12201.44
2004-2-2,12196.21
2004-3-3,12214.58
2004-4-4,12238.26
2004-5-5,12517.37
2004-6-6,12593.55
2004-7-7,12662.97
2004-8-8,12737.78
2004-9-9,12871.73
2004-10-10,12981.01
2004-11-11,13094.99
2004-12-12,13252.9
2005-1-1,13283.4
2005-2-2,13323.82
2005-3-3,13349.62
2005-4-4,13398.51
2005-5-5,13760.62
2005-6-6,13795.55
2005-7-7,13832.82
2005-8-8,13861.09
2005-9-9,13854.65
2005-10-10,13871.18
2005-11-11,13864.68
2005-12-12,13887.7
2006-1-1,13906.97
2006-2-2,13934.5
2006-3-3,13970.6
2006-4-4,13992.26
2006-5-5,14255.58
2006-6-6,14282.78
2006-7-7,14317.7
2006-8-8,14350.88
2006-9-9,14370.97
2006-10-10,14410.62
2006-11-11,14427.3
2006-12-12,14450.96
2007-1-1,14477.73
2007-2-2,14490.43
2007-3-3,14515.34
2007-4-4,14516.14
2007-5-5,14720.89
2007-6-6,14795.65
2007-7-7,14870.97
2007-8-8,14945.38
2007-9-9,14978.61
2007-10-10,15024.56
2007-11-11,15094.8
2007-12-12,15141.36
2008-1-1,15237.41
2008-2-2,15305.61
2008-3-3,15330.3
2008-4-4,15352.85
2008-5-5,15835.91
2008-6-6,15951.9
2008-7-7,16150.66
2008-8-8,16348.33
2008-9-9,16651.98
2008-10-10,16780.91
2008-11-11,16923.25
2008-12-12,17042.51
2009-1-1,17163.85
2009-2-2,17184.73
2009-3-3,17304.71
2009-4-4,17305.31
2009-5-5,17565.02
2009-6-6,17640.56
2009-7-7,17655.64
2009-8-8,17692.96
2009-9-9,17739.58
2009-10-10,17782.33
2009-11-11,17864.39
2009-12-12,17945.78
2010-1-1,17971.89
2010-2-2,17974.39
2010-3-3,18008.43
2010-4-4,18127.93
2010-5-5,18596.19
2010-6-6,18625.35
2010-7-7,18768.49
2010-8-8,18847.51
2010-9-9,18865.95
2010-10-10,18860.43
2010-11-11,18972.25
2010-12-12,19177.01
2011-1-1,19168.82
2011-2-2,19170.02
2011-3-3,19190.55
2011-4-4,19267.18
2011-5-5,19922.08
2011-6-6,19922.77
2011-7-7,19949.54
2011-8-8,19966.93
2011-9-9,20127.29
2011-10-10,20119.37
2011-11-11,20702.98
2011-12-12,20739.63
2012-1-1,20742.6
2012-2-2,20773.09
2012-3-3,20788.22
2012-4-4,20817.2
2012-5-5,20831.47
2012-6-6,21573.56
2012-7-7,21601.55
2012-8-8,21632.71
2012-9-9,21526.21
2012-10-10,21519.66
2012-11-11,21570.8
2012-12-12,21676.44
2013-1-1,21712.01
2013-2-2,21726.43
2013-3-3,21690.88
2013-4-4,21715.87
2013-5-5,20525.2
2013-6-6,22513.71
2013-7-7,21215.66
2013-8-8,21158.33
2013-9-9,21337.53
2013-10-10,21320.5
2013-11-11,21348.36
2013-12-12,21368.12
2014-1-1,21493.76
2014-2-2,21428.64
2014-3-3,21520.87
2014-4-4,21526.48
2014-5-5,21630.97
2014-6-6,21780.52
2014-7-7,22856.35
2014-8-8,22883.85
2014-9-9,22952.67
2014-10-10,22975.65
2014-11-11,23078.17
2014-12-12,23084.37
2015-1-1,23147.14
2015-2-2,23135.24
2015-3-3,23150.86
2015-4-4,23070.58
2015-5-5,23173.35
2015-6-6,23177.73
2015-7-7,23931.45
2015-8-8,23954.85
2015-9-9,23986.21
2015-10-10,23983.51
2015-11-11,24048.62
2015-12-12,24146.56
2016-1-1,24349.4
2016-2-2,24484.96
2016-3-3,24530.12
2016-4-4,24576.43
2016-5-5,24563.48
2016-6-6,24584.47
2016-7-7,24601.83
2016-8-8,24578.08
2016-9-9,24959.22
2016-10-10,24996.27
2016-11-11,24994.34
2016-12-12,25516.65
2017-1-1,25423.12
2017-2-2,25468.92
2017-3-3,25516.15
2017-4-4,25502.0
2017-5-5,25545.68
2017-6-6,26096.05
2017-7-7,26178.54
2017-8-8,26343.6
2017-9-9,26512.08
2017-10-10,26562.2
2017-11-11,26734.34
2017-12-12,26833.49
2018-1-1,26872.56
2018-2-2,27028.8
2018-3-3,27130.29
2018-4-4,27248.15
2018-5-5,27380.63
2018-6-6,27569.3
2018-7-7,27767.71
2018-8-8,27835.06
2018-9-9,27946.34
2018-10-10,28353.58
2018-11-11,28362.5
2018-12-12,28383.86
2019-1-1,28306.91
2019-2-2,28411.28
2019-3-3,28462.3
2019-4-4,28689.58
2019-5-5,28639.96
2019-6-6,28763.73
2019-7-7,28936.82
2019-8-8,29404.51
2019-9-9,29427.82
2019-10-10,29482.1
2019-11-11,29517.25
2019-12-12,29570.24
2020-1-1,29484.02
2020-2-2,29420.39
2020-3-3,29604.16
2020-4-4,29556.31
2020-5-5,29562.07
2020-6-6,29647.4
2020-7-7,29653.89
2020-8-8,30005.82
2020-9-9,30661.51
2020-10-10,31007.47
2020-11-11,31452.9
2020-12-12,32037.71
2021-1-1,32534.76
2021-2-2,32981.74
2021-3-3,33565.81
2021-4-4,33793.04
2021-5-5,34542.2
2021-6-6,35105.31
2021-7-7,35621.8
2021-8-8,36082.4
2021-9-9,36507.87
2021-10-10,37003.2
2021-11-11,37977.14
2021-12-12,38315.33
2022-1-1,38356.88
2022-2-2,38742.01
2022-3-3,39123.4
2022-4-4,39460.92
2022-5-5,40715.59
2022-6-6,40986.89
2022-7-7,41102.9
2022-8-8,41366.95
2022-9-9,41341.24
2022-10-10,41225.36
2022-11-11,42028.49
2022-12-12,42352.29
2023-1-1,42173.4
2023-2-2,42258.67
2023-3-3,42561.76
2023-4-4,42659.41
2023-5-5,43319.62
2023-6-6,43367.01
2023-7-7,43222.63
2023-8-8,43073.27
2023-9-9,43152.31
