,Minas Gerais - Produção de Cimento (t)
2003-1,511.998
2003-2,588.822
2003-3,679.435
2003-4,696.419
2003-5,711.255
2003-6,684.734
2003-7,772.468
2003-8,684.811
2003-9,683.486
2003-10,728.134
2003-11,670.59
2003-12,540.4
2004-1,606.627
2004-2,521.098
2004-3,621.585
2004-4,579.13
2004-5,631.248
2004-6,586.84
2004-7,732.03
2004-8,743.105
2004-9,702.086
2004-10,656.672
2004-11,641.567
2004-12,618.334
2005-1,629.405
2005-2,603.132
2005-3,683.734
2005-4,702.811
2005-5,794.098
2005-6,750.422
2005-7,841.151
2005-8,849.843
2005-9,843.484
2005-10,825.955
2005-11,798.296
2005-12,829.934
2006-1,810.084
2006-2,782.08
2006-3,815.524
2006-4,790.971
2006-5,885.809
2006-6,820.447
2006-7,883.614
2006-8,903.153
2006-9,879.182
2006-10,876.147
2006-11,786.036
2006-12,793.982
2007-1,736.559
2007-2,744.091
2007-3,870.073
2007-4,858.742
2007-5,913.168
2007-6,895.173
2007-7,1028.819
2007-8,972.656
2007-9,998.501
2007-10,1035.735
2007-11,931.453
2007-12,864.051
2008-1,888.475
2008-2,874.658
2008-3,988.891
2008-4,969.681
2008-5,1103.235
2008-6,1139.132
2008-7,1188.804
2008-8,1181.668
2008-9,1125.809
2008-10,1180.15
2008-11,1107.913
2008-12,906.015
2009-1,944.085
2009-2,879.677
2009-3,996.1
2009-4,1039.944
2009-5,1163.22
2009-6,1106.284
2009-7,1196.23
2009-8,1173.96
2009-9,1135.503
2009-10,1188.204
2009-11,1113.623
2009-12,1042.051
2010-1,986.493
2010-2,954.078
2010-3,1174.064
2010-4,1135.078
2010-5,1227.1
2010-6,1190.757
2010-7,1243.545
2010-8,1257.963
2010-9,1270.506
2010-10,1264.887
2010-11,1189.644
2010-12,1183.978
2011-1,993.649
2011-2,1115.119
2011-3,1137.733
2011-4,1169.996
2011-5,1338.072
2011-6,1308.918
2011-7,1359.449
2011-8,1377.259
2011-9,1295.521
2011-10,1336.812
2011-11,1230.215
2011-12,1139.804
2012-1,1086.654
2012-2,1157.53
2012-3,1330.94
2012-4,1283.812
2012-5,1336.486
2012-6,1233.329
2012-7,1364.325
2012-8,1439.824
2012-9,1317.734
2012-10,1353.859
2012-11,1254.542
2012-12,1198.132
2013-1,1130.321
2013-2,1065.675
2013-3,1242.728
2013-4,1171.796
2013-5,1232.283
2013-6,1170.147
2013-7,1333.555
2013-8,1343.273
2013-9,1272.441
2013-10,1372.559
2013-11,1220.116
2013-12,1074.475
2014-1,1151.416
2014-2,1153.071
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,939.937
2017-2,872.837
2017-3,977.818
2017-4,914.431
2017-5,915.386
2017-6,955.992
2017-7,1021.955
2017-8,1084.738
2017-9,1058.082
2017-10,1018.451
2017-11,938.199
2017-12,879.399
2018-1,939.625
2018-2,891.165
2018-3,1054.857
2018-4,998.113
2018-5,799.299
2018-6,1245.421
2018-7,1147.971
2018-8,1191.469
2018-9,1166.951
2018-10,1157.109
2018-11,1060.119
2018-12,1089.076
2019-1,1089.666
2019-2,1067.66
2019-3,1112.429
2019-4,1160.951
2019-5,1517.745
2019-6,1299.85
2019-7,1545.831
2019-8,1553.703
2019-9,1244.707
2019-10,1263.612
2019-11,1184.03
2019-12,957.55
2020-1,1039.411
2020-2,981.164
2020-3,1096.35
2020-4,1070.829
2020-5,1320.208
2020-6,1338.271
2020-7,1406.185
2020-8,1414.792
2020-9,1329.051
2020-10,1352.092
2020-11,1354.117
2020-12,1155.624
2021-1,1264.265
2021-2,1142.291
2021-3,1325.577
2021-4,1289.442
2021-5,1361.385
2021-6,1338.953
2021-7,1397.067
2021-8,1449.437
2021-9,1334.129
2021-10,1310.961
2021-11,1177.863
2021-12,1112.388
2022-1,962.844
2022-2,1036.635
2022-3,1249.857
2022-4,1264.292
2022-5,1395.189
2022-6,1316.676
2022-7,1366.442
2022-8,1373.308
2022-9,1319.223
2022-10,1336.583
2022-11,1190.468
2022-12,
