,Goiás - Produção de Cimento (t)
2003-1,42.953
2003-2,44.601
2003-3,49.219
2003-4,47.291
2003-5,46.127
2003-6,52.764
2003-7,54.649
2003-8,67.4
2003-9,66.252
2003-10,67.985
2003-11,52.461
2003-12,55.045
2004-1,47.017
2004-2,45.012
2004-3,63.292
2004-4,59.072
2004-5,56.69
2004-6,61.285
2004-7,68.903
2004-8,63.063
2004-9,61.111
2004-10,70.609
2004-11,58.81
2004-12,61.293
2005-1,48.595
2005-2,51.512
2005-3,54.081
2005-4,63.469
2005-5,63.65
2005-6,63.766
2005-7,70.806
2005-8,77.063
2005-9,79.291
2005-10,81.082
2005-11,66.875
2005-12,68.873
2006-1,60.416
2006-2,64.06
2006-3,58.688
2006-4,52.139
2006-5,67.487
2006-6,65.728
2006-7,71.143
2006-8,66.684
2006-9,66.337
2006-10,57.98
2006-11,68.875
2006-12,66.955
2007-1,60.17
2007-2,54.138
2007-3,70.078
2007-4,75.235
2007-5,81.022
2007-6,72.269
2007-7,75.099
2007-8,83.018
2007-9,58.133
2007-10,69.061
2007-11,72.865
2007-12,61.245
2008-1,62.39
2008-2,55.199
2008-3,74.45
2008-4,71.507
2008-5,86.594
2008-6,98.448
2008-7,111.212
2008-8,102.999
2008-9,89.089
2008-10,106.775
2008-11,100.007
2008-12,93.2
2009-1,75.812
2009-2,88.317
2009-3,103.377
2009-4,84.895
2009-5,109.306
2009-6,100.939
2009-7,117.879
2009-8,112.141
2009-9,91.771
2009-10,86.423
2009-11,88.821
2009-12,89.164
2010-1,84.929
2010-2,80.946
2010-3,107.414
2010-4,94.166
2010-5,108.462
2010-6,109.432
2010-7,114.215
2010-8,135.774
2010-9,140.9
2010-10,130.955
2010-11,111.626
2010-12,105.524
2011-1,91.405
2011-2,101.644
2011-3,100.885
2011-4,103.237
2011-5,124.04
2011-6,121.334
2011-7,144.727
2011-8,139.973
2011-9,148.173
2011-10,116.728
2011-11,101.295
2011-12,98.836
2012-1,107.678
2012-2,114.421
2012-3,139.489
2012-4,130.807
2012-5,141.929
2012-6,121.187
2012-7,151.186
2012-8,154.874
2012-9,147.904
2012-10,150.579
2012-11,117.989
2012-12,120.741
2013-1,130.882
2013-2,125.655
2013-3,117.579
2013-4,118.376
2013-5,131.445
2013-6,137.14
2013-7,150.133
2013-8,172.555
2013-9,160.348
2013-10,165.545
2013-11,129.393
2013-12,110.361
2014-1,130.887
2014-2,113.486
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,113.713
2017-2,99.876
2017-3,118.213
2017-4,110.694
2017-5,133.469
2017-6,122.073
2017-7,124.407
2017-8,142.857
2017-9,135.457
2017-10,139.469
2017-11,131.359
2017-12,114.399
2018-1,124.772
2018-2,127.42
2018-3,142.003
2018-4,137.975
2018-5,121.287
2018-6,174.914
2018-7,139.908
2018-8,166.476
2018-9,156.247
2018-10,161.376
2018-11,139.473
2018-12,123.911
2019-1,134.424
2019-2,125.481
2019-3,152.744
2019-4,148.89
2019-5,171.916
2019-6,165.909
2019-7,184.305
2019-8,188.491
2019-9,165.866
2019-10,172.902
2019-11,169.705
2019-12,139.072
2020-1,146.26
2020-2,133.695
2020-3,141.156
2020-4,124.029
2020-5,162.624
2020-6,176.804
2020-7,202.656
2020-8,199.654
2020-9,193.898
2020-10,206.043
2020-11,179.635
2020-12,153.512
2021-1,163.907
2021-2,157.439
2021-3,160.452
2021-4,174.513
2021-5,205.893
2021-6,196.856
2021-7,217.82
2021-8,219.025
2021-9,208.019
2021-10,199.069
2021-11,169.981
2021-12,163.799
2022-1,150.362
2022-2,151.196
2022-3,185.264
2022-4,196.034
2022-5,192.497
2022-6,186.975
2022-7,217.033
2022-8,208.188
2022-9,210.928
2022-10,217.502
2022-11,124.71
2022-12,
