,Pará - Produção de Cimento (t)
2003-1,48.623
2003-2,46.078
2003-3,49.168
2003-4,43.07
2003-5,46.143
2003-6,42.575
2003-7,43.894
2003-8,47.873
2003-9,45.91
2003-10,44.543
2003-11,53.624
2003-12,49.011
2004-1,46.506
2004-2,58.076
2004-3,42.719
2004-4,44.82
2004-5,51.261
2004-6,53.663
2004-7,53.769
2004-8,51.054
2004-9,49.114
2004-10,51.996
2004-11,50.257
2004-12,67.48
2005-1,59.237
2005-2,49.651
2005-3,52.795
2005-4,47.976
2005-5,52.218
2005-6,65.633
2005-7,69.837
2005-8,57.923
2005-9,67.871
2005-10,65.215
2005-11,62.432
2005-12,68.891
2006-1,62.298
2006-2,69.445
2006-3,52.786
2006-4,60.306
2006-5,54.501
2006-6,64.665
2006-7,67.916
2006-8,65.171
2006-9,71.246
2006-10,80.584
2006-11,90.208
2006-12,81.755
2007-1,73.413
2007-2,67.203
2007-3,66.992
2007-4,66.019
2007-5,67.833
2007-6,64.083
2007-7,75.057
2007-8,83.48
2007-9,76.295
2007-10,80.193
2007-11,109.916
2007-12,104.133
2008-1,106.391
2008-2,81.762
2008-3,86.298
2008-4,88.859
2008-5,95.755
2008-6,98.981
2008-7,118.711
2008-8,118.274
2008-9,120.175
2008-10,131.448
2008-11,134.615
2008-12,134.075
2009-1,101.062
2009-2,83.083
2009-3,80.085
2009-4,72.388
2009-5,78.271
2009-6,89.136
2009-7,106.973
2009-8,111.216
2009-9,120.409
2009-10,121.186
2009-11,117.86
2009-12,122.0
2010-1,111.801
2010-2,104.787
2010-3,114.063
2010-4,90.577
2010-5,114.824
2010-6,137.008
2010-7,139.14
2010-8,145.092
2010-9,143.345
2010-10,138.706
2010-11,122.917
2010-12,139.325
2011-1,133.005
2011-2,127.082
2011-3,109.524
2011-4,108.106
2011-5,126.64
2011-6,115.783
2011-7,141.328
2011-8,141.469
2011-9,131.339
2011-10,136.36
2011-11,139.06
2011-12,143.468
2012-1,147.306
2012-2,128.081
2012-3,133.491
2012-4,122.665
2012-5,128.903
2012-6,126.482
2012-7,142.243
2012-8,147.605
2012-9,132.795
2012-10,147.455
2012-11,136.989
2012-12,142.028
2013-1,138.833
2013-2,126.369
2013-3,152.127
2013-4,132.299
2013-5,132.813
2013-6,134.616
2013-7,150.179
2013-8,145.965
2013-9,146.912
2013-10,153.333
2013-11,145.676
2013-12,149.4
2014-1,133.905
2014-2,113.474
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,111.322
2017-2,100.69
2017-3,110.957
2017-4,104.499
2017-5,107.886
2017-6,121.949
2017-7,121.416
2017-8,112.865
2017-9,102.208
2017-10,102.331
2017-11,114.959
2017-12,121.982
2018-1,72.788
2018-2,65.171
2018-3,64.16
2018-4,49.825
2018-5,52.275
2018-6,90.129
2018-7,85.03
2018-8,92.67
2018-9,78.992
2018-10,71.654
2018-11,91.366
2018-12,78.074
2019-1,62.024
2019-2,51.72
2019-3,67.783
2019-4,53.129
2019-5,59.231
2019-6,67.192
2019-7,69.743
2019-8,70.927
2019-9,78.527
2019-10,78.335
2019-11,71.244
2019-12,76.292
2020-1,64.603
2020-2,43.36
2020-3,45.557
2020-4,39.776
2020-5,67.594
2020-6,88.528
2020-7,86.825
2020-8,75.513
2020-9,77.354
2020-10,70.586
2020-11,68.96
2020-12,53.846
2021-1,59.144
2021-2,53.687
2021-3,54.847
2021-4,63.408
2021-5,75.276
2021-6,74.006
2021-7,87.176
2021-8,71.285
2021-9,71.79
2021-10,81.387
2021-11,80.615
2021-12,83.02
2022-1,51.886
2022-2,62.895
2022-3,76.853
2022-4,64.754
2022-5,80.653
2022-6,84.219
2022-7,82.835
2022-8,91.763
2022-9,73.627
2022-10,74.401
2022-11,83.422
2022-12,
