,São Paulo - Produção de Cimento (t)
2003-1,477.117
2003-2,453.3
2003-3,473.54
2003-4,392.761
2003-5,443.012
2003-6,424.13
2003-7,455.463
2003-8,483.193
2003-9,441.806
2003-10,469.07
2003-11,473.65
2003-12,398.634
2004-1,392.229
2004-2,404.329
2004-3,505.14
2004-4,441.96
2004-5,471.295
2004-6,453.841
2004-7,424.385
2004-8,449.876
2004-9,435.056
2004-10,406.056
2004-11,396.947
2004-12,415.441
2005-1,367.087
2005-2,383.283
2005-3,425.953
2005-4,430.825
2005-5,435.158
2005-6,452.599
2005-7,461.455
2005-8,511.03
2005-9,482.25
2005-10,509.889
2005-11,524.665
2005-12,533.357
2006-1,489.535
2006-2,479.98
2006-3,575.295
2006-4,529.5
2006-5,570.634
2006-6,564.212
2006-7,596.943
2006-8,609.458
2006-9,596.654
2006-10,582.896
2006-11,597.655
2006-12,566.782
2007-1,522.608
2007-2,529.77
2007-3,659.054
2007-4,587.345
2007-5,611.355
2007-6,622.987
2007-7,614.622
2007-8,672.349
2007-9,621.601
2007-10,685.512
2007-11,663.309
2007-12,602.799
2008-1,685.87
2008-2,639.677
2008-3,667.207
2008-4,606.18
2008-5,598.659
2008-6,726.935
2008-7,749.039
2008-8,738.878
2008-9,704.405
2008-10,746.905
2008-11,687.533
2008-12,628.268
2009-1,621.497
2009-2,549.268
2009-3,685.759
2009-4,632.161
2009-5,671.077
2009-6,656.769
2009-7,638.912
2009-8,701.127
2009-9,667.221
2009-10,711.886
2009-11,708.399
2009-12,669.206
2010-1,604.622
2010-2,648.038
2010-3,783.438
2010-4,696.932
2010-5,785.497
2010-6,756.129
2010-7,779.842
2010-8,872.764
2010-9,788.817
2010-10,807.948
2010-11,757.003
2010-12,729.768
2011-1,618.729
2011-2,749.464
2011-3,745.613
2011-4,784.289
2011-5,874.75
2011-6,796.927
2011-7,857.022
2011-8,852.03
2011-9,832.778
2011-10,824.921
2011-11,798.385
2011-12,761.437
2012-1,644.776
2012-2,729.432
2012-3,828.553
2012-4,748.29
2012-5,807.205
2012-6,697.427
2012-7,819.189
2012-8,917.183
2012-9,845.242
2012-10,806.838
2012-11,781.123
2012-12,750.704
2013-1,695.519
2013-2,822.431
2013-3,842.494
2013-4,809.787
2013-5,858.534
2013-6,767.622
2013-7,820.767
2013-8,940.622
2013-9,932.604
2013-10,895.706
2013-11,824.417
2013-12,763.255
2014-1,698.724
2014-2,833.191
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,385.702
2017-2,411.543
2017-3,470.059
2017-4,427.46
2017-5,476.026
2017-6,426.497
2017-7,482.173
2017-8,484.159
2017-9,420.728
2017-10,434.46
2017-11,380.534
2017-12,397.214
2018-1,342.776
2018-2,389.398
2018-3,456.364
2018-4,431.892
2018-5,347.435
2018-6,510.336
2018-7,452.88
2018-8,449.986
2018-9,465.361
2018-10,448.831
2018-11,434.208
2018-12,429.105
2019-1,397.43
2019-2,373.62
2019-3,391.454
2019-4,440.506
2019-5,443.107
2019-6,413.99
2019-7,470.98
2019-8,485.879
2019-9,430.867
2019-10,533.62
2019-11,446.382
2019-12,406.954
2020-1,416.342
2020-2,403.259
2020-3,416.846
2020-4,441.958
2020-5,465.563
2020-6,487.275
2020-7,553.39
2020-8,580.608
2020-9,594.017
2020-10,584.161
2020-11,553.288
2020-12,440.271
2021-1,454.572
2021-2,422.9
2021-3,548.611
2021-4,530.502
2021-5,608.554
2021-6,625.313
2021-7,607.954
2021-8,612.831
2021-9,576.194
2021-10,558.927
2021-11,557.6
2021-12,516.877
2022-1,445.731
2022-2,464.822
2022-3,573.643
2022-4,525.521
2022-5,562.796
2022-6,481.614
2022-7,575.433
2022-8,530.887
2022-9,515.169
2022-10,507.849
2022-11,504.378
2022-12,
