,Rio De eiro-01 - Produção de Cimento (t)
2003-1,187.848
2003-2,195.615
2003-3,190.508
2003-4,194.587
2003-5,224.502
2003-6,182.157
2003-7,200.93
2003-8,207.152
2003-9,196.165
2003-10,207.741
2003-11,212.768
2003-12,202.298
2004-1,203.335
2004-2,178.682
2004-3,202.201
2004-4,189.576
2004-5,199.446
2004-6,214.329
2004-7,188.182
2004-8,208.058
2004-9,201.932
2004-10,195.033
2004-11,191.6
2004-12,209.152
2005-1,193.235
2005-2,174.341
2005-3,201.327
2005-4,189.961
2005-5,193.649
2005-6,186.107
2005-7,182.944
2005-8,216.892
2005-9,185.165
2005-10,211.002
2005-11,214.625
2005-12,208.553
2006-1,191.757
2006-2,185.369
2006-3,238.674
2006-4,213.156
2006-5,213.25
2006-6,205.265
2006-7,229.576
2006-8,230.037
2006-9,219.315
2006-10,226.61
2006-11,227.04
2006-12,237.93
2007-1,216.94
2007-2,199.25
2007-3,257.082
2007-4,199.581
2007-5,236.914
2007-6,248.936
2007-7,261.682
2007-8,296.715
2007-9,228.563
2007-10,240.433
2007-11,204.842
2007-12,234.227
2008-1,217.933
2008-2,200.566
2008-3,243.407
2008-4,232.247
2008-5,275.411
2008-6,257.512
2008-7,277.26
2008-8,307.84
2008-9,298.535
2008-10,308.742
2008-11,274.839
2008-12,234.534
2009-1,225.418
2009-2,222.043
2009-3,262.214
2009-4,221.734
2009-5,270.632
2009-6,264.566
2009-7,286.204
2009-8,287.559
2009-9,288.174
2009-10,284.561
2009-11,271.702
2009-12,275.347
2010-1,228.26
2010-2,212.446
2010-3,237.216
2010-4,232.998
2010-5,294.098
2010-6,266.205
2010-7,302.7
2010-8,309.512
2010-9,302.748
2010-10,280.5
2010-11,272.469
2010-12,269.682
2011-1,238.897
2011-2,231.619
2011-3,238.994
2011-4,262.848
2011-5,272.098
2011-6,273.592
2011-7,318.811
2011-8,317.344
2011-9,294.166
2011-10,300.288
2011-11,277.648
2011-12,247.648
2012-1,237.103
2012-2,237.549
2012-3,282.144
2012-4,248.417
2012-5,270.629
2012-6,262.875
2012-7,292.447
2012-8,286.432
2012-9,284.437
2012-10,275.886
2012-11,262.109
2012-12,261.916
2013-1,247.799
2013-2,230.098
2013-3,260.759
2013-4,281.145
2013-5,285.56
2013-6,252.763
2013-7,291.372
2013-8,315.28
2013-9,279.778
2013-10,298.648
2013-11,272.998
2013-12,215.78
2014-1,242.262
2014-2,269.407
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,147.549
2017-2,143.992
2017-3,147.548
2017-4,150.274
2017-5,141.118
2017-6,149.956
2017-7,150.54
2017-8,184.213
2017-9,192.344
2017-10,167.621
2017-11,176.351
2017-12,174.68
2018-1,161.159
2018-2,136.888
2018-3,168.363
2018-4,151.12
2018-5,127.046
2018-6,247.839
2018-7,227.676
2018-8,240.468
2018-9,224.892
2018-10,233.264
2018-11,205.086
2018-12,212.195
2019-1,218.485
2019-2,206.383
2019-3,225.444
2019-4,220.634
2019-5,285.506
2019-6,296.815
2019-7,297.916
2019-8,301.394
2019-9,236.61
2019-10,249.484
2019-11,236.995
2019-12,199.752
2020-1,211.331
2020-2,181.341
2020-3,204.256
2020-4,188.132
2020-5,214.3
2020-6,246.487
2020-7,247.909
2020-8,229.192
2020-9,231.598
2020-10,248.671
2020-11,228.17
2020-12,196.193
2021-1,232.257
2021-2,204.458
2021-3,229.025
2021-4,231.249
2021-5,220.951
2021-6,266.482
2021-7,298.654
2021-8,284.547
2021-9,266.288
2021-10,230.813
2021-11,235.456
2021-12,212.834
2022-1,213.987
2022-2,208.653
2022-3,243.213
2022-4,233.887
2022-5,257.832
2022-6,199.081
2022-7,254.414
2022-8,243.725
2022-9,243.967
2022-10,251.496
2022-11,225.893
2022-12,
