,Rio Grande Do Sul - Produção de Cimento (t)
2003-1,145.214
2003-2,137.995
2003-3,145.249
2003-4,148.079
2003-5,144.405
2003-6,132.972
2003-7,140.515
2003-8,145.977
2003-9,139.947
2003-10,144.497
2003-11,135.002
2003-12,123.195
2004-1,132.072
2004-2,129.746
2004-3,143.95
2004-4,126.636
2004-5,112.971
2004-6,131.665
2004-7,133.013
2004-8,137.036
2004-9,121.815
2004-10,141.616
2004-11,120.573
2004-12,143.866
2005-1,130.59
2005-2,117.246
2005-3,131.915
2005-4,115.189
2005-5,115.526
2005-6,127.22
2005-7,120.52
2005-8,125.525
2005-9,103.781
2005-10,105.256
2005-11,135.512
2005-12,144.724
2006-1,119.222
2006-2,115.434
2006-3,143.879
2006-4,118.505
2006-5,129.296
2006-6,118.878
2006-7,122.961
2006-8,130.121
2006-9,118.069
2006-10,140.309
2006-11,127.442
2006-12,126.442
2007-1,119.946
2007-2,114.995
2007-3,129.635
2007-4,137.458
2007-5,127.317
2007-6,130.862
2007-7,121.051
2007-8,141.342
2007-9,145.703
2007-10,159.142
2007-11,168.042
2007-12,166.012
2008-1,155.96
2008-2,145.056
2008-3,152.858
2008-4,167.515
2008-5,163.905
2008-6,164.721
2008-7,178.036
2008-8,185.644
2008-9,179.784
2008-10,195.677
2008-11,166.005
2008-12,179.032
2009-1,161.884
2009-2,137.408
2009-3,167.813
2009-4,169.243
2009-5,175.196
2009-6,161.485
2009-7,153.963
2009-8,172.874
2009-9,145.722
2009-10,168.3
2009-11,165.985
2009-12,160.491
2010-1,150.773
2010-2,149.903
2010-3,183.775
2010-4,171.55
2010-5,172.569
2010-6,173.251
2010-7,175.603
2010-8,186.459
2010-9,182.294
2010-10,186.474
2010-11,192.19
2010-12,197.055
2011-1,172.33
2011-2,164.415
2011-3,181.258
2011-4,181.614
2011-5,191.398
2011-6,185.134
2011-7,189.86
2011-8,165.422
2011-9,173.989
2011-10,200.631
2011-11,190.722
2011-12,192.979
2012-1,167.326
2012-2,169.965
2012-3,188.435
2012-4,178.992
2012-5,203.472
2012-6,196.771
2012-7,189.345
2012-8,199.388
2012-9,176.901
2012-10,170.797
2012-11,199.192
2012-12,183.933
2013-1,214.966
2013-2,205.919
2013-3,179.74
2013-4,184.848
2013-5,183.308
2013-6,170.473
2013-7,185.019
2013-8,188.022
2013-9,179.112
2013-10,184.65
2013-11,179.792
2013-12,171.768
2014-1,165.656
2014-2,158.784
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,122.724
2017-2,108.481
2017-3,130.664
2017-4,109.428
2017-5,117.007
2017-6,105.537
2017-7,119.0
2017-8,135.782
2017-9,121.07
2017-10,108.692
2017-11,116.968
2017-12,106.272
2018-1,108.5
2018-2,109.729
2018-3,116.121
2018-4,99.998
2018-5,91.131
2018-6,129.079
2018-7,82.498
2018-8,121.535
2018-9,105.851
2018-10,121.84
2018-11,127.089
2018-12,105.525
2019-1,104.78
2019-2,113.65
2019-3,114.896
2019-4,116.943
2019-5,107.358
2019-6,114.946
2019-7,118.005
2019-8,122.8
2019-9,109.67
2019-10,112.479
2019-11,113.619
2019-12,108.02
2020-1,113.312
2020-2,116.626
2020-3,97.267
2020-4,105.981
2020-5,116.188
2020-6,117.593
2020-7,122.191
2020-8,144.544
2020-9,133.823
2020-10,151.519
2020-11,151.719
2020-12,122.405
2021-1,118.569
2021-2,110.018
2021-3,144.163
2021-4,144.107
2021-5,145.618
2021-6,134.334
2021-7,148.638
2021-8,162.431
2021-9,133.454
2021-10,143.709
2021-11,142.928
2021-12,139.215
2022-1,123.768
2022-2,123.434
2022-3,142.588
2022-4,130.087
2022-5,130.262
2022-6,121.131
2022-7,133.036
2022-8,137.165
2022-9,134.735
2022-10,145.818
2022-11,141.853
2022-12,
