,Paraná - Produção de Cimento (t)
2003-1,303.601
2003-2,311.711
2003-3,342.078
2003-4,323.295
2003-5,349.634
2003-6,305.708
2003-7,345.698
2003-8,339.089
2003-9,333.148
2003-10,342.806
2003-11,340.753
2003-12,306.477
2004-1,315.769
2004-2,306.825
2004-3,357.69
2004-4,321.137
2004-5,331.96
2004-6,320.872
2004-7,365.964
2004-8,365.83
2004-9,360.527
2004-10,333.87
2004-11,350.934
2004-12,328.332
2005-1,313.931
2005-2,309.851
2005-3,373.168
2005-4,329.859
2005-5,330.964
2005-6,334.202
2005-7,357.887
2005-8,354.257
2005-9,318.907
2005-10,303.601
2005-11,337.174
2005-12,353.746
2006-1,322.597
2006-2,284.132
2006-3,336.834
2006-4,311.02
2006-5,343.151
2006-6,318.156
2006-7,335.397
2006-8,330.471
2006-9,315.627
2006-10,342.476
2006-11,333.433
2006-12,349.395
2007-1,336.286
2007-2,290.807
2007-3,373.257
2007-4,328.35
2007-5,331.528
2007-6,365.726
2007-7,395.278
2007-8,393.473
2007-9,430.792
2007-10,441.662
2007-11,434.459
2007-12,426.311
2008-1,406.539
2008-2,413.854
2008-3,428.827
2008-4,412.962
2008-5,449.142
2008-6,446.178
2008-7,484.35
2008-8,478.53
2008-9,461.314
2008-10,470.5
2008-11,421.073
2008-12,439.621
2009-1,392.345
2009-2,379.391
2009-3,436.441
2009-4,448.495
2009-5,468.358
2009-6,424.541
2009-7,446.477
2009-8,465.905
2009-9,456.694
2009-10,453.833
2009-11,476.606
2009-12,482.995
2010-1,404.884
2010-2,384.922
2010-3,478.149
2010-4,457.799
2010-5,479.67
2010-6,467.828
2010-7,493.499
2010-8,505.919
2010-9,508.708
2010-10,524.648
2010-11,505.379
2010-12,473.234
2011-1,447.253
2011-2,447.25
2011-3,490.794
2011-4,476.523
2011-5,491.751
2011-6,474.696
2011-7,486.937
2011-8,477.756
2011-9,473.885
2011-10,523.697
2011-11,480.953
2011-12,474.913
2012-1,426.81
2012-2,467.426
2012-3,476.109
2012-4,441.351
2012-5,484.527
2012-6,448.595
2012-7,484.117
2012-8,485.808
2012-9,475.872
2012-10,472.19
2012-11,469.351
2012-12,457.259
2013-1,411.42
2013-2,470.12
2013-3,503.335
2013-4,508.068
2013-5,550.381
2013-6,445.648
2013-7,534.262
2013-8,555.534
2013-9,531.614
2013-10,553.81
2013-11,571.449
2013-12,507.113
2014-1,443.127
2014-2,493.081
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,464.388
2017-2,435.478
2017-3,509.98
2017-4,450.332
2017-5,505.55
2017-6,435.02
2017-7,560.915
2017-8,568.238
2017-9,525.48
2017-10,499.239
2017-11,422.394
2017-12,459.978
2018-1,401.773
2018-2,478.372
2018-3,570.164
2018-4,497.653
2018-5,416.965
2018-6,600.249
2018-7,527.039
2018-8,529.114
2018-9,509.58
2018-10,511.935
2018-11,506.678
2018-12,514.934
2019-1,435.168
2019-2,498.224
2019-3,502.984
2019-4,480.554
2019-5,493.894
2019-6,499.229
2019-7,539.583
2019-8,582.808
2019-9,542.222
2019-10,574.792
2019-11,546.364
2019-12,455.729
2020-1,449.923
2020-2,543.284
2020-3,487.168
2020-4,469.935
2020-5,607.6
2020-6,535.263
2020-7,627.855
2020-8,667.854
2020-9,602.49
2020-10,699.795
2020-11,631.382
2020-12,546.118
2021-1,548.538
2021-2,585.216
2021-3,671.885
2021-4,645.395
2021-5,697.927
2021-6,634.454
2021-7,693.895
2021-8,703.718
2021-9,685.345
2021-10,661.193
2021-11,666.409
2021-12,663.845
2022-1,563.923
2022-2,604.486
2022-3,609.465
2022-4,644.265
2022-5,683.491
2022-6,578.389
2022-7,748.717
2022-8,680.375
2022-9,647.041
2022-10,600.689
2022-11,635.646
2022-12,
