,Bahia - Produção de Cimento (t)
2003-1,46.575
2003-2,41.998
2003-3,39.181
2003-4,38.102
2003-5,39.371
2003-6,30.695
2003-7,34.655
2003-8,43.412
2003-9,40.381
2003-10,40.887
2003-11,40.182
2003-12,43.594
2004-1,38.285
2004-2,31.935
2004-3,37.59
2004-4,39.627
2004-5,39.939
2004-6,44.0
2004-7,40.016
2004-8,36.438
2004-9,39.745
2004-10,42.722
2004-11,37.828
2004-12,40.539
2005-1,47.275
2005-2,38.285
2005-3,39.844
2005-4,39.655
2005-5,39.922
2005-6,45.29
2005-7,49.757
2005-8,52.075
2005-9,45.612
2005-10,55.395
2005-11,40.683
2005-12,61.5
2006-1,44.96
2006-2,47.414
2006-3,52.101
2006-4,50.626
2006-5,48.403
2006-6,52.791
2006-7,44.516
2006-8,50.485
2006-9,56.164
2006-10,49.431
2006-11,49.541
2006-12,52.322
2007-1,55.096
2007-2,49.996
2007-3,56.762
2007-4,53.081
2007-5,66.398
2007-6,56.016
2007-7,56.833
2007-8,58.819
2007-9,55.477
2007-10,61.939
2007-11,64.296
2007-12,60.522
2008-1,63.337
2008-2,56.83
2008-3,59.701
2008-4,63.633
2008-5,66.35
2008-6,65.15
2008-7,71.873
2008-8,76.083
2008-9,72.974
2008-10,82.962
2008-11,71.684
2008-12,63.774
2009-1,79.237
2009-2,68.699
2009-3,74.516
2009-4,67.01
2009-5,73.498
2009-6,71.148
2009-7,94.696
2009-8,97.135
2009-9,99.256
2009-10,100.837
2009-11,103.295
2009-12,92.176
2010-1,95.904
2010-2,82.478
2010-3,98.197
2010-4,92.688
2010-5,96.981
2010-6,93.762
2010-7,98.996
2010-8,106.635
2010-9,103.201
2010-10,113.195
2010-11,93.237
2010-12,103.501
2011-1,106.902
2011-2,103.309
2011-3,106.091
2011-4,105.821
2011-5,107.442
2011-6,102.185
2011-7,114.113
2011-8,102.496
2011-9,114.646
2011-10,112.482
2011-11,91.839
2011-12,102.57
2012-1,111.368
2012-2,106.248
2012-3,119.668
2012-4,109.019
2012-5,110.376
2012-6,107.479
2012-7,114.803
2012-8,116.151
2012-9,113.597
2012-10,113.229
2012-11,113.64
2012-12,110.716
2013-1,151.803
2013-2,127.384
2013-3,110.483
2013-4,113.777
2013-5,116.729
2013-6,114.022
2013-7,112.886
2013-8,138.284
2013-9,133.809
2013-10,141.418
2013-11,134.876
2013-12,114.611
2014-1,116.162
2014-2,113.532
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,91.808
2017-2,84.458
2017-3,96.745
2017-4,80.421
2017-5,89.887
2017-6,89.975
2017-7,95.729
2017-8,100.344
2017-9,101.315
2017-10,99.164
2017-11,84.323
2017-12,72.003
2018-1,81.187
2018-2,72.333
2018-3,77.147
2018-4,74.845
2018-5,63.297
2018-6,95.744
2018-7,93.737
2018-8,103.65
2018-9,92.141
2018-10,102.799
2018-11,95.186
2018-12,56.822
2019-1,105.061
2019-2,94.087
2019-3,93.158
2019-4,84.228
2019-5,96.632
2019-6,78.795
2019-7,94.592
2019-8,101.661
2019-9,107.661
2019-10,120.135
2019-11,101.496
2019-12,98.788
2020-1,102.0
2020-2,101.71
2020-3,83.059
2020-4,72.615
2020-5,90.013
2020-6,116.917
2020-7,117.526
2020-8,111.963
2020-9,105.38
2020-10,107.802
2020-11,99.995
2020-12,94.435
2021-1,103.247
2021-2,87.805
2021-3,102.574
2021-4,94.069
2021-5,101.673
2021-6,102.822
2021-7,108.315
2021-8,114.302
2021-9,114.776
2021-10,120.783
2021-11,97.515
2021-12,93.689
2022-1,101.137
2022-2,104.406
2022-3,101.92
2022-4,98.349
2022-5,115.866
2022-6,95.111
2022-7,118.707
2022-8,119.723
2022-9,115.85
2022-10,123.81
2022-11,110.619
2022-12,
