,Alas --08 Produção de Cimento (t)
2003-1,33.149
2003-2,32.871
2003-3,38.546
2003-4,29.823
2003-5,33.959
2003-6,20.313
2003-7,26.639
2003-8,27.774
2003-9,27.544
2003-10,28.472
2003-11,31.064
2003-12,27.767
2004-1,26.577
2004-2,23.924
2004-3,30.086
2004-4,28.216
2004-5,41.232
2004-6,41.575
2004-7,27.899
2004-8,31.828
2004-9,26.481
2004-10,38.185
2004-11,26.087
2004-12,32.779
2005-1,36.696
2005-2,28.461
2005-3,31.434
2005-4,33.834
2005-5,32.354
2005-6,25.522
2005-7,48.053
2005-8,27.867
2005-9,46.204
2005-10,40.794
2005-11,37.747
2005-12,48.024
2006-1,43.616
2006-2,33.961
2006-3,36.563
2006-4,37.543
2006-5,37.093
2006-6,31.312
2006-7,36.749
2006-8,30.999
2006-9,52.171
2006-10,50.675
2006-11,33.146
2006-12,34.185
2007-1,35.67
2007-2,42.361
2007-3,50.394
2007-4,44.97
2007-5,50.873
2007-6,49.822
2007-7,40.056
2007-8,45.601
2007-9,42.114
2007-10,41.527
2007-11,51.57
2007-12,36.81
2008-1,60.05
2008-2,47.555
2008-3,50.682
2008-4,44.453
2008-5,42.11
2008-6,49.808
2008-7,48.804
2008-8,58.062
2008-9,48.682
2008-10,44.52
2008-11,29.253
2008-12,31.854
2009-1,28.244
2009-2,24.021
2009-3,26.909
2009-4,30.287
2009-5,22.368
2009-6,27.438
2009-7,32.757
2009-8,36.261
2009-9,43.185
2009-10,49.644
2009-11,46.167
2009-12,41.433
2010-1,43.53
2010-2,43.007
2010-3,53.942
2010-4,49.946
2010-5,62.062
2010-6,55.441
2010-7,58.658
2010-8,63.209
2010-9,62.476
2010-10,66.023
2010-11,57.895
2010-12,58.356
2011-1,61.197
2011-2,54.604
2011-3,61.674
2011-4,58.269
2011-5,53.758
2011-6,51.226
2011-7,60.546
2011-8,64.615
2011-9,59.757
2011-10,61.657
2011-11,57.641
2011-12,61.142
2012-1,59.673
2012-2,55.178
2012-3,69.973
2012-4,56.718
2012-5,62.757
2012-6,61.086
2012-7,63.182
2012-8,53.762
2012-9,52.411
2012-10,53.781
2012-11,58.069
2012-12,56.911
2013-1,90.2
2013-2,65.246
2013-3,68.206
2013-4,55.044
2013-5,54.867
2013-6,56.182
2013-7,69.917
2013-8,71.979
2013-9,72.073
2013-10,71.954
2013-11,73.26
2013-12,69.129
2014-1,68.452
2014-2,67.456
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,28.507
2017-2,21.749
2017-3,30.04
2017-4,25.914
2017-5,22.242
2017-6,2.942
2017-7,
2017-8,
2017-9,
2017-10,
2017-11,
2017-12,
2018-1,
2018-2,
2018-3,
2018-4,
2018-5,
2018-6,
2018-7,
2018-8,
2018-9,1.653
2018-10,15.773
2018-11,15.47
2018-12,14.609
2019-1,21.252
2019-2,17.943
2019-3,17.846
2019-4,16.451
2019-5,20.691
2019-6,14.164
2019-7,17.951
2019-8,28.602
2019-9,31.217
2019-10,37.341
2019-11,30.414
2019-12,27.986
2020-1,30.786
2020-2,31.639
2020-3,20.699
2020-4,19.824
2020-5,20.691
2020-6,31.572
2020-7,41.229
2020-8,45.57
2020-9,37.195
2020-10,38.42
2020-11,13.946
2020-12,27.858
2021-1,21.77
2021-2,22.291
2021-3,28.414
2021-4,23.976
2021-5,29.326
2021-6,29.326
2021-7,28.508
2021-8,27.819
2021-9,32.691
2021-10,31.063
2021-11,24.739
2021-12,23.493
2022-1,25.614
2022-2,25.934
2022-3,27.709
2022-4,26.591
2022-5,29.893
2022-6,16.254
2022-7,14.924
2022-8,24.655
2022-9,20.524
2022-10,25.662
2022-11,20.271
2022-12,
