,Tocantins - Produção de Cimento (t)
2003-1,
2003-2,
2003-3,
2003-4,
2003-5,
2003-6,
2003-7,
2003-8,
2003-9,
2003-10,
2003-11,
2003-12,
2004-1,
2004-2,
2004-3,
2004-4,
2004-5,
2004-6,
2004-7,
2004-8,
2004-9,
2004-10,
2004-11,
2004-12,
2005-1,
2005-2,
2005-3,
2005-4,
2005-5,
2005-6,
2005-7,
2005-8,
2005-9,
2005-10,
2005-11,
2005-12,
2006-1,
2006-2,
2006-3,
2006-4,
2006-5,
2006-6,
2006-7,
2006-8,
2006-9,
2006-10,
2006-11,
2006-12,
2007-1,
2007-2,
2007-3,
2007-4,
2007-5,
2007-6,
2007-7,
2007-8,
2007-9,
2007-10,
2007-11,
2007-12,
2008-1,
2008-2,
2008-3,
2008-4,
2008-5,
2008-6,
2008-7,
2008-8,
2008-9,
2008-10,
2008-11,
2008-12,
2009-1,
2009-2,
2009-3,
2009-4,
2009-5,12.733
2009-6,18.745
2009-7,22.833
2009-8,22.703
2009-9,19.532
2009-10,11.849
2009-11,11.389
2009-12,11.121
2010-1,24.366
2010-2,28.115
2010-3,31.733
2010-4,31.632
2010-5,40.373
2010-6,37.759
2010-7,44.544
2010-8,47.61
2010-9,42.858
2010-10,44.971
2010-11,47.587
2010-12,48.498
2011-1,42.093
2011-2,26.009
2011-3,33.164
2011-4,35.404
2011-5,43.412
2011-6,40.931
2011-7,52.814
2011-8,55.825
2011-9,50.154
2011-10,46.861
2011-11,46.14
2011-12,50.56
2012-1,47.244
2012-2,46.215
2012-3,49.115
2012-4,53.357
2012-5,54.122
2012-6,47.485
2012-7,36.088
2012-8,37.455
2012-9,48.285
2012-10,49.763
2012-11,44.048
2012-12,50.306
2013-1,51.617
2013-2,43.072
2013-3,52.416
2013-4,46.428
2013-5,47.497
2013-6,36.151
2013-7,50.671
2013-8,19.05
2013-9,37.994
2013-10,48.508
2013-11,47.843
2013-12,29.164
2014-1,47.67
2014-2,51.219
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,38.122
2017-2,28.995
2017-3,36.118
2017-4,36.601
2017-5,46.412
2017-6,45.486
2017-7,52.856
2017-8,50.098
2017-9,49.337
2017-10,58.592
2017-11,46.024
2017-12,50.328
2018-1,51.175
2018-2,38.85
2018-3,47.378
2018-4,46.907
2018-5,48.601
2018-6,60.689
2018-7,66.298
2018-8,61.173
2018-9,65.77
2018-10,72.692
2018-11,64.148
2018-12,52.414
2019-1,52.92
2019-2,38.965
2019-3,57.047
2019-4,32.805
2019-5,25.572
2019-6,57.815
2019-7,52.455
2019-8,49.593
2019-9,58.832
2019-10,55.602
2019-11,45.01
2019-12,45.315
2020-1,50.512
2020-2,40.085
2020-3,39.518
2020-4,38.982
2020-5,37.448
2020-6,62.17
2020-7,72.449
2020-8,76.066
2020-9,71.252
2020-10,85.8
2020-11,63.99
2020-12,72.818
2021-1,56.891
2021-2,51.88
2021-3,57.603
2021-4,60.878
2021-5,68.959
2021-6,82.53
2021-7,83.295
2021-8,89.729
2021-9,84.809
2021-10,85.182
2021-11,70.485
2021-12,64.078
2022-1,49.868
2022-2,55.412
2022-3,48.598
2022-4,58.283
2022-5,49.046
2022-6,78.645
2022-7,84.852
2022-8,72.45
2022-9,85.29
2022-10,92.635
2022-11,68.654
2022-12,
