,Mato Grosso Do Sul - Produção de Cimento (t)
2003-1,47.337
2003-2,51.606
2003-3,53.027
2003-4,45.13
2003-5,47.487
2003-6,53.448
2003-7,64.6
2003-8,65.106
2003-9,46.458
2003-10,57.176
2003-11,45.673
2003-12,40.561
2004-1,49.821
2004-2,46.052
2004-3,61.759
2004-4,38.749
2004-5,53.133
2004-6,63.569
2004-7,70.656
2004-8,76.232
2004-9,52.138
2004-10,51.708
2004-11,48.619
2004-12,40.786
2005-1,58.333
2005-2,49.395
2005-3,44.827
2005-4,53.717
2005-5,60.219
2005-6,48.632
2005-7,52.157
2005-8,65.37
2005-9,57.823
2005-10,49.496
2005-11,56.628
2005-12,56.479
2006-1,54.917
2006-2,48.703
2006-3,58.544
2006-4,43.788
2006-5,59.243
2006-6,56.738
2006-7,61.742
2006-8,60.013
2006-9,50.437
2006-10,67.13
2006-11,58.79
2006-12,50.057
2007-1,52.03
2007-2,42.727
2007-3,65.952
2007-4,58.827
2007-5,56.291
2007-6,56.609
2007-7,68.896
2007-8,65.251
2007-9,70.32
2007-10,74.135
2007-11,70.379
2007-12,65.191
2008-1,67.831
2008-2,58.06
2008-3,67.983
2008-4,58.54
2008-5,76.988
2008-6,75.976
2008-7,71.815
2008-8,83.682
2008-9,81.078
2008-10,85.98
2008-11,84.707
2008-12,64.874
2009-1,65.236
2009-2,71.222
2009-3,70.763
2009-4,60.095
2009-5,80.749
2009-6,73.871
2009-7,83.918
2009-8,81.332
2009-9,71.324
2009-10,75.483
2009-11,75.782
2009-12,62.256
2010-1,55.858
2010-2,74.828
2010-3,75.632
2010-4,73.864
2010-5,84.341
2010-6,79.472
2010-7,81.156
2010-8,75.063
2010-9,73.366
2010-10,63.13
2010-11,72.996
2010-12,80.262
2011-1,76.428
2011-2,63.483
2011-3,65.73
2011-4,74.414
2011-5,84.501
2011-6,86.364
2011-7,91.55
2011-8,90.853
2011-9,83.021
2011-10,93.527
2011-11,77.877
2011-12,85.147
2012-1,66.11
2012-2,84.133
2012-3,92.239
2012-4,86.152
2012-5,94.827
2012-6,76.09
2012-7,89.253
2012-8,94.501
2012-9,89.587
2012-10,87.972
2012-11,85.585
2012-12,85.103
2013-1,73.334
2013-2,73.149
2013-3,80.258
2013-4,74.365
2013-5,84.905
2013-6,79.299
2013-7,76.35
2013-8,81.542
2013-9,84.589
2013-10,85.028
2013-11,83.835
2013-12,72.495
2014-1,63.724
2014-2,78.597
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,61.834
2017-2,46.132
2017-3,60.993
2017-4,43.046
2017-5,58.233
2017-6,57.338
2017-7,56.704
2017-8,58.663
2017-9,62.559
2017-10,45.301
2017-11,46.721
2017-12,39.504
2018-1,32.955
2018-2,35.112
2018-3,42.317
2018-4,57.93
2018-5,50.198
2018-6,61.742
2018-7,65.152
2018-8,63.019
2018-9,53.538
2018-10,46.913
2018-11,54.381
2018-12,53.543
2019-1,50.423
2019-2,56.216
2019-3,48.361
2019-4,52.26
2019-5,59.735
2019-6,58.237
2019-7,63.896
2019-8,63.718
2019-9,60.456
2019-10,65.464
2019-11,65.286
2019-12,56.531
2020-1,45.63
2020-2,66.643
2020-3,44.844
2020-4,57.073
2020-5,63.173
2020-6,76.557
2020-7,81.945
2020-8,76.575
2020-9,79.67
2020-10,95.015
2020-11,80.723
2020-12,64.631
2021-1,54.031
2021-2,63.517
2021-3,70.817
2021-4,75.585
2021-5,78.539
2021-6,81.341
2021-7,85.697
2021-8,87.785
2021-9,76.823
2021-10,77.698
2021-11,80.279
2021-12,75.147
2022-1,71.023
2022-2,52.209
2022-3,88.185
2022-4,75.527
2022-5,83.167
2022-6,83.349
2022-7,87.17
2022-8,85.64
2022-9,64.12
2022-10,66.87
2022-11,72.857
2022-12,
