,Sergipe - Produção de Cimento (t)
2003-1,137.945
2003-2,139.887
2003-3,138.609
2003-4,113.469
2003-5,162.186
2003-6,161.288
2003-7,153.855
2003-8,159.272
2003-9,153.312
2003-10,145.807
2003-11,149.748
2003-12,155.445
2004-1,123.115
2004-2,128.744
2004-3,130.334
2004-4,137.717
2004-5,183.472
2004-6,177.888
2004-7,169.86
2004-8,157.761
2004-9,169.033
2004-10,175.367
2004-11,166.904
2004-12,164.485
2005-1,164.282
2005-2,116.434
2005-3,207.487
2005-4,179.087
2005-5,158.528
2005-6,136.989
2005-7,139.924
2005-8,158.266
2005-9,159.357
2005-10,164.33
2005-11,166.859
2005-12,164.281
2006-1,147.514
2006-2,148.133
2006-3,156.943
2006-4,172.605
2006-5,219.023
2006-6,168.86
2006-7,155.725
2006-8,185.938
2006-9,196.846
2006-10,196.287
2006-11,180.072
2006-12,213.559
2007-1,242.883
2007-2,202.524
2007-3,219.952
2007-4,216.239
2007-5,251.683
2007-6,190.402
2007-7,211.275
2007-8,248.053
2007-9,260.928
2007-10,239.107
2007-11,220.567
2007-12,259.056
2008-1,210.943
2008-2,183.805
2008-3,231.465
2008-4,223.356
2008-5,239.163
2008-6,241.5
2008-7,233.529
2008-8,277.945
2008-9,265.608
2008-10,265.855
2008-11,236.53
2008-12,231.763
2009-1,224.885
2009-2,212.319
2009-3,250.928
2009-4,182.891
2009-5,210.654
2009-6,177.656
2009-7,207.004
2009-8,229.411
2009-9,235.403
2009-10,246.682
2009-11,257.947
2009-12,255.225
2010-1,256.614
2010-2,216.88
2010-3,252.391
2010-4,226.448
2010-5,248.798
2010-6,238.051
2010-7,242.159
2010-8,258.129
2010-9,246.919
2010-10,270.304
2010-11,291.005
2010-12,283.497
2011-1,266.359
2011-2,247.91
2011-3,242.402
2011-4,269.551
2011-5,255.752
2011-6,238.368
2011-7,236.977
2011-8,289.313
2011-9,287.866
2011-10,308.791
2011-11,259.775
2011-12,277.767
2012-1,244.59
2012-2,235.831
2012-3,280.925
2012-4,258.515
2012-5,268.899
2012-6,259.786
2012-7,229.799
2012-8,215.706
2012-9,238.614
2012-10,282.767
2012-11,281.663
2012-12,283.065
2013-1,256.389
2013-2,256.042
2013-3,305.625
2013-4,262.314
2013-5,268.85
2013-6,190.91
2013-7,267.905
2013-8,312.768
2013-9,303.616
2013-10,300.015
2013-11,302.509
2013-12,282.979
2014-1,289.157
2014-2,294.882
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,187.864
2017-2,153.737
2017-3,161.834
2017-4,147.004
2017-5,146.796
2017-6,141.898
2017-7,138.179
2017-8,140.764
2017-9,160.035
2017-10,182.689
2017-11,182.889
2017-12,182.096
2018-1,177.816
2018-2,153.175
2018-3,169.808
2018-4,154.929
2018-5,127.577
2018-6,147.965
2018-7,156.991
2018-8,172.941
2018-9,150.946
2018-10,156.644
2018-11,137.332
2018-12,169.428
2019-1,162.393
2019-2,156.827
2019-3,152.886
2019-4,139.92
2019-5,171.163
2019-6,126.666
2019-7,126.298
2019-8,142.172
2019-9,166.611
2019-10,182.841
2019-11,184.536
2019-12,180.357
2020-1,175.42
2020-2,165.333
2020-3,153.867
2020-4,146.941
2020-5,194.197
2020-6,184.698
2020-7,176.22
2020-8,216.114
2020-9,214.469
2020-10,246.832
2020-11,196.358
2020-12,185.802
2021-1,194.523
2021-2,156.653
2021-3,208.34
2021-4,184.738
2021-5,164.679
2021-6,169.531
2021-7,164.899
2021-8,188.563
2021-9,175.551
2021-10,195.055
2021-11,175.605
2021-12,168.23
2022-1,161.735
2022-2,169.509
2022-3,205.577
2022-4,188.261
2022-5,157.768
2022-6,146.906
2022-7,160.275
2022-8,163.547
2022-9,154.405
2022-10,153.62
2022-11,147.022
2022-12,
