,Espírito Santo - Produção de Cimento (t)
2003-1,92.683
2003-2,105.642
2003-3,101.219
2003-4,94.729
2003-5,103.394
2003-6,88.915
2003-7,106.506
2003-8,104.691
2003-9,96.066
2003-10,103.947
2003-11,104.306
2003-12,91.326
2004-1,91.21
2004-2,82.637
2004-3,113.739
2004-4,87.496
2004-5,96.094
2004-6,102.557
2004-7,104.091
2004-8,102.119
2004-9,97.999
2004-10,100.661
2004-11,87.956
2004-12,94.682
2005-1,99.616
2005-2,85.561
2005-3,110.319
2005-4,112.146
2005-5,112.806
2005-6,112.202
2005-7,119.349
2005-8,120.121
2005-9,109.349
2005-10,111.765
2005-11,104.875
2005-12,110.479
2006-1,105.441
2006-2,95.899
2006-3,100.2
2006-4,93.28
2006-5,112.081
2006-6,105.953
2006-7,122.103
2006-8,124.411
2006-9,123.899
2006-10,123.506
2006-11,113.211
2006-12,117.222
2007-1,134.265
2007-2,125.84
2007-3,176.381
2007-4,148.276
2007-5,157.633
2007-6,155.076
2007-7,149.831
2007-8,167.904
2007-9,165.887
2007-10,193.455
2007-11,176.091
2007-12,170.421
2008-1,155.991
2008-2,146.389
2008-3,174.313
2008-4,165.482
2008-5,191.623
2008-6,194.282
2008-7,209.213
2008-8,240.977
2008-9,230.849
2008-10,223.167
2008-11,234.414
2008-12,177.38
2009-1,163.856
2009-2,143.437
2009-3,172.878
2009-4,152.429
2009-5,174.722
2009-6,170.172
2009-7,194.267
2009-8,192.341
2009-9,186.781
2009-10,186.425
2009-11,186.16
2009-12,175.019
2010-1,178.525
2010-2,168.075
2010-3,198.039
2010-4,177.535
2010-5,196.966
2010-6,187.054
2010-7,207.523
2010-8,217.623
2010-9,226.627
2010-10,220.047
2010-11,192.778
2010-12,199.516
2011-1,193.794
2011-2,191.902
2011-3,189.287
2011-4,196.649
2011-5,211.121
2011-6,206.371
2011-7,228.77
2011-8,237.152
2011-9,228.13
2011-10,238.049
2011-11,220.63
2011-12,203.856
2012-1,203.451
2012-2,205.543
2012-3,250.606
2012-4,229.722
2012-5,212.565
2012-6,221.181
2012-7,233.097
2012-8,209.525
2012-9,222.038
2012-10,218.015
2012-11,198.823
2012-12,211.832
2013-1,195.731
2013-2,201.837
2013-3,231.396
2013-4,221.234
2013-5,223.392
2013-6,252.821
2013-7,241.014
2013-8,249.772
2013-9,229.287
2013-10,241.574
2013-11,195.039
2013-12,183.89
2014-1,199.751
2014-2,200.658
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,125.444
2017-2,114.034
2017-3,139.016
2017-4,124.828
2017-5,126.407
2017-6,125.613
2017-7,131.808
2017-8,131.765
2017-9,118.99
2017-10,121.288
2017-11,120.559
2017-12,113.792
2018-1,64.673
2018-2,61.639
2018-3,66.014
2018-4,58.54
2018-5,54.836
2018-6,73.281
2018-7,66.746
2018-8,65.319
2018-9,61.655
2018-10,61.636
2018-11,63.462
2018-12,56.051
2019-1,61.921
2019-2,54.402
2019-3,56.117
2019-4,53.905
2019-5,59.936
2019-6,57.479
2019-7,61.548
2019-8,62.492
2019-9,58.198
2019-10,59.082
2019-11,50.137
2019-12,47.034
2020-1,58.036
2020-2,49.355
2020-3,54.907
2020-4,47.553
2020-5,61.485
2020-6,66.928
2020-7,68.736
2020-8,66.635
2020-9,62.642
2020-10,61.847
2020-11,52.297
2020-12,56.582
2021-1,63.854
2021-2,49.736
2021-3,67.123
2021-4,65.847
2021-5,66.711
2021-6,65.25
2021-7,74.959
2021-8,75.496
2021-9,66.143
2021-10,60.673
2021-11,62.753
2021-12,55.291
2022-1,69.364
2022-2,62.784
2022-3,73.075
2022-4,63.561
2022-5,73.061
2022-6,66.254
2022-7,59.378
2022-8,69.833
2022-9,67.098
2022-10,65.73
2022-11,58.759
2022-12,
