,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003-1,1.9370984605899284,994.6419292834742,1307.6930167529588,26.49775929659498,22.112508640552996,78.54805587557604,2.0382601286482336
2003-2,2.057965333654944,994.3094696060549,1283.219898473389,26.168995855734767,21.331688748079877,76.9016849078341,1.8622789458525346
2003-3,1.7154922153753744,994.6606542952082,1261.0620103640167,25.84485233721625,20.557682465011094,75.40709165386585,1.8020309299795187
2003-4,1.5258014937258897,995.244083634686,1235.9956838334044,25.43573175349889,19.3990419120157,72.89461085509473,1.794849670378904
2003-5,1.1660595624990073,995.6974667959703,1233.7905720177544,25.082754572483115,17.83038614280838,68.635209339112,1.820612462054714
2003-6,0.7153361816571817,995.7650096612988,1214.3111993739092,25.225547676411832,17.045252539699955,65.50195450876203,1.8653263898685435
2003-7,1.4867424625545829,995.4914600694601,1217.8226087734427,25.54748296808391,16.99792736091767,64.01409505485319,1.9448399885930887
2003-8,2.143067362863444,994.740755653332,1293.9683769621556,26.033020519988273,17.5969879293988,64.17587108748639,2.012576700718925
2003-9,2.834476640466527,993.5099774102209,1382.5797565044777,26.554045455653377,18.958384190770396,66.9618258380222,1.954689103477407
2003-10,3.403323948535636,992.528278614496,1437.2730958997943,26.680355430260846,20.07843538413888,70.28284688301123,1.9466756355290573
2003-11,3.191908271094333,992.0735017918869,1469.854847516923,26.730206165495296,20.78858979584647,72.66272723581288,1.911223254035668
2003-12,4.094123638936841,991.7526837799344,1473.4958909295087,26.90888693615401,21.436931793152613,74.2924483650413,1.8447127002084132
2004-1,4.557950761167294,992.0174038015166,1438.1346365253364,26.881606546015597,21.720999141367997,75.42300708753916,1.850552924728613
2004-2,4.790117825208803,992.9728971078036,1432.8942493474024,26.35627644427242,21.370685668898428,76.02780339939952,1.8471705712655697
2004-3,4.560789365520896,993.8725250784956,1428.0463621227423,25.869289905006315,20.589448749285157,74.98164706589986,1.815842779693049
2004-4,3.485697656131805,994.8165557862778,1377.1665798120011,25.130155843721003,19.577481125506857,74.12013858537735,1.8257834054873212
2004-5,2.5253757839838777,995.7217460211721,1328.0370834130824,24.669786990193,18.15894027736284,70.99162460068551,1.8118592780585858
2004-6,2.289936444761269,995.5953162192416,1298.999495082329,25.17647513269778,17.23944938425561,66.22889731710066,1.802463169095581
2004-7,2.5831759434762804,995.022623235764,1269.9883584549439,25.75189803516881,17.279498438099314,64.37011995923329,1.854152346588313
2004-8,2.521145369140875,994.3365497300838,1316.9024156592247,26.383575171069445,17.71003240134217,63.61118232651738,1.8549216423216333
2004-9,2.881885561978436,993.3779598605427,1340.6335175447282,26.968331009504944,18.69193765100435,64.7463495592399,1.9016072028077526
2004-10,2.729288781255391,992.6676059567654,1351.5752826584044,27.062630312950514,19.922596497099022,68.46243080632483,1.9316622132561372
2004-11,2.6613061937629428,992.2787188740076,1335.958046596914,27.07762561420921,20.619688668244255,70.88362703991197,1.8896758841362675
2004-12,2.8420990099787953,992.1351433830475,1297.4727951023358,27.143077840853348,21.234514755528267,72.8411409032182,1.8836096698332896
2005-1,2.7664240624795036,992.3854418739737,1258.4062792781351,26.966131471650176,21.52231282883199,74.52799281564522,1.8561384400842498
2005-2,2.920794804884636,992.5847832569234,1213.116934472895,26.89175644516641,21.307045730293073,73.98801165875857,1.793362002442183
2005-3,2.767168635777479,993.2197390247776,1167.177243939218,26.620232051402926,20.732598581560815,72.89466836167769,1.7821567313611688
2005-4,2.256265883907449,994.1622868660692,1104.5498891488417,26.03666882802521,19.384244965310476,70.04891652394609,1.8210236694903432
2005-5,1.9206041892242234,994.5216594993487,1091.7765453539578,25.93124028088165,17.826795370368078,65.24889103219799,1.8381040478847626
2005-6,1.7088762781434845,995.220329991738,1071.3115721831205,25.620856763300782,16.820760180701374,62.748704316985275,1.9269704870442506
2005-7,1.7035685429646483,995.0345663613141,1123.2575217666179,25.85389563663386,16.740857255028164,61.51930456354484,1.978280606263697
2005-8,2.107647494258534,994.0978285114285,3569.8639478717164,26.457268667663975,17.507149410087678,62.08797494913012,1.9724445516604028
2005-9,2.3402792964555537,993.3632316882694,6427.7146564289205,26.642563429523815,18.808999142336404,65.49826266691,2.0335811366851866
2005-10,2.4416438552658724,992.5796062777891,9319.34902560689,27.01080519085317,19.973616037009304,68.34978687562939,1.9926325940583673
2005-11,2.423972116910545,992.0876822566404,12752.77124142936,26.985474585695556,20.668583127105798,70.99133152894672,1.9901949336577371
2005-12,2.4062485222970835,992.0618581116912,13951.538071092857,26.922938142342158,21.282057913100708,73.5180559200214,1.9729569569947862
2006-1,2.3106732214713843,992.2168503785294,14578.855700490307,26.770030683241455,21.665216974566782,75.73035453375313,1.8668963662965672
2006-2,2.152023493102353,992.8179082915383,15460.648287511214,26.133474186762363,21.154973329701722,76.22010920687987,1.8151110833751427
2006-3,1.7523126329497125,993.6157183600159,15675.610093400963,25.760336232946507,20.462024962952388,75.12543912458912,1.7417225458064272
2006-4,1.368640462191109,994.4117287334324,15835.678888288214,25.287621021619632,19.25887509449802,72.6042492444429,1.714819050813313
2006-5,1.410295356762012,995.0544356899188,16199.368497368667,25.208690154700797,17.819415604206576,67.89788454873498,1.7702268165481676
2006-6,1.374209970825193,995.1360021359751,14811.85901226223,25.76651414602431,17.538372347466613,64.89523443116077,1.8278838388498946
2006-7,1.5624810190931189,994.7850390911684,12612.306892388422,26.094849982045154,17.80674519451191,64.62002213752713,1.8776289109231803
2006-8,1.6574452544946854,994.2145368970098,10084.221226424499,27.10681587040087,18.38767524208174,62.82214419957039,1.98371772350416
2006-9,1.462897048203332,993.6999372998662,7056.622540257625,27.661703645454796,19.62487477560308,64.71723812818435,2.0790781756499475
2006-10,1.8685940800948586,993.1478628173908,5256.861031452621,27.942393799239287,20.560421269433125,66.98214546636642,2.1240315012860025
2006-11,2.0420504649026876,992.9245404826906,4209.772234889027,28.11970160042282,21.059269744257286,68.15993343807465,2.156428491921552
2006-12,2.4462797806752787,992.8976608746028,3286.780009711729,27.74832045279155,21.614828111439554,71.60442240251024,2.0671940087615175
2007-1,2.94287686611151,993.0458027728885,2719.986171715396,27.53314819946178,21.831303779999917,73.39747765726544,1.9189329705833953
2007-2,2.7405854668788656,993.6308291413391,2342.376657990849,26.925337384132582,21.287906427438795,73.71746750942152,1.8438958532940826
2007-3,2.4683645196393114,994.4030441311232,2069.661755270559,26.36930434416368,20.419997665625722,72.70028983707427,1.77989317476
2007-4,2.0769706101680074,995.1542547960333,1849.9837682858981,25.60768030714004,19.186903608082424,71.059415292396,1.778731150855021
2007-5,2.2092090152583026,995.3330318823403,1809.8738458935336,24.586526521775287,18.032551563707553,70.41722876864412,1.7323010211576262
2007-6,2.4047266650267938,994.6903352806005,1720.3023836299103,24.616090951007525,17.53973047267227,68.52727846233668,1.6201904337443567
