,Rio Grande do Sul - Desemprego
2003-1,8.192272824797158
2003-2,8.186359488937256
2003-3,8.180446153077355
2003-4,8.174532817217454
2003-5,8.16861948135755
2003-6,8.16270614549765
2003-7,8.156792809637748
2003-8,8.150879473777847
2003-9,8.144966137917946
2003-10,8.139052802058043
2003-11,8.133139466198141
2003-12,8.12722613033824
2004-1,8.121312794478339
2004-2,8.119277988321693
2004-3,8.117243182165048
2004-4,8.115208376008402
2004-5,8.113173569851757
2004-6,8.111138763695111
2004-7,8.109103957538466
2004-8,8.107069151381818
2004-9,8.105034345225173
2004-10,8.102999539068527
2004-11,8.100964732911882
2004-12,8.098929926755236
2005-1,8.09689512059859
2005-2,8.08976997697885
2005-3,8.082644833359108
2005-4,8.075519689739368
2005-5,8.068394546119627
2005-6,8.061269402499885
2005-7,8.054144258880145
2005-8,8.047019115260404
2005-9,8.039893971640662
2005-10,8.032768828020922
2005-11,8.025643684401182
2005-12,8.01851854078144
2006-1,8.011393397161699
2006-2,8.009317152694202
2006-3,8.007240908226704
2006-4,8.005164663759206
2006-5,8.00308841929171
2006-6,8.001012174824213
2006-7,7.998935930356716
2006-8,7.996859685889218
2006-9,7.9947834414217205
2006-10,7.992707196954223
2006-11,7.990630952486725
2006-12,7.988554708019229
2007-1,7.986478463551731
2007-2,7.984004842861865
2007-3,7.981531222172
2007-4,7.979057601482134
2007-5,7.9765839807922685
2007-6,7.974110360102403
2007-7,7.971636739412537
2007-8,7.969163118722672
2007-9,7.966689498032806
2007-10,7.96421587734294
2007-11,7.961742256653075
2007-12,7.959268635963209
2008-1,7.956795015273343
2008-2,7.9591485392679555
2008-3,7.961502063262569
2008-4,7.963855587257181
2008-5,7.9662091112517945
2008-6,7.968562635246407
2008-7,7.970916159241019
2008-8,7.973269683235633
2008-9,7.975623207230245
2008-10,7.977976731224858
2008-11,7.980330255219471
2008-12,7.982683779214084
2009-1,7.9850373032086965
2009-2,7.982070742968428
2009-3,7.97910418272816
2009-4,7.976137622487892
2009-5,7.973171062247624
2009-6,7.9702045020073555
2009-7,7.967237941767087
2009-8,7.964271381526819
2009-9,7.961304821286551
2009-10,7.958338261046283
2009-11,7.9553717008060145
2009-12,7.952405140565746
2010-1,7.949438580325478
2010-2,7.94837682876685
2010-3,7.947315077208223
2010-4,7.946253325649595
2010-5,7.945191574090967
2010-6,7.944129822532339
2010-7,7.9430680709737125
2010-8,7.942006319415085
2010-9,7.940944567856457
2010-10,7.939882816297829
2010-11,7.9388210647392015
2010-12,7.937759313180574
2011-1,7.936697561621946
2011-2,7.826446292835312
2011-3,7.716195024048678
2011-4,7.605943755262044
2011-5,7.495692486475409
2011-6,7.385441217688776
2011-7,7.275189948902142
2011-8,7.164938680115507
2011-9,7.054687411328874
2011-10,6.944436142542239
2011-11,6.834184873755605
2011-12,6.723933604968971
2012-1,6.613682336182337
2012-2,6.6510831462915965
2012-3,6.688483956400855
2012-4,6.725884766510115
2012-5,6.763285576619374
2012-6,6.800686386728634
2012-7,6.838087196837893
2012-8,6.875488006947152
2012-9,6.912888817056412
2012-10,6.950289627165671
2012-11,6.98769043727493
2012-12,7.025091247384189
2013-1,7.062492057493449
2013-2,7.0925942332222744
2013-3,7.1226964089511
2013-4,7.152798584679926
2013-5,7.182900760408751
2013-6,7.213002936137577
2013-7,7.243105111866402
2013-8,7.273207287595228
2013-9,7.303309463324053
2013-10,7.333411639052879
2013-11,7.3635138147817045
2013-12,7.39361599051053
2014-1,7.423718166239356
2014-2,7.445407171941456
2014-3,7.467096177643557
2014-4,7.488785183345659
2014-5,7.510474189047759
2014-6,7.5321631947498595
2014-7,7.553852200451961
2014-8,7.575541206154062
2014-9,7.5972302118561625
2014-10,7.618919217558263
2014-11,7.640608223260364
2014-12,7.662297228962466
2015-1,7.683986234664566
2015-2,7.683177319802192
2015-3,7.68236840493982
2015-4,7.681559490077447
2015-5,7.6807505752150735
2015-6,7.6799416603527
2015-7,7.679132745490327
2015-8,7.678323830627955
2015-9,7.677514915765581
2015-10,7.6767060009032075
2015-11,7.675897086040835
2015-12,7.675088171178462
2016-1,7.674279256316089
2016-2,7.651776131784237
2016-3,7.629273007252386
2016-4,7.606769882720534
2016-5,7.584266758188682
2016-6,7.561763633656831
2016-7,7.539260509124979
2016-8,7.516757384593127
2016-9,7.494254260061276
2016-10,7.471751135529424
2016-11,7.4492480109975725
2016-12,7.4267448864657215
2017-1,7.40424176193387
2017-2,7.397627366441258
2017-3,7.391012970948646
2017-4,7.384398575456034
2017-5,7.377784179963422
2017-6,7.37116978447081
2017-7,7.364555388978198
2017-8,7.357940993485587
2017-9,7.351326597992975
2017-10,7.3447122025003635
2017-11,7.338097807007752
2017-12,7.33148341151514
2018-1,7.324869016022528
2018-2,7.322128091696064
2018-3,7.319387167369601
2018-4,7.316646243043137
2018-5,7.313905318716674
2018-6,7.31116439439021
2018-7,7.308423470063746
2018-8,7.305682545737282
2018-9,7.3029416214108185
2018-10,7.300200697084355
2018-11,7.297459772757891
2018-12,7.294718848431428
2019-1,7.291977924104964
2019-2,7.282186671349603
2019-3,7.272395418594241
2019-4,7.262604165838879
2019-5,7.252812913083518
2019-6,7.243021660328156
2019-7,7.233230407572794
2019-8,7.223439154817433
2019-9,7.213647902062071
2019-10,7.20385664930671
2019-11,7.194065396551348
2019-12,7.184274143795986
2020-1,7.174482891040625
2020-2,7.162857247216903
2020-3,7.151231603393181
2020-4,7.139605959569459
2020-5,7.127980315745737
2020-6,7.116354671922015
2020-7,7.104729028098294
2020-8,7.093103384274572
2020-9,7.08147774045085
2020-10,7.0698520966271285
2020-11,7.058226452803407
2020-12,7.046600808979685
2021-1,7.034975165155963
2021-2,7.034288937085314
2021-3,7.033602709014665
2021-4,7.032916480944016
2021-5,7.032230252873367
2021-6,7.031544024802718
2021-7,7.03085779673207
2021-8,7.03017156866142
2021-9,7.029485340590772
2021-10,7.028799112520122
2021-11,7.028112884449474
2021-12,7.027426656378824
2022-1,7.026740428308176
